#timestep       power           acc-energy      avg-power       dt              acc-time       
1               126.191000      12.631467       126.191000      0.100098        0.100098       
2               126.156000      25.552364       126.173299      0.102420        0.202518       
3               126.156000      38.452194       126.167495      0.102253        0.304771       
4               126.185000      51.348805       126.171891      0.102204        0.406975       
5               126.215000      64.261231       126.180551      0.102305        0.509280       
6               126.156000      77.158790       126.176446      0.102235        0.611515       
7               126.622000      90.100571       126.240252      0.102208        0.713723       
8               126.062000      102.989654      126.217916      0.102244        0.815967       
9               126.532000      116.351307      126.253906      0.105599        0.921566       
10              125.980000      129.230116      126.226555      0.102229        1.023795       
11              120.570000      141.556952      125.712969      0.102238        1.126033       
12              120.589000      153.885610      125.286468      0.102237        1.228270       
13              164.295000      170.995127      128.335313      0.104139        1.332409       
14              200.730000      191.863218      133.575066      0.103961        1.436370       
15              254.321000      218.298106      141.723212      0.103943        1.540313       
16              299.044000      249.388215      151.670347      0.103965        1.644278       
17              344.420000      285.159332      163.121845      0.103859        1.748137       
18              389.826000      325.695778      175.849972      0.103986        1.852123       
19              406.207000      369.002319      188.388077      0.106612        1.958735       
20              480.122000      418.988301      203.111769      0.104111        2.062846       
21              488.613000      469.812848      216.816952      0.104018        2.166864       
22              570.538000      529.149941      233.016805      0.104002        2.270866       
23              572.121000      588.625924      247.860966      0.103957        2.374823       
24              573.190000      648.224500      261.507383      0.103977        2.478800       
25              573.340000      707.844980      274.062362      0.103988        2.582788       
26              573.611000      767.483316      285.654054      0.103970        2.686758       
27              574.065000      827.170002      296.399151      0.103972        2.790730       
28              574.521000      886.906397      306.389111      0.103976        2.894706       
29              574.650000      954.907605      316.924863      0.118335        3.013041       
30              574.942000      1014.706748     325.534319      0.104009        3.117050       
31              574.834000      1074.478562     333.582186      0.103981        3.221031       
32              575.104000      1134.277876     341.135075      0.103980        3.325011       
33              575.363000      1194.159931     348.244178      0.104077        3.429088       
34              575.462000      1254.001073     354.931814      0.103988        3.533076       
35              575.640000      1313.849213     361.240945      0.103968        3.637044       
36              575.856000      1373.723840     367.205791      0.103975        3.741019       
37              576.055000      1433.618583     372.853366      0.103974        3.844993       
38              576.423000      1493.555046     378.213537      0.103980        3.948973       
39              576.637000      1553.617556     383.312750      0.104160        4.053133       
40              576.958000      1613.622342     388.157311      0.104002        4.157135       
41              576.828000      1673.584766     392.760055      0.103952        4.261087       
42              577.466000      1733.626216     397.159677      0.103974        4.365061       
43              532.600000      1788.172978     400.264619      0.102416        4.467477       
44              487.479000      1838.006494     402.215656      0.102227        4.569704       
45              442.273000      1883.219178     403.092164      0.102228        4.671932       
46              413.293000      1925.464335     403.310567      0.102216        4.774148       
47              371.948000      1963.490811     402.653034      0.102236        4.876384       
48              330.634000      1997.285904     401.174448      0.102213        4.978597       
49              260.460000      2023.933306     398.341025      0.102309        5.080906       
50              247.988000      2049.288591     395.375127      0.102244        5.183150       
51              169.708000      2066.635804     391.010769      0.102218        5.285368       
52              124.177000      2079.331163     385.947290      0.102236        5.387604       
53              124.055000      2092.014298     381.070038      0.102238        5.489842       
54              123.306000      2104.620857     376.357430      0.102238        5.592080       
