#timestep       power           acc-energy      avg-power       dt              acc-time       
1               122.039000      12.218423       122.039000      0.100119        0.100119       
2               121.849000      24.700878       121.942911      0.102442        0.202561       
3               121.649000      37.143868       121.844294      0.102286        0.304847       
4               121.513000      49.572946       121.761061      0.102286        0.407133       
5               121.410000      61.980320       121.690623      0.102194        0.509327       
6               121.306000      74.390045       121.626291      0.102301        0.611628       
7               121.140000      86.781334       121.556616      0.102289        0.713917       
8               121.031000      99.162079       121.490741      0.102294        0.816211       
9               120.837000      111.535184      121.417870      0.102395        0.918606       
10              120.133000      123.829115      121.289079      0.102336        1.020942       
11              120.166000      136.124139      121.186778      0.102317        1.123259       
12              122.341000      148.639746      121.283124      0.102301        1.225560       
13              142.973000      163.427300      122.971146      0.103429        1.328989       
14              164.050000      180.386461      125.935924      0.103378        1.432367       
15              185.250000      199.525565      129.926355      0.103315        1.535682       
16              206.601000      220.884803      134.762604      0.103384        1.639066       
17              227.916000      244.441289      140.288225      0.103356        1.742422       
18              262.400000      271.553769      147.124047      0.103325        1.845747       
19              270.954000      299.560658      153.690918      0.103364        1.949111       
20              292.339000      329.778571      160.673455      0.103366        2.052477       
21              313.632000      362.173621      168.002210      0.103290        2.155767       
22              334.775000      396.772282      175.631655      0.103349        2.259116       
23              354.448000      433.409800      183.455359      0.103365        2.362481       
24              354.854000      470.074734      190.637433      0.103324        2.465805       
25              355.222000      506.762062      197.253910      0.103280        2.569085       
26              355.460000      543.549329      203.380231      0.103492        2.672577       
27              355.610000      580.306601      209.048608      0.103364        2.775941       
28              355.703000      617.099808      214.316979      0.103438        2.879379       
29              355.309000      653.823125      219.202552      0.103356        2.982735       
30              355.127000      690.532603      223.755382      0.103370        3.086105       
31              355.031000      727.233577      228.010148      0.103374        3.189479       
32              355.128000      763.921141      231.998347      0.103308        3.292787       
33              355.098000      800.633658      235.745771      0.103387        3.396174       
34              355.463000      838.447101      239.381771      0.106378        3.502552       
35              355.292000      875.176832      242.704819      0.103379        3.605931       
36              355.259000      911.886811      245.840364      0.103333        3.709264       
37              355.310000      948.623022      248.808973      0.103392        3.812656       
38              355.460000      985.352704      251.623143      0.103330        3.915986       
39              355.276000      1022.057689     254.287485      0.103314        4.019300       
40              355.095000      1058.751075     256.814230      0.103334        4.122634       
41              355.228000      1095.468862     259.221339      0.103364        4.225998       
42              355.281000      1132.181114     261.514103      0.103333        4.329331       
43              355.492000      1168.943964     263.706566      0.103414        4.432745       
44              355.644000      1205.668474     265.799518      0.103262        4.536007       
45              355.738000      1242.447515     267.803779      0.103388        4.639395       
46              355.585000      1279.196158     269.716581      0.103347        4.742742       
47              355.363000      1315.920081     271.542978      0.103342        4.846084       
48              355.340000      1352.645891     273.292825      0.103354        4.949438       
49              355.427000      1390.879884     275.039971      0.107572        5.057010       
50              355.595000      1427.606447     276.652261      0.103282        5.160292       
51              355.660000      1464.360352     278.203406      0.103340        5.263632       
52              355.693000      1501.105928     279.694986      0.103307        5.366939       
53              355.734000      1537.860009     281.131166      0.103319        5.470258       
54              355.564000      1574.618927     282.511775      0.103382        5.573640       
55              355.769000      1611.603961     283.853130      0.103958        5.677598       
56              355.646000      1648.347527     285.136193      0.103315        5.780913       
57              355.681000      1685.114983     286.375487      0.103372        5.884285       
58              355.704000      1721.877348     287.572148      0.103351        5.987636       
59              355.639000      1758.626237     288.726888      0.103332        6.090968       
60              355.591000      1795.362343     289.842068      0.103310        6.194278       
61              355.803000      1832.138141     290.924652      0.103360        6.297638       
62              332.756000      1866.550435     291.600483      0.103416        6.401054       
63              313.646000      1899.762724     291.959241      0.105891        6.506945       
64              285.693000      1928.985690     291.862261      0.102288        6.609233       
65              262.340000      1955.838287     291.412019      0.102358        6.711591       
66              239.028000      1980.285593     290.625721      0.102278        6.813869       
67              215.840000      2002.378544     289.518916      0.102358        6.916227       
68              207.360000      2023.609512     288.320388      0.102387        7.018614       
69              169.499000      2040.964006     286.611953      0.102387        7.121001       
70              165.235000      2057.900263     284.889672      0.102498        7.223499       
71              122.596000      2070.449312     282.622015      0.102361        7.325860       
72              122.566000      2082.985608     280.418119      0.102282        7.428142       
73              122.461000      2095.756209     278.231275      0.104283        7.532425       
