#timestep       power           acc-energy      avg-power       dt              acc-time       
1               121.328000      12.148937       121.328000      0.100133        0.100133       
2               121.231000      24.566749       121.278950      0.102431        0.202564       
3               121.114000      36.953320       121.223609      0.102272        0.304836       
4               121.063000      49.331528       121.183269      0.102246        0.407082       
5               120.991000      61.724394       121.144617      0.102428        0.509510       
6               120.966000      74.084337       121.114781      0.102177        0.611687       
7               120.966000      86.450328       121.093476      0.102227        0.713914       
8               120.896000      98.807955       121.068743      0.102217        0.816131       
9               120.825000      111.160015      121.041610      0.102231        0.918362       
10              120.803000      123.516108      121.017698      0.102283        1.020645       
11              120.774000      136.101242      120.995122      0.104204        1.124849       
12              120.439000      148.417214      120.948779      0.102259        1.227108       
13              147.473000      163.561954      122.997131      0.102695        1.329803       
14              174.729000      181.500157      126.704688      0.102663        1.432466       
15              201.660000      202.201968      131.717112      0.102657        1.535123       
16              228.726000      225.683208      137.797907      0.102661        1.637784       
17              243.560000      250.678553      144.034277      0.102625        1.740409       
18              268.211000      278.506785      151.020617      0.103755        1.844164       
19              317.547000      311.071230      159.792979      0.102550        1.946714       
20              342.036000      346.168912      168.918256      0.102614        2.049328       
21              391.203000      390.822778      180.646016      0.114145        2.163473       
22              391.268000      431.015001      190.193170      0.102723        2.266196       
23              391.205000      471.170629      198.903358      0.102646        2.368842       
24              391.134000      511.324446      206.888138      0.102660        2.471502       
25              391.064000      551.467557      214.232626      0.102651        2.574153       
26              390.928000      591.586152      221.006887      0.102624        2.676777       
27              390.897000      631.693747      227.278573      0.102604        2.779381       
28              390.774000      671.805135      233.101611      0.102646        2.882027       
29              390.686000      712.115726      238.548270      0.103179        2.985206       
30              390.697000      752.213741      243.605312      0.102632        3.087838       
31              390.780000      794.115517      248.544479      0.107226        3.195064       
32              390.897000      834.262202      252.977833      0.102704        3.297768       
33              391.172000      874.408576      257.148816      0.102631        3.400399       
34              391.418000      914.591548      261.083684      0.102660        3.503059       
35              391.634000      954.790428      264.800076      0.102644        3.605703       
36              391.880000      995.008289      268.317011      0.102628        3.708331       
37              392.088000      1035.242399     271.649716      0.102615        3.810946       
38              392.445000      1075.504509     274.816351      0.102593        3.913539       
39              392.645000      1115.813837     277.828255      0.102661        4.016200       
40              392.812000      1156.149737     280.694833      0.102685        4.118885       
41              392.947000      1197.651228     283.501230      0.105616        4.224501       
42              392.947000      1237.988023     286.097585      0.102652        4.327153       
43              392.780000      1278.302570     288.569434      0.102639        4.429792       
44              392.677000      1318.627356     290.928188      0.102692        4.532484       
45              392.609000      1358.956938     293.181563      0.102722        4.635206       
46              392.439000      1399.283577     295.334300      0.102759        4.737965       
47              392.377000      1439.541065     297.391185      0.102599        4.840564       
48              392.306000      1479.812060     299.362209      0.102652        4.943216       
49              392.179000      1520.081784     301.250993      0.102682        5.045898       
50              392.114000      1560.311897     303.061690      0.102598        5.148496       
51              391.997000      1600.561365     304.800672      0.102678        5.251174       
52              392.021000      1640.808593     306.473222      0.102666        5.353840       
53              392.050000      1681.065855     308.083654      0.102684        5.456524       
54              392.021000      1721.304066     309.633452      0.102643        5.559167       
55              392.050000      1761.543294     311.127510      0.102638        5.661805       
56              392.114000      1801.794188     312.569684      0.102651        5.764456       
57              392.208000      1842.057869     313.963144      0.102659        5.867115       
58              392.435000      1882.362906     315.313176      0.102705        5.969820       
