#timestep       power           acc-energy      avg-power       dt              acc-time       
1               123.189000      12.333190       123.189000      0.100116        0.100116       
2               123.066000      25.206386       123.126152      0.104604        0.204720       
3               123.002000      37.796255       123.084769      0.102355        0.307075       
4               122.818000      50.349729       123.018148      0.102212        0.409287       
5               122.786000      62.986127       122.971504      0.102914        0.512201       
6               122.651000      75.518116       122.918202      0.102176        0.614377       
7               122.634000      88.058178       122.877649      0.102256        0.716633       
8               122.541000      100.586770      122.835617      0.102240        0.818873       
9               122.507000      113.111763      122.799142      0.102239        0.921112       
10              122.511000      125.637043      122.770355      0.102238        1.023350       
11              122.507000      138.162526      122.746433      0.102243        1.125593       
12              122.442000      150.992978      122.720506      0.104788        1.230381       
13              142.694000      165.623822      124.256945      0.102533        1.332914       
14              162.123000      182.233324      126.959659      0.102450        1.435364       
15              181.360000      200.807671      130.582749      0.102417        1.537781       
16              200.647000      221.366364      134.959493      0.102462        1.640243       
17              211.155000      243.016508      139.442273      0.102532        1.742775       
18              228.750000      266.469102      144.404217      0.102525        1.845300       
19              258.721000      292.985935      150.419518      0.102492        1.947792       
20              263.865000      320.013890      156.087358      0.102431        2.050223       
21              297.385000      350.475631      162.810869      0.102432        2.152655       
22              316.663000      382.939288      169.804839      0.102518        2.255173       
23              316.570000      415.365237      176.181237      0.102429        2.357602       
24              315.808000      447.732714      181.998288      0.102491        2.460093       
25              315.896000      480.097207      187.351645      0.102453        2.562546       
26              315.902000      512.464210      192.293902      0.102459        2.665005       
27              315.902000      544.843218      196.871842      0.102497        2.767502       
28              315.896000      577.223189      201.122782      0.102502        2.870004       
29              315.960000      609.591712      205.080629      0.102445        2.972449       
30              315.902000      642.003257      208.778220      0.102600        3.075049       
31              315.830000      674.339827      212.227733      0.102386        3.177435       
32              315.900000      706.764435      215.471904      0.102642        3.280077       
33              316.003000      739.146210      218.517453      0.102473        3.382550       
34              316.059000      771.526139      221.384895      0.102449        3.484999       
35              316.035000      803.901396      224.087698      0.102442        3.587441       
36              316.100000      836.322193      226.645212      0.102565        3.690006       
37              316.058000      868.694433      229.060050      0.102425        3.792431       
38              316.087000      901.100621      231.350774      0.102523        3.894954       
39              316.235000      933.513760      233.527255      0.102497        3.997451       
40              316.299000      965.925867      235.596042      0.102473        4.099924       
41              316.362000      998.327031      237.564442      0.102418        4.202342       
42              316.362000      1030.784823     239.442376      0.102597        4.304939       
43              316.333000      1063.213700     241.230810      0.102515        4.407454       
44              316.234000      1095.638437     242.935998      0.102534        4.509988       
45              316.269000      1128.050000     244.565329      0.102481        4.612469       
46              316.391000      1160.467422     246.126171      0.102460        4.714929       
47              316.537000      1192.910566     247.624210      0.102494        4.817423       
48              316.575000      1225.588070     249.070614      0.103222        4.920645       
49              316.613000      1258.034254     250.448576      0.102479        5.023124       
50              316.548000      1290.477575     251.770290      0.102491        5.125615       
51              316.575000      1322.919864     253.040566      0.102479        5.228094       
52              316.774000      1355.425628     254.267421      0.102615        5.330709       
53              316.760000      1387.899547     255.446587      0.102519        5.433228       
54              316.971000      1420.403338     256.586269      0.102545        5.535773       
55              317.035000      1452.888646     257.684828      0.102466        5.638239       
56              316.974000      1485.364534     258.742981      0.102456        5.740695       
57              316.912000      1517.853085     259.763525      0.102516        5.843211       
58              316.878000      1550.332129     260.748111      0.102497        5.945708       
59              316.899000      1582.778150     261.698669      0.102386        6.048094       
60              316.932000      1615.952691     262.638326      0.104674        6.152768       
61              316.966000      1648.438536     263.528465      0.102490        6.255258       
62              317.025000      1680.985908     264.392304      0.102665        6.357923       
63              316.964000      1713.466793     265.226197      0.102475        6.460398       
64              316.866000      1745.956015     266.032968      0.102533        6.562931       
65              316.898000      1778.446933     266.815374      0.102528        6.665459       
66              316.969000      1810.933720     267.574886      0.102492        6.767951       
67              317.072000      1843.413307     268.312878      0.102436        6.870387       
68              317.174000      1875.929669     269.031257      0.102519        6.972906       
69              317.206000      1908.441063     269.729108      0.102493        7.075399       
70              317.173000      1941.669375     270.421351      0.104764        7.180163       
71              317.038000      1974.213960     271.078417      0.102652        7.282815       
72              317.064000      2006.710167     271.716591      0.102491        7.385306       
73              317.064000      2039.234909     272.337832      0.102581        7.487887       
74              317.104000      2071.770730     272.942950      0.102603        7.590490       
75              317.094000      2104.302672     273.531743      0.102594        7.693084       
76              317.090000      2136.793616     274.104280      0.102466        7.795550       
77              317.101000      2169.293298     274.662232      0.102490        7.898040       
78              317.032000      2201.766251     275.204682      0.102428        8.000468       
79              317.032000      2234.264251     275.733820      0.102507        8.102975       
80              317.200000      2268.512652     276.279085      0.107971        8.210946       
81              317.181000      2300.997696     276.782984      0.102418        8.313364       
82              317.363000      2333.505188     277.276890      0.102430        8.415794       
83              317.334000      2366.003680     277.758481      0.102411        8.518205       
84              317.231000      2398.521444     278.227831      0.102505        8.620710       
85              317.175000      2431.020463     278.685311      0.102464        8.723174       
86              317.082000      2463.547051     279.131593      0.102581        8.825755       
87              317.086000      2496.034732     279.567144      0.102457        8.928212       
88              316.965000      2528.505894     279.991386      0.102444        9.030656       
89              316.932000      2561.670609     280.414534      0.104643        9.135299       
90              316.932000      2594.144413     280.819577      0.102463        9.237762       
91              316.904000      2626.630242     281.215605      0.102510        9.340272       
92              316.797000      2659.098133     281.601792      0.102488        9.442760       
93              316.874000      2691.564409     281.980402      0.102458        9.545218       
94              316.938000      2724.017910     282.351432      0.102397        9.647615       
95              317.072000      2756.519375     282.716456      0.102505        9.750120       
96              317.207000      2789.026114     283.075196      0.102478        9.852598       
97              317.272000      2821.554108     283.427376      0.102524        9.955122       
98              317.342000      2854.058497     283.772766      0.102427        10.057549      
99              317.276000      2887.289034     284.118065      0.104737        10.162286      
100             317.169000      2919.787438     284.447983      0.102464        10.264750      
101             317.207000      2952.295129     284.771809      0.102481        10.367231      
102             317.175000      2984.793831     285.088927      0.102463        10.469694      
103             317.187000      3017.290908     285.399988      0.102454        10.572148      
104             317.125000      3049.792098     285.704579      0.102487        10.674635      
105             317.107000      3082.254658     286.002871      0.102371        10.777006      
106             317.172000      3114.763837     286.296519      0.102497        10.879503      
107             317.156000      3147.275181     286.584569      0.102509        10.982012      
108             317.243000      3179.791320     286.868061      0.102496        11.084508      
109             317.280000      3216.068798     287.178564      0.114339        11.198847      
110             317.444000      3248.660456     287.453511      0.102669        11.301516      
111             317.477000      3281.184387     287.723221      0.102445        11.403961      
112             317.492000      3313.708267     287.988248      0.102440        11.506401      
113             317.547000      3346.251119     288.249190      0.102482        11.608883      
114             317.463000      3378.800601     288.504948      0.102530        11.711413      
115             317.463000      3411.349447     288.756262      0.102528        11.813941      
116             317.404000      3443.849395     289.002423      0.102393        11.916334      
117             317.370000      3476.366173     289.244249      0.102457        12.018791      
118             317.375000      3508.875846     289.481974      0.102433        12.121224      
119             317.342000      3541.381187     289.715431      0.102430        12.223654      
120             317.342000      3573.949679     289.945451      0.102629        12.326283      
121             317.370000      3606.525806     290.171936      0.102644        12.428927      
122             317.342000      3639.040032     290.394081      0.102458        12.531385      
123             317.399000      3671.592791     290.613304      0.102561        12.633946      
124             317.478000      3704.119682     290.829409      0.102454        12.736400      
125             317.493000      3736.647475     291.042180      0.102452        12.838852      
126             317.551000      3769.182163     291.252048      0.102455        12.941307      
127             317.574000      3801.733180     291.458887      0.102499        13.043806      
128             317.551000      3835.768614     291.671539      0.107181        13.150987      
129             317.522000      3868.320017     291.871494      0.102517        13.253504      
130             317.488000      3900.851742     292.068022      0.102466        13.355970      
131             317.488000      3933.388547     292.261588      0.102482        13.458452      
132             317.458000      3965.915929     292.451964      0.102462        13.560914      
133             317.488000      3998.480673     292.639906      0.102570        13.663484      
134             317.518000      4031.021188     292.825117      0.102484        13.765968      
135             317.235000      4063.523500     293.005448      0.102455        13.868423      
136             317.203000      4096.031732     293.182950      0.102484        13.970907      
137             317.272000      4128.539738     293.358330      0.102461        14.073368      
138             317.337000      4161.055674     293.531652      0.102465        14.175833      
139             317.435000      4193.627679     293.703430      0.102610        14.278443      
140             317.472000      4226.162527     293.872809      0.102481        14.380924      
141             317.505000      4258.704567     294.040044      0.102493        14.483417      
142             317.435000      4291.245147     294.204465      0.102511        14.585928      
143             317.454000      4323.774023     294.366657      0.102468        14.688396      
144             317.365000      4356.301079     294.526020      0.102491        14.790887      
145             317.611000      4388.853348     294.684883      0.102491        14.893378      
146             317.641000      4422.299040     294.846040      0.105294        14.998672      
147             317.641000      4455.093567     295.001877      0.103244        15.101916      
148             317.575000      4487.933363     295.155392      0.103408        15.205324      
149             317.611000      4520.511994     295.305861      0.102574        15.307898      
150             317.611000      4553.050605     295.454145      0.102448        15.410346      
151             317.640000      4585.620140     295.600788      0.102536        15.512882      
152             317.640000      4618.166488     295.745402      0.102463        15.615345      
153             317.704000      4650.720663     295.888554      0.102467        15.717812      
154             317.807000      4683.282215     296.030505      0.102457        15.820269      
155             317.602000      4715.844995     296.169404      0.102527        15.922796      
156             317.606000      4748.402151     296.306526      0.102508        16.025304      
157             317.536000      4780.939113     296.441406      0.102467        16.127771      
158             317.483000      4813.451594     296.574172      0.102407        16.230178      
159             317.512000      4845.982604     296.705516      0.102456        16.332634      
160             317.483000      4878.493815     296.834976      0.102403        16.435037      
