#timestep       power           acc-energy      avg-power       dt              acc-time       
1               133.456000      13.363216       133.456000      0.100132        0.100132       
2               133.414000      27.025210       133.434765      0.102403        0.202535       
3               134.632000      40.788909       133.836369      0.102232        0.304767       
4               133.285000      54.412902       133.697889      0.102217        0.406984       
5               134.446000      68.163635       133.848135      0.102277        0.509261       
6               134.369000      81.910524       133.935269      0.102307        0.611568       
7               133.075000      95.510390       133.812095      0.102197        0.713765       
8               133.077000      109.115517      133.719997      0.102235        0.816000       
9               134.291000      122.840729      133.783555      0.102205        0.918205       
10              132.976000      136.436328      133.702644      0.102241        1.020446       
11              120.042000      148.704380      132.459070      0.102198        1.122644       
12              119.972000      160.968998      131.416888      0.102229        1.224873       
13              142.985000      175.611091      132.309400      0.102403        1.327276       
14              170.826000      193.105382      135.068387      0.102410        1.429686       
15              189.632000      212.525974      138.715653      0.102412        1.532098       
16              222.657000      235.341637      143.977881      0.102470        1.634568       
17              236.575000      259.569992      149.437439      0.102413        1.736981       
18              274.149000      287.651897      156.382357      0.102433        1.839414       
19              283.642000      316.697405      163.093416      0.102402        1.941816       
20              307.115000      348.156423      170.310100      0.102434        2.044250       
21              330.652000      381.996010      177.954641      0.102342        2.146592       
22              354.410000      418.249317      185.980832      0.102292        2.248884       
23              378.472000      457.052159      194.373739      0.102525        2.351409       
24              378.446000      495.796325      202.053612      0.102377        2.453786       
25              378.662000      534.566013      209.127560      0.102386        2.556172       
26              378.907000      573.368363      215.667309      0.102406        2.658578       
27              379.033000      612.188923      221.727405      0.102420        2.760998       
28              378.710000      651.000639      227.345811      0.102484        2.863482       
29              378.839000      689.797162      232.576707      0.102409        2.965891       
30              378.932000      728.611924      237.462589      0.102432        3.068323       
31              379.078000      768.284333      242.133520      0.104655        3.172978       
32              378.729000      807.088148      246.406325      0.102458        3.275436       
33              378.861000      845.943375      250.427732      0.102558        3.377994       
34              379.194000      884.784216      254.217364      0.102430        3.480424       
35              378.725000      923.546720      257.774205      0.102350        3.582774       
36              378.860000      962.342363      261.138850      0.102401        3.685175       
37              378.799000      1001.124562     264.319339      0.102382        3.787557       
38              379.130000      1039.961881     267.342729      0.102438        3.889995       
39              378.860000      1078.759039     270.203146      0.102405        3.992400       
40              378.964000      1117.574806     272.923637      0.102426        4.094826       
41              379.106000      1157.247491     275.569629      0.104648        4.199474       
42              379.234000      1196.062470     278.036059      0.102351        4.301825       
43              379.003000      1234.871998     280.383559      0.102399        4.404224       
44              379.111000      1273.690690     282.626726      0.102394        4.506618       
45              379.240000      1312.520315     284.772967      0.102388        4.609006       
46              379.355000      1351.367405     286.828718      0.102403        4.711409       
47              379.304000      1390.194100     288.795169      0.102363        4.813772       
48              379.320000      1429.050503     290.681398      0.102437        4.916209       
49              379.109000      1467.870127     292.485628      0.102397        5.018606       
50              379.354000      1506.716736     294.222687      0.102402        5.121008       
51              379.050000      1546.412368     295.922632      0.104724        5.225732       
52              379.072000      1585.228203     297.520612      0.102397        5.328129       
53              379.057000      1624.073586     299.059256      0.102479        5.430608       
54              379.279000      1663.493949     300.565728      0.103935        5.534543       
55              379.239000      1702.320058     301.994610      0.102379        5.636922       
56              379.332000      1741.170862     303.374701      0.102419        5.739341       
57              379.350000      1780.015923     304.706461      0.102399        5.841740       
58              379.587000      1818.882216     305.996321      0.102391        5.944131       
59              379.653000      1857.762479     307.243841      0.102410        6.046541       
60              379.782000      1896.651396     308.451815      0.102398        6.148939       
61              380.020000      1935.551384     309.623721      0.102363        6.251302       
62              380.084000      1974.524437     310.760806      0.102538        6.353840       
63              380.077000      2013.439381     311.860066      0.102387        6.456227       
