#timestep       power           acc-energy      avg-power       dt              acc-time       
1               123.653000      12.387681       123.653000      0.100181        0.100181       
2               123.653000      25.062237       123.653000      0.102501        0.202682       
3               123.593000      37.703082       123.632877      0.102278        0.304960       
4               123.499000      50.407177       123.599109      0.102868        0.407828       
5               123.417000      63.038907       123.562575      0.102350        0.510178       
6               123.312000      75.649409       123.520734      0.102265        0.612443       
7               123.282000      88.508338       123.485992      0.104305        0.716748       
8               123.276000      101.114665      123.459773      0.102261        0.819009       
9               123.214000      113.713789      123.432494      0.102254        0.921263       
10              123.120000      126.303179      123.401274      0.102253        1.023516       
11              122.231000      138.807654      123.294933      0.102302        1.125818       
12              122.264000      151.310371      123.209089      0.102260        1.228078       
13              138.058000      165.448891      124.352035      0.102410        1.330488       
14              151.876000      180.995526      126.318368      0.102364        1.432852       
15              170.737000      198.477458      129.280810      0.102391        1.535243       
16              195.426000      218.483218      133.415659      0.102370        1.637613       
17              210.028000      240.523136      138.029324      0.104938        1.742551       
18              224.465000      263.494435      142.824005      0.102338        1.844889       
19              250.720000      289.160140      148.496136      0.102368        1.947257       
20              253.667000      315.126255      153.748624      0.102363        2.049620       
21              282.689000      344.063997      159.882080      0.102366        2.151986       
22              282.761000      373.056331      165.470475      0.102533        2.254519       
23              282.187000      401.949458      170.540932      0.102390        2.356909       
24              282.452000      430.877062      175.201351      0.102416        2.459325       
25              282.486000      459.777922      179.486188      0.102309        2.561634       
26              282.484000      488.694962      183.443986      0.102367        2.664001       
27              282.545000      518.240127      187.187001      0.104568        2.768569       
28              282.517000      547.191057      190.589575      0.102475        2.871044       
29              282.545000      576.121687      193.756144      0.102393        2.973437       
30              282.317000      605.022196      196.703627      0.102369        3.075806       
31              282.363000      633.922896      199.462298      0.102353        3.178159       
32              282.516000      662.840104      202.053673      0.102356        3.280515       
33              282.398000      691.754270      204.485399      0.102388        3.382903       
34              282.551000      720.674213      206.777985      0.102353        3.485256       
35              282.388000      749.578319      208.935169      0.102356        3.587612       
36              282.458000      778.490155      210.974657      0.102358        3.689970       
37              282.389000      808.235882      212.956711      0.105336        3.795306       
38              282.399000      837.145633      214.780603      0.102372        3.897678       
39              282.557000      866.069863      216.515084      0.102366        4.000044       
40              282.488000      894.985617      218.161205      0.102361        4.102405       
41              282.622000      923.913392      219.730351      0.102355        4.204760       
42              282.454000      952.830185      221.221239      0.102377        4.307137       
43              282.458000      981.760098      222.643602      0.102422        4.409559       
44              282.517000      1010.677973     224.001898      0.102358        4.511917       
45              282.453000      1039.581106     225.298154      0.102329        4.614246       
46              282.517000      1069.137187     226.566694      0.104617        4.718863       
47              282.457000      1098.053723     227.753478      0.102375        4.821238       
48              282.516000      1126.964998     228.891701      0.102335        4.923573       
49              282.487000      1155.873870     229.983002      0.102337        5.025910       
50              282.490000      1184.792653     231.031149      0.102371        5.128281       
51              282.580000      1213.717542     232.039924      0.102360        5.230641       
52              282.521000      1242.638652     233.008917      0.102368        5.333009       
53              282.723000      1271.567152     233.944793      0.102321        5.435330       
54              282.703000      1300.506327     234.846103      0.102366        5.537696       
55              282.737000      1329.442763     235.715130      0.102344        5.640040       
56              282.615000      1361.237516     236.632347      0.112502        5.752542       
57              282.626000      1390.184918     237.436931      0.102423        5.854965       
58              282.626000      1419.106885     238.213177      0.102333        5.957298       
59              282.674000      1448.043940     238.964276      0.102369        6.059667       
60              282.561000      1476.969709     239.688549      0.102370        6.162037       
61              282.626000      1505.898741     240.390132      0.102358        6.264395       
62              282.674000      1534.834948     241.069980      0.102366        6.366761       
63              282.556000      1563.786766     241.727064      0.102464        6.469225       
64              282.645000      1592.713786     242.364310      0.102344        6.571569       
65              282.659000      1621.648457     242.982357      0.102366        6.673935       
66              282.826000      1651.243652     243.597424      0.104641        6.778576       
67              282.797000      1680.237698     244.181484      0.102526        6.881102       
68              282.767000      1709.187666     244.747165      0.102381        6.983483       
69              282.793000      1738.132943     245.296737      0.102355        7.085838       
70              282.703000      1767.072684     245.829444      0.102368        7.188206       
71              282.762000      1796.007720     246.347830      0.102330        7.290536       
72              282.691000      1824.944253     246.851032      0.102361        7.392897       
73              282.733000      1853.913076     247.341531      0.102460        7.495357       
74              282.788000      1882.860670     247.819105      0.102365        7.597722       
75              282.733000      1911.966901     248.285850      0.102946        7.700668       
76              282.822000      1940.909773     248.738790      0.102336        7.803004       
77              282.756000      1970.119034     249.183251      0.103302        7.906306       
78              282.822000      1999.401858     249.618077      0.103538        8.009844       
79              282.851000      2028.338647     250.037185      0.102304        8.112148       
80              282.989000      2057.302288     250.447750      0.102349        8.214497       
81              282.989000      2086.258854     250.848113      0.102324        8.316821       
82              282.915000      2115.218317     251.237984      0.102361        8.419182       
83              282.924000      2144.186905     251.618704      0.102390        8.521572       
84              282.826000      2173.129904     251.989023      0.102335        8.623907       
85              282.924000      2202.733939     252.359866      0.104636        8.728543       
86              282.859000      2231.689084     252.713405      0.102366        8.830909       
87              282.924000      2260.678608     253.059915      0.102464        8.933373       
88              282.962000      2289.647126     253.398708      0.102376        9.035749       
89              282.962000      2318.952652     253.733721      0.103567        9.139316       
90              282.949000      2348.143934     254.059832      0.103168        9.242484       
91              283.026000      2377.115891     254.377132      0.102365        9.344849       
92              283.067000      2406.091195     254.687991      0.102362        9.447211       
93              283.038000      2435.050794     254.991743      0.102317        9.549528       
94              283.091000      2464.023176     255.289692      0.102343        9.651871       
95              283.008000      2493.313655     255.583762      0.103497        9.755368       
96              282.994000      2522.307805     255.868644      0.102455        9.857823       
97              282.949000      2551.278388     256.147022      0.102388        9.960211       
98              282.885000      2580.232799     256.418994      0.102354        10.062565      
99              282.974000      2609.201130     256.686430      0.102371        10.164936      
100             282.891000      2638.157287     256.947672      0.102358        10.267294      
101             282.945000      2667.118689     257.204287      0.102357        10.369651      
102             282.826000      2696.063950     257.454688      0.102343        10.471994      
103             282.885000      2725.023170     257.700880      0.102371        10.574365      
104             282.956000      2753.987395     257.943014      0.102363        10.676728      
105             282.956000      2782.945678     258.180500      0.102342        10.779070      
106             283.003000      2811.916412     258.414022      0.102369        10.881439      
107             283.021000      2840.877668     258.643270      0.102329        10.983768      
108             283.021000      2869.846849     258.868347      0.102357        11.086125      
109             282.891000      2898.806400     259.088144      0.102370        11.188495      
110             282.915000      2927.754829     259.304072      0.102322        11.290817      
111             283.004000      2956.705289     259.516870      0.102297        11.393114      
112             282.915000      2985.666166     259.725228      0.102366        11.495480      
113             282.957000      3014.631908     259.930283      0.102368        11.597848      
114             282.945000      3043.599251     260.131663      0.102378        11.700226      
115             282.945000      3072.551881     260.329451      0.102326        11.802552      
116             283.003000      3101.522616     260.524418      0.102369        11.904921      
117             283.003000      3130.498444     260.716094      0.102387        12.007308      
118             283.126000      3159.478089     260.905512      0.102356        12.109664      
119             283.067000      3188.455374     261.091284      0.102369        12.212033      
120             283.156000      3217.440638     261.274700      0.102365        12.314398      
121             283.058000      3246.410492     261.454250      0.102346        12.416744      
122             283.096000      3275.378291     261.631140      0.102325        12.519069      
123             283.129000      3304.343803     261.805395      0.102305        12.621374      
124             282.963000      3334.182534     261.980701      0.105451        12.726825      
125             282.971000      3363.151973     262.148202      0.102376        12.829201      
126             282.987000      3392.121635     262.313169      0.102371        12.931572      
127             282.942000      3421.084144     262.475178      0.102362        13.033934      
128             282.934000      3450.049796     262.634621      0.102376        13.136310      
129             282.969000      3479.016483     262.791855      0.102367        13.238677      
130             282.942000      3507.984934     262.946493      0.102383        13.341060      
131             283.024000      3536.954705     263.099362      0.102358        13.443418      
132             282.991000      3565.921097     263.249673      0.102358        13.545776      
133             283.035000      3594.894541     263.398071      0.102367        13.648143      
134             283.128000      3625.088444     263.551042      0.106644        13.754787      
135             283.052000      3654.048343     263.695026      0.102313        13.857100      
136             283.125000      3683.024771     263.837479      0.102345        13.959445      
137             283.152000      3712.009626     263.978081      0.102365        14.061810      
138             283.215000      3741.027551     264.117234      0.102459        14.164269      
139             283.116000      3770.007871     264.253549      0.102362        14.266631      
140             283.148000      3798.995148     264.388166      0.102375        14.369006      
141             283.151000      3827.977635     264.520877      0.102357        14.471363      
142             283.117000      3856.957208     264.651488      0.102359        14.573722      
143             283.146000      3886.119547     264.781273      0.102994        14.676716      
144             283.120000      3915.538546     264.910197      0.103910        14.780626      
145             283.213000      3945.064351     265.038389      0.104253        14.884879      
146             283.185000      3974.038424     265.162273      0.102315        14.987194      
147             283.247000      4003.014309     265.284878      0.102299        15.089493      
148             283.212000      4031.993977     265.405627      0.102325        15.191818      
149             283.089000      4060.972666     265.523984      0.102366        15.294184      
150             283.146000      4089.963135     265.641170      0.102387        15.396571      
151             283.106000      4118.934504     265.756484      0.102334        15.498905      
152             283.140000      4147.919263     265.870548      0.102369        15.601274      
153             283.140000      4176.902323     265.983117      0.102363        15.703637      
154             283.078000      4206.716381     266.097005      0.105321        15.808958      
155             283.092000      4235.695094     266.206342      0.102365        15.911323      
156             283.089000      4264.673499     266.314262      0.102365        16.013688      
157             283.124000      4293.646994     266.421002      0.102335        16.116023      
158             283.119000      4322.629036     266.526396      0.102367        16.218390      
159             283.151000      4351.663906     266.630846      0.102542        16.320932      
160             283.240000      4380.655786     266.734362      0.102358        16.423290      
161             283.216000      4409.653706     266.836477      0.102388        16.525678      
162             283.184000      4438.642402     266.937118      0.102367        16.628045      
163             283.119000      4468.256650     267.038275      0.104600        16.732645      
164             283.216000      4497.249472     267.136648      0.102370        16.835015      
165             283.210000      4526.232617     267.233765      0.102338        16.937353      
166             283.210000      4555.225108     267.329747      0.102371        17.039724      
167             283.151000      4584.209010     267.424222      0.102362        17.142086      
168             283.151000      4613.194895     267.517581      0.102369        17.244455      
169             283.119000      4642.174956     267.609642      0.102360        17.346815      
170             283.151000      4671.150081     267.700785      0.102331        17.449146      
171             283.240000      4700.159522     267.791462      0.102420        17.551566      
172             283.240000      4729.146303     267.881018      0.102340        17.653906      
173             283.270000      4758.132756     267.969703      0.102328        17.756234      
174             283.184000      4787.147788     268.056992      0.102460        17.858694      
175             283.181000      4816.141558     268.143205      0.102386        17.961080      
176             283.122000      4845.121926     268.228085      0.102360        18.063440      
177             283.122000      4874.094367     268.311986      0.102332        18.165772      
178             283.215000      4903.085670     268.395495      0.102365        18.268137      
179             283.216000      4932.571571     268.479479      0.104111        18.372248      
180             283.216000      4961.847326     268.561928      0.103369        18.475617      
181             283.124000      4990.821953     268.642145      0.102339        18.577956      
182             283.157000      5019.805337     268.721679      0.102358        18.680314      
183             283.220000      5048.780442     268.800649      0.102306        18.782620      
184             283.190000      5077.783913     268.878685      0.102417        18.885037      
185             283.299000      5106.787214     268.956437      0.102377        18.987414      
186             283.303000      5135.788942     269.033371      0.102370        19.089784      
187             283.232000      5164.780003     269.109097      0.102358        19.192142      
188             283.108000      5193.758938     269.183363      0.102360        19.294502      
189             283.078000      5222.737916     269.256695      0.102371        19.396873      
190             283.119000      5251.717411     269.329463      0.102358        19.499231      
191             283.154000      5280.892750     269.402130      0.103037        19.602268      
192             283.247000      5310.083619     269.474538      0.103058        19.705326      
193             283.194000      5339.443190     269.546341      0.103673        19.808999      
194             283.198000      5368.415479     269.616483      0.102304        19.911303      
195             283.160000      5397.402285     269.685757      0.102369        20.013672      
196             283.223000      5426.391858     269.754638      0.102356        20.116028      
197             283.395000      5455.387984     269.823667      0.102317        20.218345      
198             283.428000      5484.399674     269.892195      0.102360        20.320705      
199             283.405000      5513.410144     269.959923      0.102364        20.423069      
200             283.405000      5542.411544     270.026956      0.102332        20.525401      
201             283.369000      5571.411811     270.093150      0.102341        20.627742      
202             283.288000      5601.044869     270.159724      0.104604        20.732346      
203             283.249000      5630.043052     270.224041      0.102377        20.834723      
204             283.249000      5659.036986     270.287721      0.102362        20.937085      
205             283.318000      5688.018151     270.351073      0.102292        21.039377      
206             283.305000      5716.997986     270.413750      0.102292        21.141669      
207             283.248000      5745.991251     270.475589      0.102360        21.244029      
208             283.276000      5774.976901     270.536947      0.102323        21.346352      
209             283.303000      5803.976080     270.597871      0.102361        21.448713      
210             283.387000      5832.987257     270.658623      0.102373        21.551086      
211             283.395000      5861.987918     270.718814      0.102333        21.653419      
212             283.395000      5891.633302     270.779759      0.104608        21.758027      
213             283.379000      5920.674548     270.838824      0.102482        21.860509      
214             283.318000      5949.686312     270.897007      0.102400        21.962909      
215             283.305000      5978.684845     270.954566      0.102358        22.065267      
216             283.215000      6007.668502     271.011167      0.102338        22.167605      
217             283.288000      6036.654246     271.067573      0.102319        22.269924      
218             283.218000      6065.637077     271.123151      0.102334        22.372258      
219             283.189000      6094.623737     271.178103      0.102358        22.474616      
220             283.278000      6123.656616     271.233031      0.102489        22.577105      
221             283.215000      6152.644804     271.287106      0.102354        22.679459      
222             283.226000      6183.321862     271.343853      0.108313        22.787772      
223             283.296000      6212.327689     271.397315      0.102387        22.890159      
224             283.349000      6241.322226     271.450506      0.102328        22.992487      
225             283.378000      6270.329931     271.503372      0.102364        23.094851      
226             283.365000      6299.327238     271.555699      0.102332        23.197183      
227             283.382000      6328.336770     271.607659      0.102369        23.299552      
228             283.319000      6357.347219     271.658902      0.102395        23.401947      
229             283.348000      6386.351854     271.709809      0.102364        23.504311      
230             283.266000      6415.341863     271.759909      0.102342        23.606653      
231             283.321000      6444.351667     271.809837      0.102392        23.709045      
232             283.368000      6473.354098     271.859518      0.102349        23.811394      
233             283.330000      6502.350374     271.908607      0.102341        23.913735      
234             283.330000      6531.352883     271.957288      0.102363        24.016098      
235             283.368000      6560.350497     272.005703      0.102332        24.118430      
236             283.351000      6589.354305     272.053649      0.102360        24.220790      
237             283.444000      6618.376987     272.101599      0.102393        24.323183      
238             283.535000      6647.391407     272.149499      0.102331        24.425514      
239             283.572000      6676.415852     272.197165      0.102353        24.527867      
240             283.508000      6705.436865     272.244173      0.102364        24.630231      
241             283.478000      6735.083844     272.291671      0.104583        24.734814      
242             283.322000      6764.087801     272.337135      0.102371        24.837185      
243             283.322000      6793.095157     272.382230      0.102383        24.939568      
244             282.053000      6821.961307     272.421754      0.102343        25.041911      
245             282.053000      6850.835073     272.460965      0.102370        25.144281      
246             282.153000      6879.719358     272.500265      0.102371        25.246652      
247             282.010000      6908.605642     272.538692      0.102430        25.349082      
248             282.143000      6937.492289     272.577327      0.102383        25.451465      
249             282.170000      6966.365334     272.615739      0.102325        25.553790      
250             282.201000      6995.226030     272.653947      0.102270        25.656060      
251             282.317000      7024.760059     272.693189      0.104613        25.760673      
252             282.260000      7053.685499     272.731095      0.102478        25.863151      
253             282.224000      7082.575359     272.768520      0.102365        25.965516      
254             283.397000      7111.582175     272.810252      0.102354        26.067870      
255             283.375000      7140.580789     272.851563      0.102333        26.170203      
256             283.395000      7169.587401     272.892639      0.102354        26.272557      
257             283.436000      7198.603878     272.933562      0.102374        26.374931      
258             283.432000      7227.615127     272.974148      0.102357        26.477288      
259             283.362000      7256.620628     273.014153      0.102362        26.579650      
260             283.343000      7285.627584     273.053783      0.102374        26.682024      
261             283.309000      7314.610378     273.092952      0.102301        26.784325      
262             283.309000      7343.638785     273.131884      0.102462        26.886787      
263             283.338000      7372.649480     273.170603      0.102389        26.989176      
264             283.432000      7401.665831     273.209379      0.102375        27.091551      
265             283.492000      7430.678685     273.248077      0.102341        27.193892      
266             283.461000      7459.693186     273.286374      0.102358        27.296250      
267             283.402000      7488.703632     273.324167      0.102365        27.398615      
268             283.338000      7517.704127     273.361437      0.102353        27.500968      
269             283.287000      7546.705067     273.398248      0.102373        27.603341      
270             283.275000      7575.705911     273.434744      0.102377        27.705718      
