#timestep       power           acc-energy      avg-power       dt              acc-time       
1               76.320000       7.638029        76.320000       0.100079        0.100079       
2               74.316000       15.286706       75.303972       0.102921        0.203000       
3               74.240000       22.897791       74.946947       0.102520        0.305520       
4               74.574000       30.692638       74.851878       0.104525        0.410045       
5               74.316000       38.404335       74.743653       0.103769        0.513814       
6               74.240000       46.111190       74.658999       0.103810        0.617624       
7               74.845000       53.983836       74.686067       0.105186        0.722810       
8               74.845000       61.654101       74.705803       0.102482        0.825292       
9               74.574000       69.421505       74.691032       0.104157        0.929449       
10              75.171000       77.125030       74.738698       0.102480        1.031929       
11              74.574000       84.766031       74.723822       0.102462        1.134391       
12              174.111000      102.607359      82.957807       0.102471        1.236862       
13              167.337000      120.277142      89.594849       0.105594        1.342456       
14              172.963000      138.435490      95.641608       0.104984        1.447440       
15              170.883000      156.026186      100.637383      0.102940        1.550380       
16              170.014000      173.493254      104.949041      0.102739        1.653119       
17              167.663000      190.747286      108.624285      0.102909        1.756028       
18              170.285000      208.933043      112.159304      0.106796        1.862824       
19              170.285000      226.486872      115.207200      0.103085        1.965909       
20              169.680000      244.514354      118.000145      0.106244        2.072153       
21              168.539000      261.838646      120.388684      0.102791        2.174944       
22              170.285000      279.342922      122.640498      0.102794        2.277738       
23              169.839000      296.798635      124.678278      0.102778        2.380516       
24              168.539000      314.366972      126.518297      0.104239        2.484755       
25              169.409000      331.975682      128.240455      0.103942        2.588697       
26              170.110000      349.466222      129.839920      0.102819        2.691516       
27              170.014000      367.157199      131.335268      0.104056        2.795572       
28              167.934000      384.408891      132.632494      0.102729        2.898301       
29              170.285000      401.935304      133.923749      0.102924        3.001225       
30              170.014000      419.412574      135.118985      0.102799        3.104024       
31              169.680000      436.867216      136.227605      0.102868        3.206892       
32              168.260000      454.428344      137.237247      0.104369        3.311261       
33              170.014000      471.901703      138.223957      0.102776        3.414037       
34              170.014000      489.381862      139.153346      0.102816        3.516853       
35              169.137000      506.898366      140.011045      0.103564        3.620417       
36              168.811000      524.261084      140.806625      0.102853        3.723270       
37              170.014000      541.745324      141.591675      0.102840        3.826110       
38              169.680000      559.183507      142.326405      0.102771        3.928881       
39              167.934000      576.451992      142.979528      0.102829        4.031710       
40              170.014000      594.119677      143.658843      0.103919        4.135629       
41              170.014000      611.597286      144.298074      0.102801        4.238430       
42              169.680000      629.041239      144.899145      0.102805        4.341235       
43              168.260000      646.633831      145.448545      0.104556        4.445791       
44              170.014000      664.265133      146.008510      0.103705        4.549496       
45              170.014000      681.735092      146.538728      0.102756        4.652252       
46              168.811000      699.229145      147.024043      0.103631        4.755883       
47              170.014000      717.327985      147.527380      0.106455        4.862338       
48              169.680000      734.773634      147.986101      0.102815        4.965153       
49              168.260000      752.106265      148.398170      0.103011        5.068164       
50              169.409000      769.513040      148.815672      0.102750        5.170914       
51              169.505000      786.930018      149.218782      0.102752        5.273666       
52              169.505000      804.344283      149.606425      0.102736        5.376402       
53              168.260000      821.630979      149.956194      0.102738        5.479140       
