#timestep       power           acc-energy      avg-power       dt              acc-time       
1               75.249000       7.531973        75.249000       0.100094        0.100094       
2               74.922000       15.244294       75.083210       0.102938        0.203032       
3               74.922000       22.944028       75.029032       0.102770        0.305802       
4               74.922000       30.621211       75.002169       0.102469        0.408271       
5               74.922000       38.308807       74.986067       0.102608        0.510879       
6               74.922000       46.244770       74.975065       0.105923        0.616802       
7               74.922000       53.923751       74.967504       0.102493        0.719295       
8               74.922000       61.706573       74.961762       0.103879        0.823174       
9               75.792000       69.581514       75.054811       0.103902        0.927076       
10              74.922000       77.260045       75.041590       0.102487        1.029563       
11              74.922000       84.938351       75.030764       0.102484        1.132047       
12              74.922000       92.656740       75.021691       0.103019        1.235066       
13              230.250000      116.321605      86.946997       0.102779        1.337845       
14              230.575000      140.019642      97.193813       0.102778        1.440623       
15              226.157000      164.314784      106.143142      0.107426        1.548049       
16              225.552000      187.496568      113.577357      0.102778        1.650827       
17              223.211000      210.941535      120.135600      0.105035        1.755862       
18              222.606000      233.831888      125.804605      0.102829        1.858691       
19              222.940000      256.753910      130.896183      0.102817        1.961508       
20              223.211000      279.797320      135.511870      0.103236        2.064744       
21              223.537000      302.785418      139.688103      0.102838        2.167582       
22              223.211000      325.742670      143.471670      0.102850        2.270432       
23              223.211000      348.723135      146.930645      0.102954        2.373386       
24              223.537000      371.711456      150.112149      0.102839        2.476225       
25              223.808000      394.891251      153.070787      0.103570        2.579795       
26              223.808000      417.901175      155.781794      0.102811        2.682606       
27              222.064000      440.724025      158.227498      0.102776        2.785382       
28              223.537000      463.703182      160.552037      0.102798        2.888180       
29              223.808000      487.018156      162.754192      0.104174        2.992354       
30              224.079000      510.055494      164.791158      0.102809        3.095163       
31              223.808000      533.566748      166.728459      0.105051        3.200214       
32              224.079000      556.918917      168.537162      0.104214        3.304428       
33              224.079000      579.940794      170.211975      0.102740        3.407168       
34              224.413000      602.995639      171.798426      0.102734        3.509902       
35              223.808000      626.776358      173.326644      0.106255        3.616157       
36              224.079000      649.827365      174.730478      0.102870        3.719027       
37              224.079000      673.142112      176.073524      0.104047        3.823074       
38              224.413000      696.929666      177.377632      0.105999        3.929073       
39              224.079000      719.983362      178.569295      0.102882        4.031955       
40              224.079000      743.019131      179.700798      0.102802        4.134757       
41              224.079000      766.062743      180.777758      0.102837        4.237594       
42              224.413000      789.268169      181.817174      0.103405        4.340999       
43              224.413000      812.343212      182.802783      0.102824        4.443823       
44              224.413000      835.454833      183.745270      0.102987        4.546810       
45              224.413000      858.535037      184.644811      0.102847        4.649657       
46              224.413000      881.911915      185.516238      0.104169        4.753826       
47              224.684000      905.003813      186.345103      0.102775        4.856601       
48              224.413000      928.068532      187.134021      0.102778        4.959379       
49              224.413000      951.140882      187.891149      0.102812        5.062191       
50              224.413000      974.221983      188.618405      0.102851        5.165042       
51              224.684000      997.326688      189.322426      0.102832        5.267874       
52              224.413000      1020.471074     189.996229      0.103133        5.371007       
53              224.413000      1043.546565     190.642748      0.102826        5.473833       
54              224.684000      1066.877078     191.276479      0.103837        5.577670       
55              224.684000      1089.979311     191.881179      0.102821        5.680491       
56              224.684000      1113.069637     192.464082      0.102768        5.783259       
57              224.413000      1136.409037     193.028479      0.104002        5.887261       
58              224.684000      1159.730563     193.576921      0.103797        5.991058       
59              224.684000      1183.015240     194.105860      0.103633        6.094691       
60              224.955000      1206.150512     194.617781      0.102844        6.197535       
61              224.684000      1229.630439     195.116347      0.104502        6.302037       
62              224.684000      1252.733347     195.591028      0.102824        6.404861       
63              224.955000      1275.890889     196.055519      0.102943        6.507804       
64              224.955000      1299.026611     196.505126      0.102846        6.610650       
65              224.955000      1322.173356     196.941162      0.102895        6.713545       
66              226.428000      1346.689168     197.409161      0.108272        6.821817       
67              227.901000      1370.130153     197.862073      0.102856        6.924673       
68              228.227000      1394.220426     198.317981      0.105554        7.030227       
69              227.630000      1417.603035     198.740105      0.102722        7.132949       
70              227.901000      1441.096438     199.155537      0.103086        7.236035       
71              228.227000      1464.800094     199.566900      0.103860        7.339895       
72              228.227000      1488.450573     199.965900      0.103627        7.443522       
73              227.901000      1512.034680     200.348944      0.103484        7.547006       
74              227.901000      1535.444443     200.718907      0.102719        7.649725       
75              227.901000      1559.022625     201.081623      0.103458        7.753183       
76              228.227000      1582.558534     201.437944      0.103125        7.856308       
77              228.506000      1606.043238     201.787472      0.102775        7.959083       
78              79.350000       1614.205179     200.225328      0.102860        8.061943       
79              76.398000       1622.052935     198.667420      0.102722        8.164665       
80              75.792000       1629.819417     197.144382      0.102471        8.267136       
81              75.520000       1638.000121     195.571339      0.108325        8.375461       
82              75.520000       1645.807756     194.107518      0.103385        8.478846       
83              74.922000       1653.490333     192.683343      0.102541        8.581387       
84              74.922000       1661.168414     191.293605      0.102481        8.683868       
85              74.650000       1668.816829     189.933428      0.102457        8.786325       
86              74.650000       1676.467708     188.604185      0.102490        8.888815       
87              74.922000       1684.151483     187.307508      0.102557        8.991372       
88              74.316000       1691.812051     186.026807      0.103081        9.094453       
89              74.650000       1699.463526     184.785537      0.102498        9.196951       
