#timestep       power           acc-energy      avg-power       dt              acc-time       
1               75.171000       7.523941        75.171000       0.100091        0.100091       
2               75.443000       15.284762       75.308862       0.102870        0.202961       
3               75.443000       23.129627       75.354304       0.103984        0.306945       
4               75.171000       30.826386       75.308453       0.102390        0.409335       
5               75.443000       38.705803       75.335804       0.104442        0.513777       
6               75.171000       46.517423       75.308078       0.103918        0.617695       
7               75.249000       54.226834       75.299673       0.102452        0.720147       
8               75.443000       61.982902       75.317578       0.102807        0.822954       
9               75.171000       69.682893       75.301353       0.102433        0.925387       
10              75.171000       77.385440       75.288358       0.102467        1.027854       
11              75.171000       85.086333       75.277722       0.102445        1.130299       
12              106.584000      96.006291       77.879584       0.102454        1.232753       
13              204.164000      116.969646      87.589369       0.102679        1.335432       
14              200.940000      138.498157      96.007861       0.107139        1.442571       
15              200.017000      159.341728      103.015121      0.104209        1.546780       
16              200.614000      180.450333      109.231437      0.105220        1.652000       
17              200.343000      201.038982      114.567337      0.102767        1.754767       
18              201.219000      222.128947      119.451266      0.104811        1.859578       
19              200.940000      243.367300      123.833839      0.105695        1.965273       
20              200.940000      264.149520      127.688778      0.103425        2.068698       
21              201.219000      285.188978      131.226471      0.104560        2.173258       
22              200.940000      306.550709      134.477604      0.106309        2.279567       
23              200.940000      327.564813      137.392934      0.104579        2.384146       
24              201.219000      348.560808      140.069202      0.104344        2.488490       
25              200.940000      369.532715      142.519402      0.104369        2.592859       
26              201.490000      390.515481      144.796409      0.104138        2.696997       
27              200.940000      411.617597      146.900621      0.105017        2.802014       
28              201.219000      432.694281      148.857983      0.104745        2.906759       
29              201.490000      453.822522      150.690550      0.104860        3.011619       
30              204.164000      475.049249      152.474990      0.103969        3.115588       
31              204.164000      496.107541      154.131360      0.103144        3.218732       
32              203.288000      517.297266      155.673308      0.104235        3.322967       
33              204.436000      538.288550      157.134902      0.102679        3.425646       
34              204.164000      559.372770      158.511172      0.103271        3.528917       
35              204.164000      580.438616      159.808082      0.103181        3.632098       
36              204.436000      601.450548      161.036197      0.102780        3.734878       
37              204.164000      622.536197      162.196690      0.103278        3.838156       
38              204.436000      643.536477      163.297700      0.102723        3.940879       
39              204.436000      664.548409      164.343336      0.102780        4.043659       
40              203.560000      685.462977      165.315088      0.102744        4.146403       
41              204.707000      706.500920      166.267825      0.102771        4.249174       
42              204.436000      727.818484      167.182040      0.104275        4.353449       
43              204.436000      752.325659      168.180378      0.119877        4.473326       
44              204.707000      773.374042      169.001099      0.102822        4.576148       
45              204.164000      794.355976      169.773434      0.102770        4.678918       
46              204.707000      815.581636      170.530802      0.103688        4.782606       
47              204.436000      836.674524      171.246798      0.103176        4.885782       
48              204.436000      857.677461      171.930313      0.102736        4.988518       
49              204.707000      878.715609      172.591938      0.102772        5.091290       
50              204.436000      899.723044      173.221935      0.102758        5.194048       
51              204.436000      921.188619      173.840432      0.104999        5.299047       
52              204.707000      942.505987      174.435326      0.104136        5.403183       
53              204.164000      963.496292      174.990436      0.102811        5.505994       
54              204.707000      984.873844      175.543568      0.104430        5.610424       
55              204.707000      1006.141264     176.073788      0.103892        5.714316       
56              204.436000      1027.146450     176.574751      0.102747        5.817063       
57              205.033000      1048.214205     177.068714      0.102753        5.919816       
58              204.707000      1069.243960     177.540160      0.102731        6.022547       
59              204.707000      1090.275762     177.995837      0.102741        6.125288       
