#timestep       power           acc-energy      avg-power       dt              acc-time       
1               81.638000       8.172127        81.638000       0.100102        0.100102       
2               80.410000       16.435943       81.015922       0.102771        0.202873       
3               80.576000       24.845338       80.866485       0.104366        0.307239       
4               80.085000       33.042759       80.671191       0.102359        0.409598       
5               80.085000       41.326991       80.552999       0.103443        0.513041       
6               80.764000       49.597144       80.588106       0.102399        0.615440       
7               80.085000       57.800170       80.516320       0.102429        0.717869       
8               80.085000       66.144147       80.461654       0.104189        0.822058       
9               80.085000       74.344130       80.419936       0.102391        0.924449       
10              80.085000       82.726627       80.385871       0.104670        1.029119       
11              82.048000       91.171253       80.536988       0.102923        1.132042       
12              63.505000       97.691311       79.120727       0.102670        1.234712       
13              168.018000      115.064037      85.989968       0.103398        1.338110       
14              175.042000      133.192086      92.387104       0.103564        1.441674       
15              175.313000      151.220223      97.908346       0.102834        1.544508       
16              278.989000      180.130737      109.293745      0.103626        1.648134       
17              280.132000      209.080419      119.373773      0.103343        1.751477       
18              283.672000      238.273388      128.491658      0.102911        1.854388       
19              284.815000      268.112031      136.850992      0.104765        1.959153       
20              285.410000      297.469875      144.261741      0.102862        2.062015       
21              285.410000      326.781196      150.958139      0.102699        2.164714       
22              285.681000      356.123778      157.060885      0.102711        2.267425       
23              286.879000      385.576497      162.684259      0.102666        2.370091       
24              286.879000      415.038110      167.842172      0.102697        2.472788       
25              286.832000      444.493748      172.586693      0.102693        2.575481       
26              287.724000      474.339359      177.044420      0.103730        2.679211       
27              287.130000      503.829620      181.108724      0.102707        2.781918       
28              287.130000      533.888111      184.953707      0.104686        2.886604       
29              286.832000      563.430373      188.463527      0.102995        2.989599       
30              287.752000      593.000056      191.762943      0.102761        3.092360       
31              287.454000      622.530780      194.839704      0.102732        3.195092       
32              287.428000      652.073780      197.725378      0.102784        3.297876       
33              287.130000      681.876151      200.453351      0.103794        3.401670       
34              287.724000      711.426557      203.011025      0.102704        3.504374       
35              288.347000      741.064015      205.442627      0.102784        3.607158       
36              288.319000      771.328860      207.786170      0.104970        3.712128       
37              288.896000      801.016680      209.971053      0.102763        3.814891       
38              288.921000      831.131205      212.070766      0.104231        3.919122       
39              288.347000      860.803264      214.022302      0.102904        4.022026       
40              288.896000      890.517662      215.889298      0.102855        4.124881       
41              288.618000      920.161040      217.656220      0.102708        4.227589       
42              288.618000      949.824332      219.340428      0.102777        4.330366       
43              288.618000      979.465112      220.945353      0.102699        4.433065       
44              288.347000      1009.308738     222.483082      0.103499        4.536564       
45              288.347000      1038.935239     223.941758      0.102746        4.639310       
46              288.618000      1068.605169     225.343817      0.102800        4.742110       
47              289.491000      1098.351817     226.704318      0.102755        4.844865       
48              289.491000      1128.084859     228.007724      0.102708        4.947573       
49              289.761000      1158.429210     229.287722      0.104722        5.052295       
50              289.761000      1188.297195     230.496842      0.103078        5.155373       
51              289.491000      1219.492745     231.704717      0.107760        5.263133       
52              289.461000      1249.232547     232.810594      0.102742        5.365875       
53              289.220000      1278.955975     233.870683      0.102771        5.468646       
54              289.461000      1308.679568     234.895276      0.102686        5.571332       
55              289.191000      1338.535647     235.883102      0.103240        5.674572       
56              288.622000      1368.196175     236.821210      0.102766        5.777338       
57              289.191000      1397.912575     237.736393      0.102757        5.880095       
58              289.786000      1427.965991     238.638497      0.103709        5.983804       
59              289.763000      1457.763769     239.502256      0.102835        6.086639       
60              290.364000      1487.629449     240.347468      0.102856        6.189495       
61              290.086000      1517.454641     241.160185      0.102815        6.292310       
62              289.485000      1547.558186     241.945841      0.103990        6.396300       
63              290.064000      1577.350369     242.706291      0.102709        6.499009       
64              290.064000      1607.135591     243.442909      0.102685        6.601694       
65              290.064000      1636.937637     244.157360      0.102743        6.704437       
66              290.086000      1666.777333     244.851386      0.102865        6.807302       
67              289.461000      1697.570484     245.537796      0.106381        6.913683       
68              289.761000      1727.479614     246.188328      0.103220        7.016903       
69              290.364000      1757.608944     246.832066      0.103764        7.120667       
70              290.959000      1789.876588     247.508782      0.110901        7.231568       
71              134.034000      1803.646973     245.919242      0.102738        7.334306       
72              86.922000       1812.709548     243.690693      0.104261        7.438567       
73              85.540000       1821.464310     241.544236      0.102347        7.540914       
74              87.012000       1831.207392     239.283182      0.111974        7.652888       
75              84.394000       1839.854064     237.236938      0.102456        7.755344       
76              84.394000       1848.500060     235.244209      0.102448        7.857792       
77              83.711000       1857.292812     233.245347      0.105037        7.962829       
78              83.625000       1865.855427     231.345824      0.102393        8.065222       
79              83.379000       1874.388601     229.491756      0.102342        8.167564       
80              83.022000       1882.900597     227.675922      0.102527        8.270091       
81              83.022000       1891.434346     225.900090      0.102789        8.372880       
82              83.108000       1899.976020     224.168557      0.102778        8.475658       
83              83.022000       1908.480710     222.482995      0.102439        8.578097       
