#timestep       power           acc-energy      avg-power       dt              acc-time       
1               136.872000      13.705404       136.872000      0.100133        0.100133       
2               136.857000      28.823860       136.864132      0.110469        0.210602       
3               136.873000      42.529775       136.866990      0.100136        0.310738       
4               136.777000      56.229085       136.845054      0.100158        0.410896       
5               136.735000      69.923506       136.823486      0.100153        0.511049       
6               136.695000      83.618705       136.802426      0.100188        0.611237       
7               136.646000      97.301752       136.780407      0.100135        0.711372       
8               136.617000      110.980392      136.760246      0.100124        0.811496       
9               136.578000      124.653899      136.740231      0.100115        0.911611       
10              136.542000      138.325166      136.720613      0.100125        1.011736       
11              133.356000      151.677703      136.417619      0.100127        1.111863       
12              133.335000      165.027203      136.162968      0.100120        1.211983       
13              176.642000      182.713130      139.251806      0.100123        1.312106       
14              225.873000      205.330471      145.393571      0.100133        1.412239       
15              225.873000      227.945102      150.721456      0.100121        1.512360       
16              302.072000      258.188248      160.118828      0.100119        1.612479       
17              355.206000      293.765326      171.527974      0.100159        1.712638       
18              407.914000      334.614242      184.586341      0.100141        1.812779       
19              461.108000      380.785908      199.060964      0.100132        1.912911       
20              514.171000      432.274992      214.736235      0.100140        2.013051       
21              567.116000      489.046139      231.429265      0.100105        2.113156       
22              630.870000      552.218307      249.500995      0.100135        2.213291       
23              660.133000      618.318744      267.274400      0.100132        2.313423       
24              662.386000      684.633519      283.663865      0.100115        2.413538       
25              662.297000      750.933422      298.742949      0.100106        2.513644       
26              661.586000      817.158842      312.639084      0.100101        2.613745       
27              660.579000      883.288085      325.473813      0.100108        2.713853       
28              660.004000      949.351185      337.373393      0.100095        2.813948       
29              658.503000      1015.280505     348.406594      0.100120        2.914068       
30              657.275000      1081.083592     358.665546      0.100115        3.014183       
31              656.268000      1146.787832     368.232817      0.100118        3.114301       
32              655.620000      1212.489479     377.192160      0.100213        3.214514       
33              655.213000      1278.116923     385.593320      0.100162        3.314676       
34              655.029000      1343.707597     393.494103      0.100134        3.414810       
35              654.575000      1409.252156     400.931724      0.100133        3.514943       
36              653.967000      1474.732563     407.940138      0.100128        3.615071       
37              653.564000      1540.171966     414.559861      0.100127        3.715198       
38              653.254000      1605.582289     420.824183      0.100130        3.815328       
39              653.381000      1671.000102     426.770895      0.100122        3.915450       
40              654.102000      1736.481599     432.438323      0.100109        4.015559       
41              653.853000      1801.928361     437.823199      0.100094        4.115653       
42              653.484000      1867.355179     442.944907      0.100120        4.215773       
43              653.230000      1932.819277     447.827665      0.100216        4.315989       
44              653.230000      1998.229809     452.485089      0.100134        4.416123       
45              652.963000      2063.610995     456.929892      0.100130        4.516253       
46              652.984000      2128.992324     461.182208      0.100127        4.616380       
47              653.742000      2194.456086     465.270471      0.100137        4.716517       
48              653.670000      2259.953167     469.189624      0.100199        4.816716       
49              654.205000      2325.460676     472.957513      0.100133        4.916849       
50              654.165000      2390.945863     476.573208      0.100105        5.016954       
51              654.030000      2456.422115     480.045033      0.100112        5.117066       
52              654.373000      2521.934013     483.390263      0.100114        5.217180       
53              654.629000      2587.477432     486.614630      0.100123        5.317303       
54              654.075000      2652.967346     489.709666      0.100126        5.417429       
55              653.645000      2718.424010     492.685006      0.100141        5.517570       
56              651.781000      2783.690100     495.520876      0.100135        5.617705       
57              651.046000      2848.881289     498.244492      0.100133        5.717838       
58              650.669000      2914.034078     500.867842      0.100132        5.817970       
59              649.932000      2979.113069     503.389950      0.100132        5.918102       
60              649.932000      3044.190760     505.828084      0.100130        6.018232       
61              649.414000      3109.217883     508.177984      0.100132        6.118364       
62              649.034000      3174.210849     510.446221      0.100138        6.218502       
