#timestep       power           acc-energy      avg-power       dt              acc-time       
1               135.441000      13.564958       135.441000      0.100154        0.100154       
2               135.440000      28.758753       135.440472      0.112181        0.212335       
3               135.417000      42.318463       135.432950      0.100133        0.312468       
4               135.396000      55.874311       135.423984      0.100120        0.412588       
5               135.362000      69.423641       135.411882      0.100097        0.512685       
6               135.285000      82.976221       135.391142      0.100178        0.612863       
7               135.259000      96.532825       135.372569      0.100227        0.713090       
8               135.243000      110.085256      135.356604      0.100208        0.813298       
9               135.245000      123.632342      135.344366      0.100167        0.913465       
10              135.217000      137.183249      135.331774      0.100216        1.013681       
11              133.030000      150.507666      135.124790      0.100161        1.113842       
12              132.987000      163.834161      134.948335      0.100209        1.214051       
13              149.042000      178.756693      136.022089      0.100123        1.314174       
14              193.174000      198.098819      140.068259      0.100128        1.414302       
15              221.692000      220.295731      145.464740      0.100125        1.514427       
16              266.492000      246.980374      152.970700      0.100133        1.614560       
17              305.895000      277.609334      161.900691      0.100129        1.714689       
18              351.233000      312.778295      172.346826      0.100130        1.814819       
19              383.754000      351.226608      183.407288      0.100190        1.915009       
20              421.069000      393.385721      195.215760      0.100124        2.015133       
21              465.131000      439.955567      207.991739      0.100122        2.115255       
22              502.821000      490.301525      221.316922      0.100127        2.215382       
23              510.001000      541.366905      233.800288      0.100128        2.315510       
24              510.001000      592.431775      245.248676      0.100127        2.415637       
25              507.599000      643.253602      255.689675      0.100122        2.515759       
26              508.843000      694.219317      265.382574      0.100160        2.615919       
27              507.229000      745.003592      274.297725      0.100121        2.716040       
28              509.101000      795.978348      282.646003      0.100127        2.816167       
29              509.462000      847.080443      290.446866      0.100306        2.916473       
30              508.739000      898.036759      297.694868      0.100162        3.016635       
31              508.997000      949.000083      304.482887      0.100125        3.116760       
32              508.585000      999.923174      310.835654      0.100127        3.216887       
33              508.846000      1050.873415     316.812887      0.100129        3.317016       
34              508.102000      1101.747636     322.417867      0.100126        3.417142       
35              511.091000      1152.919600     327.788665      0.100123        3.517265       
36              509.153000      1203.900580     332.808807      0.100129        3.617394       
37              510.088000      1254.973652     337.583564      0.100126        3.717520       
38              509.970000      1306.034398     342.104726      0.100125        3.817645       
39              506.755000      1356.772735     346.312592      0.100124        3.917769       
40              506.730000      1407.509077     350.310157      0.100125        4.017894       
41              506.593000      1458.230181     354.109887      0.100122        4.118016       
42              505.922000      1508.886127     357.713450      0.100126        4.218142       
43              506.065000      1559.601431     361.156206      0.100215        4.318357       
44              503.885000      1610.051909     364.390449      0.100123        4.418480       
45              503.336000      1660.439869     367.468747      0.100108        4.518588       
46              506.878000      1711.191536     370.490906      0.100126        4.618714       
47              507.050000      1761.947748     373.387757      0.100101        4.718815       
48              509.878000      1812.995714     376.223474      0.100118        4.818933       
49              511.267000      1864.172006     378.971465      0.100097        4.919030       
50              509.948000      1915.237689     381.584619      0.100139        5.019169       
51              509.533000      1966.258248     384.087251      0.100132        5.119301       
52              510.362000      2017.359264     386.509645      0.100127        5.219428       
53              510.362000      2068.456197     388.840666      0.100119        5.319547       
54              510.054000      2119.530454     391.080225      0.100135        5.419682       
55              513.401000      2170.936269     393.299094      0.100128        5.519810       
56              512.763000      2222.278203     395.427530      0.100128        5.619938       
57              512.403000      2273.583066     397.475110      0.100126        5.720064       
58              509.513000      2324.599074     399.402541      0.100127        5.820191       
59              510.530000      2375.716401     401.281958      0.100126        5.920317       
60              510.336000      2426.811241     403.095530      0.100120        6.020437       
61              507.657000      2477.641413     404.806063      0.100127        6.120564       
62              471.882000      2524.888599     405.885682      0.100125        6.220689       
63              426.652000      2567.607983     406.214638      0.100127        6.320816       
64              396.211000      2607.278214     406.058648      0.100124        6.420940       
65              350.964000      2642.419537     405.212695      0.100128        6.521068       
66              320.416000      2674.503112     403.930332      0.100131        6.621199       
67              279.400000      2702.478595     402.075215      0.100127        6.721326       
68              239.348000      2726.444750     399.686570      0.100131        6.821457       
69              193.302000      2745.808971     396.699590      0.100176        6.921633       
70              169.566000      2762.792363     393.459783      0.100158        7.021791       
71              135.381000      2776.344813     389.832205      0.100106        7.121897       
72              135.117000      2789.870835     386.301534      0.100106        7.222003       
