#timestep       power           acc-energy      avg-power       dt              acc-time       
1               136.548000      13.671459       136.548000      0.100122        0.100122       
2               136.548000      28.878673       136.548000      0.111369        0.211491       
3               136.564000      42.552280       136.553141      0.100126        0.311617       
4               136.529000      56.222246       136.547271      0.100125        0.411742       
5               136.503000      69.887698       136.538612      0.100111        0.511853       
6               136.462000      83.550819       136.526078      0.100124        0.611977       
7               136.369000      97.204629       136.503992      0.100124        0.712101       
8               136.327000      110.854234      136.482174      0.100124        0.812225       
9               136.329000      124.504311      136.465364      0.100126        0.912351       
10              136.278000      138.155006      136.446828      0.100168        1.012519       
11              133.629000      151.534877      136.193252      0.100127        1.112646       
12              133.586000      164.910442      135.977996      0.100127        1.212773       
13              147.653000      179.693313      136.868313      0.100119        1.312892       
14              178.599000      197.574823      139.825199      0.100121        1.413013       
15              211.108000      218.713067      144.542233      0.100130        1.513143       
16              249.401000      243.685340      151.050375      0.100129        1.613272       
17              287.274000      272.448937      159.010888      0.100126        1.713398       
18              315.298000      304.019725      167.639940      0.100130        1.813528       
19              315.298000      335.588307      175.365470      0.100123        1.913651       
20              357.146000      371.347550      184.403603      0.100125        2.013776       
21              408.992000      412.297056      195.041039      0.100123        2.113899       
22              446.398000      456.992656      206.408176      0.100125        2.214024       
23              451.368000      502.185426      217.006616      0.100124        2.314148       
24              451.697000      547.428301      226.743169      0.100162        2.414310       
25              451.697000      592.654011      235.700762      0.100124        2.514434       
26              451.864000      637.883338      243.976387      0.100095        2.614529       
27              452.099000      683.142969      251.651497      0.100110        2.714639       
28              452.207000      728.410246      258.784019      0.100103        2.814742       
29              452.457000      773.743723      265.441067      0.100194        2.914936       
30              452.561000      819.050057      271.654159      0.100111        3.015047       
31              452.679000      864.361414      277.470862      0.100096        3.115143       
32              452.792000      909.688158      282.929391      0.100105        3.215248       
33              452.861000      955.031771      288.061462      0.100127        3.315375       
34              452.969000      1000.382574     292.895427      0.100119        3.415494       
35              452.977000      1045.735084     297.454381      0.100121        3.515615       
36              453.096000      1091.102681     301.764445      0.100128        3.615743       
37              453.176000      1136.479194     305.844466      0.100130        3.715873       
38              453.321000      1181.869319     309.714101      0.100128        3.816001       
39              453.405000      1227.266948     313.387933      0.100126        3.916127       
40              453.450000      1272.669536     316.879743      0.100127        4.016254       
41              453.541000      1318.081689     320.203929      0.100128        4.116382       
42              453.662000      1363.512763     323.373575      0.100143        4.216525       
43              453.782000      1408.979904     326.400503      0.100196        4.316721       
44              453.821000      1454.421001     329.289125      0.100130        4.416851       
45              453.928000      1499.891422     332.053159      0.100171        4.517022       
46              453.967000      1545.348046     334.697098      0.100132        4.617154       
47              454.041000      1590.825247     337.231083      0.100161        4.717315       
48              454.067000      1636.293700     339.659646      0.100136        4.817451       
49              454.087000      1681.812743     341.992150      0.100243        4.917694       
50              454.168000      1727.284951     344.230428      0.100122        5.017816       
51              454.194000      1772.767484     346.381999      0.100139        5.117955       
52              454.208000      1818.247331     348.451076      0.100130        5.218085       
53              454.200000      1863.717748     350.441719      0.100111        5.318196       
54              454.313000      1909.198568     352.360852      0.100109        5.418305       
55              454.298000      1954.680612     354.210193      0.100115        5.518420       
56              454.326000      2000.163642     355.994056      0.100111        5.618531       
57              454.326000      2045.646218     357.715446      0.100110        5.718641       
58              454.406000      2091.145436     359.379291      0.100129        5.818770       
59              454.447000      2136.647851     360.987503      0.100127        5.918897       
60              454.420000      2182.147108     362.541746      0.100126        6.019023       
61              454.420000      2227.647274     364.045155      0.100128        6.119151       
62              454.481000      2273.153548     365.501137      0.100128        6.219279       
63              454.497000      2318.661878     366.911248      0.100129        6.319408       
64              454.548000      2364.167132     368.277924      0.100111        6.419519       
65              454.589000      2409.675128     369.603219      0.100108        6.519627       
66              454.604000      2455.192808     370.888885      0.100126        6.619753       
67              454.460000      2500.695161     372.134068      0.100124        6.719877       
68              454.201000      2546.172491     373.338911      0.100126        6.820003       
69              454.291000      2591.657923     374.510168      0.100124        6.920127       
70              454.330000      2637.147260     375.648571      0.100124        7.020251       
71              454.397000      2682.644214     376.755924      0.100126        7.120377       
72              454.380000      2728.148553     377.832541      0.100146        7.220523       
73              454.401000      2773.646816     378.879804      0.100128        7.320651       
74              454.419000      2819.146428     379.899039      0.100127        7.420778       
75              454.395000      2864.642273     380.890786      0.100124        7.520902       
76              454.518000      2910.149978     381.858081      0.100123        7.621025       
77              454.696000      2955.675051     382.802588      0.100122        7.721147       
78              455.014000      3001.230143     383.726947      0.100118        7.821265       
79              455.000000      3046.782013     384.627729      0.100114        7.921379       
80              455.014000      3092.338470     385.506261      0.100121        8.021500       
81              455.006000      3137.897310     386.363093      0.100128        8.121628       
82              455.087000      3183.463351     387.200025      0.100126        8.221754       
83              455.124000      3229.033097     388.017263      0.100126        8.321880       
84              455.154000      3274.605391     388.815418      0.100125        8.422005       
85              455.230000      3320.186205     389.595726      0.100127        8.522132       
86              455.215000      3365.807397     390.358430      0.100219        8.622351       
87              455.209000      3411.392937     391.102972      0.100142        8.722493       
88              455.155000      3456.981262     391.830129      0.100160        8.822653       
89              455.194000      3502.561658     392.541216      0.100134        8.922787       
90              455.208000      3548.143001     393.236668      0.100133        9.022920       
91              455.289000      3593.732454     393.917744      0.100133        9.123053       
92              455.322000      3639.326578     394.584409      0.100136        9.223189       
93              455.303000      3684.912425     395.236459      0.100122        9.323311       
94              455.311000      3730.500894     395.874764      0.100126        9.423437       
95              455.310000      3776.091084     396.499661      0.100130        9.523567       
96              455.390000      3821.681088     397.112278      0.100112        9.623679       
97              455.378000      3867.275355     397.712228      0.100124        9.723803       
98              455.486000      3912.884079     398.301096      0.100132        9.823935       
99              455.440000      3958.485009     398.877577      0.100125        9.924060       
100             455.500000      4004.092857     399.443153      0.100127        10.024187      
101             455.500000      4049.701161     399.997547      0.100128        10.124315      
102             455.520000      4095.333333     400.541536      0.100176        10.224491      
103             455.581000      4140.949747     401.075308      0.100128        10.324619      
104             455.581000      4186.564339     401.598806      0.100124        10.424743      
105             455.602000      4232.179667     402.112528      0.100121        10.524864      
106             455.513000      4277.789728     402.615769      0.100129        10.624993      
107             455.479000      4323.405039     403.109389      0.100148        10.725141      
108             455.485000      4369.020040     403.593922      0.100146        10.825287      
109             455.498000      4414.645453     404.069786      0.100166        10.925453      
110             455.540000      4460.255940     404.537190      0.100124        11.025577      
111             455.479000      4505.864874     404.995678      0.100134        11.125711      
112             455.369000      4551.462338     405.445002      0.100133        11.225844      
113             455.142000      4597.034341     405.884347      0.100127        11.325971      
114             454.601000      4642.549448     406.311226      0.100121        11.426092      
115             454.359000      4688.043506     406.728616      0.100128        11.526220      
116             454.320000      4733.538202     407.138521      0.100138        11.626358      
117             453.767000      4778.974345     407.536676      0.100131        11.726489      
118             453.511000      4824.382134     407.925898      0.100125        11.826614      
119             452.894000      4869.745356     408.303547      0.100163        11.926777      
120             452.907000      4915.100822     408.674941      0.100143        12.026920      
121             453.020000      4960.462167     409.041091      0.100131        12.127051      
122             452.994000      5005.821815     409.401038      0.100133        12.227184      
123             453.327000      5051.213448     409.757831      0.100130        12.327314      
124             453.546000      5096.627916     410.110647      0.100132        12.427446      
125             453.631000      5142.053163     410.458519      0.100137        12.527583      
126             452.936000      5187.407457     410.795353      0.100134        12.627717      
127             453.563000      5232.823627     411.131812      0.100132        12.727849      
128             451.938000      5278.077535     411.450338      0.100133        12.827982      
129             452.059000      5323.377011     411.765098      0.100207        12.928189      
130             451.928000      5368.629466     412.073779      0.100132        13.028321      
131             451.922000      5413.882675     412.377714      0.100135        13.128456      
132             452.047000      5459.151114     412.678012      0.100141        13.228597      
133             452.004000      5504.413438     412.973463      0.100137        13.328734      
134             451.251000      5549.603518     413.258913      0.100144        13.428878      
135             451.589000      5594.824286     413.542618      0.100137        13.529015      
136             452.267000      5640.121540     413.827190      0.100156        13.629171      
137             452.261000      5685.407791     414.107503      0.100133        13.729304      
138             454.629000      5730.935702     414.400930      0.100143        13.829447      
139             453.346000      5776.330598     414.680888      0.100133        13.929580      
140             453.346000      5821.722319     414.956829      0.100126        14.029706      
141             453.521000      5867.139726     415.230149      0.100144        14.129850      
142             453.552000      5912.556156     415.499816      0.100135        14.229985      
143             453.552000      5958.443372     415.768452      0.101173        14.331158      
144             454.611000      6003.985848     416.038088      0.100179        14.431337      
145             454.611000      6049.508320     416.303890      0.100135        14.531472      
146             454.658000      6095.033680     416.566365      0.100131        14.631603      
147             454.685000      6140.560380     416.825448      0.100128        14.731731      
148             454.271000      6186.035633     417.078183      0.100106        14.831837      
149             454.077000      6231.495097     417.326249      0.100114        14.931951      
150             455.242000      6277.077568     417.578804      0.100128        15.032079      
151             455.308000      6322.656176     417.828396      0.100105        15.132184      
152             452.758000      6367.988118     418.057993      0.100124        15.232308      
153             451.772000      6413.222693     418.278160      0.100127        15.332435      
154             451.806000      6458.460672     418.495689      0.100127        15.432562      
155             451.813000      6503.699804     418.710462      0.100128        15.532690      
156             451.861000      6548.943742     418.922791      0.100128        15.632818      
157             451.758000      6594.176012     419.131755      0.100125        15.732943      
158             452.382000      6639.470307     419.342021      0.100124        15.833067      
159             452.437000      6684.769657     419.549987      0.100123        15.933190      
160             452.752000      6730.101451     419.757327      0.100125        16.033315      
161             452.752000      6775.433698     419.962096      0.100126        16.133441      
162             452.833000      6820.762281     420.164786      0.100100        16.233541      
163             456.334000      6866.447703     420.386478      0.100114        16.333655      
164             453.099000      6911.813788     420.585782      0.100124        16.433779      
165             452.472000      6957.117547     420.778876      0.100125        16.533904      
166             452.541000      7002.428214     420.970062      0.100125        16.634029      
167             452.475000      7047.731821     421.158562      0.100124        16.734153      
168             452.453000      7093.035488     421.344699      0.100129        16.834282      
169             452.448000      7138.337296     421.528600      0.100126        16.934408      
170             452.510000      7183.644860     421.710701      0.100125        17.034533      
171             452.626000      7228.997532     421.891485      0.100199        17.134732      
172             452.562000      7274.313018     422.069675      0.100131        17.234863      
173             452.582000      7319.624170     422.245896      0.100117        17.334980      
174             456.053000      7365.282828     422.440026      0.100117        17.435097      
175             456.480000      7410.985149     422.634380      0.100119        17.535216      
176             456.031000      7456.643885     422.823985      0.100122        17.635338      
177             456.104000      7502.312667     423.011872      0.100128        17.735466      
178             456.142000      7547.984797     423.197860      0.100127        17.835593      
179             456.189000      7593.652509     423.381998      0.100107        17.935700      
180             456.189000      7639.331626     423.564138      0.100132        18.035832      
181             456.460000      7685.032857     423.745742      0.100121        18.135953      
182             457.005000      7730.823387     423.928482      0.100197        18.236150      
183             457.005000      7776.580099     424.109092      0.100123        18.336273      
184             457.554000      7822.381712     424.290683      0.100101        18.436374      
185             457.554000      7868.193849     424.470353      0.100124        18.536498      
186             457.837000      7914.029284     424.649593      0.100113        18.636611      
187             458.686000      7959.944211     424.831433      0.100101        18.736712      
188             458.896000      8005.889338     425.012492      0.100121        18.836833      
189             459.233000      8051.873716     425.193440      0.100133        18.936966      
190             459.455000      8097.878945     425.373647      0.100130        19.037096      
191             459.565000      8143.893810     425.552538      0.100127        19.137223      
192             459.559000      8189.908533     425.729537      0.100128        19.237351      
193             459.390000      8235.905416     425.903825      0.100126        19.337477      
194             443.484000      8280.308809     425.994381      0.100124        19.437601      
195             412.094000      8321.573017     425.923140      0.100133        19.537734      
196             372.435000      8358.885417     425.650265      0.100185        19.637919      
197             339.949000      8392.926211     425.215485      0.100135        19.738054      
198             310.758000      8424.042720     424.637774      0.100131        19.838185      
199             275.341000      8451.611513     423.888037      0.100126        19.938311      
200             247.350000      8476.377184     423.005948      0.100124        20.038435      
201             210.635000      8497.487866     421.949042      0.100224        20.138659      
202             183.890000      8515.900037     420.771308      0.100126        20.238785      
203             146.103000      8530.529476     419.419082      0.100131        20.338916      
204             136.493000      8544.193517     418.033342      0.100108        20.439024      
205             136.192000      8557.828652     416.659521      0.100117        20.539141      
