#timestep       power           acc-energy      avg-power       dt              acc-time       
1               136.728000      13.689481       136.728000      0.100122        0.100122       
2               136.708000      28.982048       136.717446      0.111863        0.211985       
3               136.761000      42.677978       136.731420      0.100145        0.312130       
4               136.737000      56.369864       136.732775      0.100133        0.412263       
5               136.736000      70.064111       136.733406      0.100151        0.512414       
6               136.678000      83.752960       136.724347      0.100154        0.612568       
7               136.687000      97.438336       136.719100      0.100122        0.712690       
8               136.752000      111.130630      136.723153      0.100125        0.812815       
9               136.682000      124.816735      136.718639      0.100131        0.912946       
10              136.696000      138.506156      136.716401      0.100145        1.013091       
11              133.336000      151.855623      136.412378      0.100119        1.113210       
12              133.327000      165.204322      136.157782      0.100120        1.213330       
13              143.585000      179.580627      136.723956      0.100124        1.313454       
14              163.606000      195.961187      138.627981      0.100122        1.413576       
15              184.735000      214.458148      141.677824      0.100127        1.513703       
16              213.360000      235.821031      146.125166      0.100126        1.613829       
17              233.869000      259.234125      151.250320      0.100112        1.713941       
18              251.904000      284.455005      156.805558      0.100121        1.814062       
19              278.792000      312.367939      163.186037      0.100121        1.914183       
20              278.792000      340.280873      168.932233      0.100121        2.014304       
21              311.999000      371.520084      175.706968      0.100126        2.114430       
22              332.053000      404.768551      182.776060      0.100130        2.214560       
23              337.738000      438.584231      189.479096      0.100124        2.314684       
24              337.733000      472.398397      195.625898      0.100121        2.414805       
25              337.666000      506.205854      201.280616      0.100121        2.514926       
26              337.666000      540.012636      206.502235      0.100119        2.615045       
27              337.708000      573.832742      211.341575      0.100146        2.715191       
28              337.716000      607.644868      215.835788      0.100120        2.815311       
29              337.756000      641.460661      220.022659      0.100119        2.915430       
30              337.795000      675.281034      223.932885      0.100121        3.015551       
31              337.841000      709.109391      227.593635      0.100131        3.115682       
32              337.877000      742.941353      231.027536      0.100131        3.215813       
33              337.851000      776.770036      234.253203      0.100129        3.315942       
34              337.817000      810.592949      237.288572      0.100122        3.416064       
35              337.857000      844.422571      240.152441      0.100130        3.516194       
36              337.892000      878.254345      242.858581      0.100126        3.616320       
37              337.966000      912.092515      245.420827      0.100123        3.716443       
38              337.971000      945.931523      247.848793      0.100124        3.816567       
39              337.945000      979.767591      250.151937      0.100123        3.916690       
40              338.021000      1013.610591     252.342117      0.100121        4.016811       
41              338.067000      1047.458197     254.426888      0.100121        4.116932       
42              338.092000      1081.308306     256.413260      0.100121        4.217053       
43              338.125000      1115.185726     258.309576      0.100192        4.317245       
44              337.858000      1149.012407     260.112566      0.100121        4.417366       
45              337.885000      1182.842129     261.836253      0.100122        4.517488       
46              337.906000      1216.685105     263.486178      0.100155        4.617643       
47              337.920000      1250.522386     265.066023      0.100134        4.717777       
48              337.917000      1284.351595     266.579795      0.100111        4.817888       
49              337.984000      1318.183455     268.033131      0.100099        4.917987       
50              338.022000      1352.023852     269.429436      0.100113        5.018100       
51              338.118000      1385.878931     270.773192      0.100128        5.118228       
52              338.157000      1419.740958     272.066243      0.100137        5.218365       
53              338.165000      1453.618666     273.311290      0.100181        5.318546       
54              338.581000      1487.533309     274.517825      0.100167        5.418713       
55              338.685000      1521.576909     275.686447      0.100517        5.519230       
56              338.770000      1555.625666     276.814674      0.100507        5.619737       
57              338.789000      1589.676670     277.903599      0.100508        5.720245       
58              338.789000      1623.655174     278.952718      0.100294        5.820539       
59              338.806000      1657.568639     279.964625      0.100097        5.920636       
60              338.790000      1691.488293     280.942841      0.100120        6.020756       
61              338.807000      1725.413377     281.889435      0.100131        6.120887       
62              338.767000      1759.378495     282.806083      0.100261        6.221148       
63              338.732000      1793.307925     283.692271      0.100166        6.321314       
64              338.732000      1827.234644     284.550745      0.100158        6.421472       
65              338.724000      1861.200194     285.383685      0.100275        6.521747       
66              338.770000      1895.155111     286.191739      0.100230        6.621977       
67              338.829000      1929.118652     286.976637      0.100238        6.722215       
68              338.876000      1963.085210     287.739124      0.100233        6.822448       
69              338.880000      1997.019298     288.478883      0.100136        6.922584       
70              338.915000      2030.951129     289.197924      0.100119        7.022703       
71              339.030000      2064.888710     289.898251      0.100102        7.122805       
72              339.192000      2098.879140     290.582138      0.100210        7.223015       
73              339.233000      2132.857396     291.247555      0.100162        7.323177       
74              339.286000      2166.836549     291.895647      0.100149        7.423326       
75              339.336000      2200.802047     292.526809      0.100094        7.523420       
76              339.403000      2234.778663     293.142356      0.100107        7.623527       
77              339.469000      2268.777841     293.743079      0.100154        7.723681       
78              339.448000      2302.790870     294.328425      0.100201        7.823882       
79              339.434000      2336.784846     294.898499      0.100149        7.924031       
80              339.454000      2370.772678     295.454460      0.100125        8.024156       
81              339.527000      2404.761028     295.997510      0.100105        8.124261       
82              339.606000      2438.765437     296.528428      0.100129        8.224390       
83              339.610000      2472.769907     297.046617      0.100128        8.324518       
84              339.600000      2506.762169     297.552204      0.100095        8.424613       
