#timestep       power           acc-energy      avg-power       dt              acc-time       
1               74.845000       7.491311        74.845000       0.100091        0.100091       
2               74.574000       15.153864       74.707723       0.102751        0.202842       
3               75.520000       22.894362       74.980389       0.102496        0.305338       
4               74.574000       30.621794       74.877419       0.103621        0.408959       
5               74.650000       38.322091       74.831611       0.103152        0.512111       
6               74.650000       45.970879       74.801333       0.102462        0.614573       
7               74.922000       53.647987       74.818577       0.102468        0.717041       
8               74.650000       61.295954       74.797501       0.102451        0.819492       
9               74.650000       68.945041       74.781108       0.102466        0.921958       
10              74.922000       76.621025       74.795199       0.102453        1.024411       
11              74.922000       84.649142       74.807206       0.107153        1.131564       
12              74.922000       92.328272       74.816741       0.102495        1.234059       
13              248.149000      117.888115      88.169586       0.103002        1.337061       
14              251.095000      143.700179      99.801563       0.102798        1.439859       
15              238.165000      168.434805      109.110111      0.103855        1.543714       
16              241.110000      194.717724      117.816381      0.109008        1.652722       
17              242.583000      220.136056      125.254939      0.104782        1.757504       
18              238.165000      245.422510      131.687327      0.106172        1.863676       
19              238.762000      270.291244      137.354767      0.104157        1.967833       
20              239.638000      294.950474      142.437576      0.102902        2.070735       
21              240.234000      319.639322      147.061691      0.102770        2.173505       
22              241.707000      344.504929      151.338937      0.102875        2.276380       
23              240.839000      369.425986      155.230395      0.103476        2.379856       
24              238.762000      393.966422      158.688629      0.102782        2.482638       
25              240.234000      419.250329      162.005008      0.105247        2.587885       
26              239.963000      444.772554      165.082507      0.106359        2.694244       
27              244.328000      469.876034      167.993522      0.102745        2.796989       
28              244.653000      495.014864      170.709968      0.102753        2.899742       
29              242.855000      520.166628      173.197839      0.103567        3.003309       
30              244.328000      545.268887      175.550639      0.102740        3.106049       
31              244.653000      570.388144      177.761783      0.102673        3.208722       
32              245.204000      596.557786      179.932783      0.106726        3.315448       
33              247.002000      621.949098      181.949777      0.102798        3.418246       
34              245.529000      647.167136      183.804433      0.102709        3.520955       
35              244.056000      672.617540      185.537587      0.104281        3.625236       
36              245.204000      697.812741      187.182132      0.102752        3.727988       
37              244.653000      723.285767      188.743625      0.104119        3.832107       
38              246.079000      749.176477      190.275740      0.105213        3.937320       
39              247.273000      774.587239      191.725528      0.102764        4.040084       
40              244.932000      799.812786      193.048154      0.102990        4.143074       
41              243.459000      824.829415      194.268167      0.102755        4.245829       
42              244.328000      850.245391      195.465316      0.104024        4.349853       
43              244.328000      875.364753      196.593534      0.102810        4.452663       
44              246.405000      900.685331      197.717167      0.102760        4.555423       
45              245.529000      925.935533      198.772704      0.102840        4.658263       
46              242.855000      951.154568      199.733977      0.103844        4.762107       
47              243.731000      976.195003      200.663126      0.102738        4.864845       
48              244.932000      1001.358092     201.578654      0.102735        4.967580       
49              244.932000      1026.650995     202.461522      0.103265        5.070845       
50              247.002000      1052.420961     203.359453      0.104331        5.175176       
51              245.529000      1078.252576     204.199652      0.105208        5.280384       
52              244.056000      1103.430857     204.963427      0.103166        5.383550       
53              244.653000      1128.757336     205.712217      0.103520        5.487070       
