#timestep       power           acc-energy      avg-power       dt              acc-time       
1               75.443000       7.551241        75.443000       0.100092        0.100092       
2               75.171000       15.295959       75.305034       0.103028        0.203120       
3               75.171000       23.013840       75.260031       0.102671        0.305791       
4               75.171000       30.715711       75.237687       0.102458        0.408249       
5               75.171000       38.417882       75.224308       0.102462        0.510711       
6               75.171000       46.118023       75.215402       0.102435        0.613146       
7               75.171000       53.823351       75.209042       0.102504        0.715650       
8               75.171000       61.729461       75.204168       0.105175        0.820825       
9               75.443000       69.666668       75.231302       0.105208        0.926033       
10              75.714000       77.565456       75.280175       0.104324        1.030357       
11              76.048000       85.392924       75.349911       0.102928        1.133285       
12              75.443000       93.126963       75.357633       0.102515        1.235800       
13              176.552000      111.267858      83.125602       0.102751        1.338551       
14              178.025000      129.662291      89.926104       0.103325        1.441876       
15              178.350000      148.538142      95.972727       0.105836        1.547712       
16              178.622000      166.886729      101.116814      0.102723        1.650435       
17              178.893000      185.658508      105.766146      0.104933        1.755368       
18              179.078000      204.601379      109.932890      0.105780        1.861148       
19              173.327000      222.414715      113.250337      0.102773        1.963921       
20              176.273000      241.928665      116.613259      0.110703        2.074624       
21              176.552000      260.226161      119.465042      0.103638        2.178262       
22              176.273000      278.347731      122.025286      0.102804        2.281066       
23              176.552000      296.495864      124.376479      0.102792        2.383858       
24              176.552000      314.646116      126.533528      0.102804        2.486662       
25              173.832000      332.510309      128.410668      0.102767        2.589429       
26              173.653000      350.360274      130.138055      0.102791        2.692220       
27              175.306000      368.385588      131.799661      0.102822        2.795042       
28              175.125000      386.697183      133.362021      0.104563        2.899605       
29              175.586000      404.757432      134.808511      0.102857        3.002462       
30              175.586000      423.314766      136.195089      0.105688        3.108150       
31              175.125000      441.367351      137.444780      0.103084        3.211234       
32              175.405000      459.670687      138.639475      0.104349        3.315583       
33              173.932000      477.547592      139.700626      0.102781        3.418364       
34              174.111000      496.168590      140.744549      0.106949        3.525313       
35              175.125000      514.156379      141.717903      0.102714        3.628027       
36              175.125000      532.304933      142.645652      0.103632        3.731659       
37              175.125000      550.560839      143.528315      0.104245        3.835904       
38              175.125000      568.568067      144.353183      0.102825        3.938729       
39              175.125000      586.565313      145.135655      0.102768        4.041497       
40              174.203000      604.486620      145.857195      0.102876        4.144373       
41              174.203000      622.766961      146.557197      0.104937        4.249310       
42              175.306000      640.782457      147.236045      0.102766        4.352076       
43              175.125000      658.777777      147.879343      0.102757        4.454833       
44              175.857000      676.854118      148.510335      0.102790        4.557623       
45              175.405000      695.220951      149.114360      0.104711        4.662334       
46              175.586000      713.263641      149.685209      0.102757        4.765091       
47              178.350000      735.362990      150.411708      0.123910        4.889001       
48              176.734000      754.182687      150.972805      0.106486        4.995487       
49              177.746000      772.474883      151.513227      0.102912        5.098399       
50              177.474000      790.709272      152.026059      0.102744        5.201143       
51              177.929000      808.989519      152.527812      0.102739        5.303882       
52              177.474000      827.457286      153.007824      0.104059        5.407941       
53              177.746000      845.860929      153.472557      0.103539        5.511480       
54              177.746000      864.117221      153.916633      0.102710        5.614190       
55              176.552000      882.252289      154.323332      0.102718        5.716908       
56              176.552000      900.854867      154.725605      0.105366        5.822274       
57              177.746000      919.452253      155.131989      0.104629        5.926903       
58              177.746000      937.723120      155.517505      0.102792        6.029695       
59              177.746000      956.025804      155.890734      0.102971        6.132666       
60              177.746000      974.292760      156.250944      0.102770        6.235436       
61              177.746000      992.568248      156.599633      0.102818        6.338254       
62              176.552000      1010.713733     156.918005      0.102777        6.441031       
63              176.552000      1028.907770     157.227188      0.103052        6.544083       
64              177.474000      1047.134705     157.540029      0.102702        6.646785       
65              177.657000      1065.409392     157.846613      0.102865        6.749650       
66              177.474000      1083.911766     158.145163      0.104254        6.853904       
67              177.746000      1102.451207     158.438978      0.104303        6.958207       
68              177.746000      1120.776998     158.720877      0.103101        7.061308       
69              177.746000      1139.106876     158.994722      0.103124        7.164432       
70              176.273000      1157.450197     159.242093      0.104062        7.268494       
71              176.552000      1175.594093     159.483423      0.102768        7.371262       
72              177.746000      1194.126246     159.738133      0.104262        7.475524       
73              177.746000      1212.569349     159.984662      0.103761        7.579285       
74              177.746000      1231.832572     160.235048      0.108375        7.687660       
75              177.746000      1250.271231     160.468192      0.103736        7.791396       
76              177.746000      1268.574625     160.693566      0.102975        7.894371       
77              177.060000      1286.776393     160.903949      0.102800        7.997171       
78              176.552000      1304.916405     161.102442      0.102746        8.099917       
79              177.474000      1323.173510     161.307759      0.102872        8.202789       
80              177.746000      1341.437978     161.511132      0.102756        8.305545       
81              177.474000      1359.700940     161.706491      0.102905        8.408450       
82              177.746000      1377.957943     161.900058      0.102714        8.511164       
83              177.746000      1396.468234     162.091598      0.104139        8.615303       
84              176.552000      1414.606833     162.262007      0.102738        8.718041       
85              176.273000      1433.352938     162.430861      0.106347        8.824388       
86              177.746000      1452.442858     162.615017      0.107400        8.931788       
87              177.746000      1470.948705     162.789360      0.104114        9.035902       
88              177.746000      1489.295292     162.958282      0.103218        9.139120       
89              177.746000      1507.563137     163.122729      0.102775        9.241895       
90              177.746000      1525.831160     163.283561      0.102776        9.344671       
91              178.025000      1544.124831     163.443903      0.102759        9.447430       
