#timestep       power           acc-energy      avg-power       dt              acc-time       
1               276.647498      14.764954       276.647498      0.053371        0.053371       
2               388.755762      34.252502       330.945250      0.050128        0.103499       
3               338.739453      51.224365       333.487619      0.050103        0.153602       
4               348.214844      68.668884       337.109580      0.050097        0.203699       
5               335.877376      85.490967       336.866405      0.050084        0.253783       
6               347.668828      102.902222      338.646764      0.050080        0.303863       
7               343.272630      120.092285      339.301252      0.050077        0.353940       
8               337.416745      136.989441      339.067668      0.050078        0.404018       
9               357.145671      154.874939      341.061357      0.050079        0.454097       
10              362.573177      173.033691      343.198245      0.050083        0.504180       
11              353.354246      190.727905      344.115805      0.050075        0.554255       
12              343.423764      207.925537      344.058460      0.050077        0.604332       
13              344.654421      225.185486      344.104066      0.050079        0.654411       
14              341.715940      242.296570      343.934321      0.050074        0.704485       
15              339.540051      259.299377      343.642697      0.050076        0.754561       
16              349.116218      276.781372      343.983332      0.050075        0.804636       
17              370.124510      295.316467      345.514953      0.050078        0.854714       
18              357.447403      313.216003      346.175359      0.050076        0.904790       
19              339.237096      330.203979      345.811489      0.050077        0.954867       
20              345.612761      347.510193      345.801587      0.050074        1.004941       
21              342.908777      364.680664      345.664289      0.050073        1.055014       
22              344.157395      381.914001      345.596008      0.050074        1.105088       
23              340.346930      398.957214      345.368462      0.050076        1.155164       
24              373.511560      417.661926      346.537813      0.050078        1.205242       
25              357.625012      435.569641      346.980076      0.050074        1.255316       
26              339.854709      452.574951      346.706945      0.050037        1.305353       
27              344.039605      469.802734      346.608403      0.050075        1.355428       
28              340.739400      486.865601      346.399299      0.050076        1.405504       
29              341.794437      503.980957      346.240882      0.050075        1.455579       
30              347.861630      521.399780      346.294784      0.050074        1.505653       
31              366.142685      539.735474      346.933675      0.050078        1.555731       
32              357.249770      557.624756      347.255369      0.050075        1.605806       
33              346.019873      574.951355      347.218008      0.050074        1.655880       
34              340.496144      592.002380      347.020693      0.050077        1.705957       
35              340.352694      609.044861      346.830556      0.050073        1.756030       
36              342.383154      626.189697      346.707250      0.050075        1.806105       
37              348.948014      643.663269      346.767700      0.050075        1.856180       
38              368.604664      662.122253      347.341364      0.050078        1.906258       
