#timestep       power           acc-energy      avg-power       dt              acc-time       
1               121.624000      12.196698       121.624000      0.100282        0.100282       
2               121.624000      24.662063       121.624000      0.102491        0.202773       
3               121.624000      37.102739       121.624000      0.102288        0.305061       
4               121.530000      49.526143       121.600407      0.102225        0.407286       
5               121.521000      61.959929       121.584464      0.102318        0.509604       
6               121.436000      74.377489       121.559652      0.102256        0.611860       
7               121.401000      86.807251       121.536909      0.102386        0.714246       
8               121.372000      99.241085       121.516223      0.102444        0.816690       
9               121.372000      111.665208      121.500160      0.102364        0.919054       
10              121.386000      124.086030      121.488723      0.102325        1.021379       
11              120.682000      136.431558      121.415280      0.102298        1.123677       
12              120.618000      148.767643      121.348768      0.102274        1.225951       
13              158.184000      165.223525      124.229989      0.104030        1.329981       
14              250.887000      191.319285      133.416982      0.104014        1.433995       
15              295.572000      222.048428      144.378546      0.103965        1.537960       
16              340.817000      257.472947      156.814025      0.103940        1.641900       
17              385.891000      297.575511      170.450087      0.103922        1.745822       
18              431.043000      342.391052      185.097055      0.103970        1.849792       
19              444.051000      388.559923      198.877614      0.103972        1.953764       
20              521.791000      442.799054      215.190004      0.103948        2.057712       
21              526.583000      497.524718      230.160979      0.103926        2.161638       
22              571.323000      557.008013      245.837923      0.104115        2.265753       
23              571.727000      616.440178      260.133720      0.103952        2.369705       
24              572.802000      676.008722      273.278377      0.103995        2.473700       
25              573.234000      735.617606      285.378948      0.103987        2.577687       
26              573.876000      795.277181      296.563074      0.103959        2.681646       
27              573.876000      854.940773      306.913085      0.103966        2.785612       
28              574.325000      914.675167      316.538219      0.104008        2.889620       
29              574.371000      974.399987      325.494058      0.103983        2.993603       
30              574.594000      1035.659177     334.060329      0.106613        3.100216       
31              574.709000      1095.406500     341.868286      0.103961        3.204177       
32              574.831000      1155.244107     349.198542      0.104096        3.308273       
33              574.873000      1215.007905     356.074132      0.103960        3.412233       
34              574.925000      1274.782282     362.545235      0.103969        3.516202       
35              575.165000      1334.584488     368.651825      0.103974        3.620176       
36              575.435000      1394.403258     374.423894      0.103954        3.724130       
37              575.897000      1454.288483     379.896660      0.103986        3.828116       
38              575.980000      1514.162756     385.080511      0.103952        3.932068       
39              576.095000      1574.059353     390.001123      0.103970        4.036038       
40              576.128000      1635.962578     394.827682      0.107447        4.143485       
41              576.225000      1695.869234     399.267710      0.103964        4.247449       
42              575.943000      1755.763851     403.490026      0.103994        4.351443       
43              575.993000      1815.668275     407.516707      0.104002        4.455445       
44              576.285000      1875.583473     411.365119      0.103968        4.559413       
45              576.323000      1935.507234     415.043059      0.103976        4.663389       
46              576.462000      1995.454094     418.564095      0.103991        4.767380       
47              576.564000      2055.410984     421.936947      0.103990        4.871370       
48              576.740000      2115.360800     425.171145      0.103946        4.975316       
49              576.626000      2175.302802     428.270840      0.103953        5.079269       
50              577.132000      2235.268549     431.254944      0.103903        5.183172       
51              577.407000      2295.416458     434.134371      0.104169        5.287341       
52              577.906000      2355.523884     436.907988      0.104009        5.391350       
53              578.176000      2415.637999     439.580792      0.103972        5.495322       
54              578.270000      2475.752057     442.155667      0.103955        5.599277       
55              578.354000      2535.896246     444.639074      0.103992        5.703269       
56              578.382000      2596.033514     447.033656      0.103975        5.807244       
57              578.457000      2656.184944     449.345558      0.103986        5.911230       
58              578.621000      2716.357477     451.580511      0.103993        6.015223       
59              578.816000      2778.068524     453.796404      0.106616        6.121839       
60              578.822000      2838.257330     455.884607      0.103985        6.225824       
61              578.891000      2898.457941     457.905488      0.103993        6.329817       
62              578.978000      2958.618967     459.860890      0.103909        6.433726       
63              579.517000      3018.843532     461.762936      0.103922        6.537648       
64              579.725000      3079.060148     463.607820      0.103871        6.641519       
65              579.841000      3139.302149     465.398064      0.103894        6.745413       
66              579.966000      3199.621512     467.137721      0.104005        6.849418       
67              580.064000      3259.937727     468.826434      0.103982        6.953400       
68              580.071000      3320.243068     470.465178      0.103962        7.057362       
69              580.487000      3383.597420     472.140721      0.109140        7.166502       
70              580.578000      3444.031525     473.693216      0.104093        7.270595       
71              580.781000      3504.428103     475.203303      0.103992        7.374587       
72              580.603000      3564.828233     476.669447      0.104030        7.478617       
73              580.571000      3625.191361     478.094139      0.103972        7.582589       
74              580.237000      3685.504676     479.475430      0.103946        7.686535       
75              580.379000      3745.870477     480.822586      0.104011        7.790546       
76              580.436000      3806.208540     482.134274      0.103953        7.894499       
77              580.531000      3866.566929     483.413319      0.103971        7.998470       
78              580.701000      3929.715840     484.718285      0.108746        8.107216       
79              580.701000      3990.110486     485.933999      0.104003        8.211219       
80              580.798000      4050.506508     487.120346      0.103988        8.315207       
81              580.949000      4110.892090     488.278756      0.103943        8.419150       
82              581.008000      4171.287872     489.409707      0.103950        8.523100       
83              581.131000      4231.728401     490.515463      0.104005        8.627105       
84              581.463000      4292.188343     491.598562      0.103979        8.731084       
85              581.406000      4352.609798     492.654935      0.103923        8.835007       
86              581.710000      4413.122763     493.691293      0.104026        8.939033       
87              581.892000      4473.636621     494.705603      0.103995        9.043028       
88              581.927000      4534.100582     495.696380      0.103903        9.146931       
89              582.142000      4594.719029     496.669412      0.104130        9.251061       
90              582.246000      4655.251070     497.620430      0.103963        9.355024       
91              582.388000      4715.809521     498.552282      0.103983        9.459007       
92              582.548000      4776.392183     499.465720      0.103996        9.563003       
93              582.633000      4836.967371     500.360182      0.103968        9.666971       
94              582.813000      4897.550199     501.237366      0.103949        9.770920       
95              582.815000      4958.143726     502.096249      0.103967        9.874887       
96              583.219000      5018.766425     502.941269      0.103945        9.978832       
97              583.219000      5079.398456     503.768991      0.103961        10.082793      
98              583.284000      5139.995247     504.579926      0.103889        10.186682      
99              583.149000      5200.709222     505.374824      0.104114        10.290796      
100             583.084000      5261.328384     506.152031      0.103963        10.394759      
101             583.084000      5321.949878     506.913875      0.103967        10.498726      
102             583.090000      5382.562084     507.660715      0.103950        10.602676      
103             583.302000      5443.195744     508.395105      0.103949        10.706625      
104             583.360000      5503.855266     509.116163      0.103983        10.810608      
105             583.390000      5564.507408     509.823647      0.103965        10.914573      
106             583.277000      5625.143135     510.516660      0.103957        11.018530      
107             583.296000      5688.066191     511.222285      0.107875        11.126405      
