#timestep       power           acc-energy      avg-power       dt              acc-time       
1               122.691000      12.285050       122.691000      0.100130        0.100130       
2               122.612000      24.846159       122.651048      0.102446        0.202576       
3               122.445000      37.369833       122.581919      0.102280        0.304856       
4               122.352000      49.879347       122.524175      0.102242        0.407098       
5               122.373000      62.390395       122.493830      0.102237        0.509335       
6               122.293000      74.890819       122.460263      0.102217        0.611552       
7               122.205000      87.385791       122.423698      0.102246        0.713798       
8               122.044000      99.862593       122.376130      0.102232        0.816030       
9               121.929000      112.326541      122.326354      0.102223        0.918253       
10              120.936000      124.943069      122.184509      0.104324        1.022577       
11              120.922000      137.299241      122.069812      0.102183        1.124760       
12              134.169000      151.004202      123.077138      0.102147        1.226907       
13              146.167000      165.987197      124.857510      0.102506        1.329413       
14              161.090000      182.502949      127.451712      0.102525        1.431938       
15              179.305000      200.878484      130.914928      0.102482        1.534420       
16              195.808000      220.973867      134.983133      0.102628        1.637048       
17              203.506000      241.835674      139.021175      0.102512        1.739560       
18              216.993000      264.080061      143.360336      0.102512        1.842072       
19              231.699000      287.845659      148.019795      0.102571        1.944643       
20              244.682000      313.883249      153.034874      0.106414        2.051057       
21              259.236000      340.473345      158.092923      0.102571        2.153628       
22              275.281000      368.675608      163.414462      0.102449        2.256077       
23              275.481000      396.899188      168.282513      0.102452        2.358529       
24              275.569000      425.123240      172.747614      0.102421        2.460950       
25              273.683000      453.163706      176.781870      0.102456        2.563406       
26              274.847000      481.349540      180.554128      0.102551        2.665957       
27              272.800000      509.314814      183.969845      0.102512        2.768469       
28              272.676000      537.240108      187.134231      0.102412        2.870881       
29              271.974000      565.105749      190.057689      0.102457        2.973338       
30              271.260000      593.526473      192.821660      0.104773        3.078111       
31              271.548000      621.395172      195.361825      0.102629        3.180740       
32              271.422000      649.227598      197.737325      0.102543        3.283283       
33              270.910000      677.271660      199.973857      0.103518        3.386801       
34              271.548000      705.113748      202.077001      0.102531        3.489332       
35              271.123000      732.897348      204.046917      0.102476        3.591808       
36              271.581000      760.718921      205.919663      0.102443        3.694251       
37              270.904000      788.488206      207.674130      0.102506        3.796757       
38              271.084000      816.286244      209.341686      0.102544        3.899301       
39              271.427000      844.714151      210.965673      0.104735        4.004036       
40              270.986000      872.486422      212.463594      0.102486        4.106522       
41              271.393000      900.308004      213.898860      0.102514        4.209036       
42              270.509000      928.023815      215.244139      0.102458        4.311494       
43              270.809000      955.782550      216.534481      0.102503        4.413997       
44              270.806000      983.599742      217.768734      0.102720        4.516717       
45              270.261000      1011.306630     218.933744      0.102519        4.619236       
46              270.449000      1039.034413     220.052310      0.102525        4.721761       
47              270.813000      1066.777851     221.130244      0.102445        4.824206       
48              271.143000      1094.552927     222.170132      0.102437        4.926643       
49              270.284000      1124.287680     223.221058      0.110013        5.036656       
50              271.375000      1152.131027     224.182411      0.102601        5.139257       
51              270.723000      1179.889339     225.092786      0.102534        5.241791       
52              271.090000      1207.675793     225.974974      0.102499        5.344290       
53              271.272000      1235.466253     226.826944      0.102445        5.446735       
54              270.332000      1263.151223     227.629841      0.102411        5.549146       
55              271.211000      1290.920518     228.419410      0.102390        5.651536       
56              270.239000      1318.612178     229.164160      0.102471        5.754007       
57              270.970000      1346.403132     229.896269      0.102561        5.856568       
58              270.562000      1374.146289     230.596009      0.102539        5.959107       
59              270.070000      1401.823873     231.263393      0.102483        6.061590       
60              270.474000      1429.585054     231.916279      0.102639        6.164229       
61              269.896000      1457.240487     232.537287      0.102467        6.266696       
62              270.419000      1484.950052     233.146739      0.102469        6.369165       
63              270.671000      1512.716295     233.741532      0.102583        6.471748       
64              270.423000      1540.440331     234.313554      0.102521        6.574269       
65              270.326000      1568.594514     234.875163      0.104149        6.678418       
66              270.257000      1596.269101     235.409484      0.102401        6.780819       
67              270.193000      1623.971449     235.927587      0.102528        6.883347       
68              270.118000      1651.640176     236.428919      0.102432        6.985779       
69              269.666000      1679.258559     236.909160      0.102417        7.088196       
70              270.044000      1706.950491     237.381690      0.102546        7.190742       
71              270.109000      1734.630721     237.841546      0.102478        7.293220       
72              270.448000      1762.348666     238.293403      0.102489        7.395709       
73              269.835000      1789.980040     238.724164      0.102401        7.498110       
74              269.905000      1817.641793     239.144608      0.102487        7.600597       
75              270.259000      1845.362800     239.558914      0.102572        7.703169       
76              270.062000      1873.452488     239.965295      0.104012        7.807181       
77              270.431000      1901.381520     240.363044      0.103276        7.910457       
78              270.156000      1929.150585     240.745209      0.102789        8.013246       
79              270.029000      1957.146382     241.119249      0.103677        8.116923       
80              270.342000      1984.934025     241.484678      0.102787        8.219710       
