#timestep       power           acc-energy      avg-power       dt              acc-time       
1               123.093000      12.333180       123.093000      0.100194        0.100194       
2               123.055000      24.950748       123.073781      0.102536        0.202730       
3               123.018000      37.534997       123.055074      0.102296        0.305026       
4               123.013000      50.118981       123.044507      0.102298        0.407324       
5               122.920000      62.693205       123.019515      0.102296        0.509620       
6               122.856000      75.260268       122.992180      0.102291        0.611911       
7               122.792000      87.820293       122.963511      0.102287        0.714198       
8               122.737000      100.386353      122.935111      0.102382        0.816580       
9               122.724000      112.932550      122.911622      0.102231        0.918811       
10              122.724000      125.490774      122.892820      0.102329        1.021140       
11              122.690000      138.039753      122.874354      0.102282        1.123422       
12              122.537000      150.574798      122.846199      0.102296        1.225718       
13              148.578000      165.824547      124.834417      0.102638        1.328356       
14              179.122000      184.204434      128.727241      0.102611        1.430967       
15              199.186000      204.637333      133.440361      0.102582        1.533549       
16              224.952000      227.718083      139.179051      0.102603        1.636152       
17              263.438000      254.747612      146.511505      0.102603        1.738755       
18              276.054000      283.102498      153.737231      0.102715        1.841470       
19              301.345000      314.021701      161.527648      0.102604        1.944074       
20              375.791000      352.568838      172.266308      0.102576        2.046650       
21              378.171000      391.372208      182.096430      0.102608        2.149258       
22              403.574000      432.761547      192.183437      0.102557        2.251815       
23              403.363000      474.134893      201.383670      0.102571        2.354386       
24              404.100000      515.591108      209.847926      0.102589        2.456975       
25              403.667000      556.992407      217.614431      0.102563        2.559538       
26              403.486000      599.327368      224.933811      0.104923        2.664461       
27              403.770000      640.752555      231.564639      0.102596        2.767057       
28              403.972000      682.240480      237.734582      0.102700        2.869757       
29              403.972000      723.669424      243.470291      0.102554        2.972311       
30              403.697000      765.119014      248.820324      0.102675        3.074986       
31              404.067000      806.548407      253.829769      0.102531        3.177517       
32              404.306000      848.280872      258.564119      0.103220        3.280737       
33              404.335000      889.720358      262.979955      0.102488        3.383225       
34              404.031000      931.169898      267.131187      0.102590        3.485815       
35              404.183000      972.639882      271.049848      0.102602        3.588417       
36              404.970000      1015.888249     274.920227      0.106794        3.695211       
37              404.533000      1057.402234     278.422520      0.102622        3.797833       
38              404.364000      1098.867740     281.733653      0.102545        3.900378       
39              405.099000      1140.431303     284.895650      0.102601        4.002979       
40              405.210000      1181.989235     287.901180      0.102559        4.105538       
41              405.152000      1223.553779     290.759639      0.102590        4.208128       
42              404.662000      1265.059960     293.469865      0.102570        4.310698       
43              404.964000      1306.606027     296.061674      0.102592        4.413290       
44              405.422000      1348.201108     298.546245      0.102597        4.515887       
45              405.358000      1389.792866     300.919189      0.102605        4.618492       
46              404.927000      1431.311651     303.178091      0.102534        4.721026       
47              405.239000      1472.893224     305.349165      0.102610        4.823636       
48              405.696000      1514.497349     307.438117      0.102550        4.926186       
49              405.578000      1556.101135     309.440019      0.102579        5.028765       
50              405.230000      1597.660308     311.354522      0.102557        5.131322       
51              405.932000      1639.298783     313.208071      0.102575        5.233897       
52              406.061000      1680.964702     314.993441      0.102610        5.336507       
53              405.803000      1722.574524     316.705385      0.102537        5.439044       
54              405.914000      1764.229825     318.357357      0.102621        5.541665       
55              406.494000      1806.886492     319.995313      0.104938        5.646603       
56              406.278000      1848.540550     321.534019      0.102526        5.749129       
57              406.102000      1890.198088     323.016474      0.102579        5.851708       
58              406.338000      1931.876583     324.451807      0.102571        5.954279       
59              406.609000      1973.582874     325.843116      0.102571        6.056850       
60              406.210000      2015.246615     327.181390      0.102567        6.159417       
61              406.559000      2056.942900     328.481441      0.102559        6.261976       
62              407.112000      2098.727247     329.749441      0.102636        6.364612       
63              406.912000      2140.458107     330.973069      0.102555        6.467167       
64              406.647000      2182.167077     332.154505      0.102568        6.569735       
65              406.770000      2224.827487     333.326914      0.104876        6.674611       
66              407.415000      2266.618488     334.448273      0.102576        6.777187       
67              407.280000      2308.405416     335.534431      0.102600        6.879787       
68              406.842000      2350.136014     336.581951      0.102572        6.982359       
69              407.247000      2391.929330     337.605514      0.102624        7.084983       
70              407.370000      2433.709605     338.601003      0.102561        7.187544       
71              407.237000      2475.489677     339.566916      0.102594        7.290138       
72              406.670000      2517.203039     340.497963      0.102573        7.392711       
73              406.977000      2558.955624     341.407896      0.102592        7.495303       
74              407.740000      2600.795048     342.303738      0.102613        7.597916       
75              407.493000      2643.509280     343.190860      0.104822        7.702738       
76              407.065000      2685.299794     344.030985      0.102663        7.805401       
77              407.158000      2727.078683     344.850094      0.102611        7.908012       
78              407.462000      2768.884284     345.652028      0.102600        8.010612       
79              407.433000      2810.673057     346.433057      0.102566        8.113178       
80              406.966000      2852.412304     347.188726      0.102562        8.215740       
81              407.157000      2894.184577     347.928351      0.102595        8.318335       
82              407.576000      2935.999836     348.655058      0.102595        8.420930       
83              407.328000      2978.246675     349.368915      0.103717        8.524647       
84              407.119000      3019.976372     350.055050      0.102500        8.627147       
85              407.399000      3063.992167     350.764307      0.108041        8.735188       
86              407.576000      3105.835142     351.424248      0.102663        8.837851       
87              407.129000      3147.596400     352.063358      0.102575        8.940426       
88              406.762000      3189.328147     352.683926      0.102595        9.043021       
89              407.945000      3231.162499     353.303567      0.102549        9.145570       
90              407.274000      3272.941887     353.902221      0.102583        9.248153       
91              406.944000      3314.691086     354.484171      0.102592        9.350745       
92              407.314000      3356.481095     355.057543      0.102599        9.453344       
93              408.047000      3398.345902     355.626468      0.102598        9.555942       
94              407.737000      3440.140983     356.179517      0.102505        9.658447       
95              407.492000      3481.927250     356.718585      0.102545        9.760992       
96              407.674000      3523.741964     357.248459      0.102569        9.863561       
97              408.190000      3565.570418     357.772251      0.102473        9.966034       
98              408.037000      3607.438279     358.284491      0.102608        10.068642      
99              407.533000      3649.237716     358.781116      0.102567        10.171209      
100             408.172000      3691.110857     359.274299      0.102587        10.273796      
101             408.442000      3733.004753     359.760320      0.102570        10.376366      
102             407.805000      3774.830865     360.230564      0.102564        10.478930      
103             407.915000      3816.668259     360.692758      0.102564        10.581494      
104             408.442000      3858.541733     361.150943      0.102520        10.684014      
105             408.610000      3900.456129     361.602268      0.102578        10.786592      
106             407.977000      3942.304370     362.039114      0.102575        10.889167      
107             408.047000      3984.154487     362.468406      0.102562        10.991729      
108             408.718000      4026.030098     362.895526      0.102456        11.094185      
109             408.716000      4067.938610     363.315139      0.102537        11.196722      
110             408.534000      4109.833364     363.725533      0.102549        11.299271      
111             408.686000      4151.764547     364.130111      0.102600        11.401871      
112             409.289000      4193.762101     364.532893      0.102611        11.504482      
113             409.154000      4235.746211     364.927363      0.102612        11.607094      
114             408.714000      4277.649614     365.310743      0.102525        11.709619      
115             408.651000      4319.599682     365.687393      0.102655        11.812274      
116             408.837000      4361.544314     366.058940      0.102595        11.914869      
117             408.867000      4403.494068     366.424417      0.102600        12.017469      
118             408.409000      4445.428688     366.780097      0.102678        12.120147      
119             408.483000      4487.323521     367.130030      0.102562        12.222709      
120             409.084000      4529.279585     367.479137      0.102561        12.325270      
121             408.549000      4571.173834     367.818012      0.102544        12.427814      
122             408.258000      4613.045183     368.149013      0.102561        12.530375      
123             408.351000      4654.944854     368.475539      0.102607        12.632982      
124             409.123000      4696.905327     368.802882      0.102562        12.735544      
125             408.868000      4738.885849     369.123307      0.102675        12.838219      
126             408.183000      4780.754404     369.432907      0.102573        12.940792      
127             408.563000      4822.663571     369.740638      0.102577        13.043369      
128             408.815000      4864.607990     370.045600      0.102600        13.145969      
129             408.214000      4906.509116     370.341314      0.102645        13.248614      
130             408.679000      4948.434268     370.635890      0.102587        13.351201      
131             409.247000      4990.401320     370.930191      0.102547        13.453748      
132             408.544000      5032.320794     371.214887      0.102607        13.556355      
133             408.376000      5075.611101     371.503220      0.106006        13.662361      
134             408.651000      5117.537876     371.780103      0.102598        13.764959      
135             408.866000      5159.519010     372.054690      0.102677        13.867636      
136             408.807000      5201.457294     372.324572      0.102587        13.970223      
137             408.051000      5243.324551     372.585048      0.102603        14.072826      
138             408.414000      5285.231503     372.844396      0.102609        14.175435      
139             408.990000      5327.188151     373.104098      0.102586        14.278021      
140             408.960000      5369.148674     373.359923      0.102603        14.380624      
141             408.355000      5411.043855     373.607818      0.102595        14.483219      
142             409.090000      5453.016489     373.857408      0.102600        14.585819      
143             409.490000      5495.968714     374.111826      0.104892        14.690711      
144             408.750000      5537.893793     374.351989      0.102569        14.793280      
145             408.415000      5579.758373     374.586393      0.102505        14.895785      
146             409.016000      5621.712371     374.821855      0.102573        14.998358      
147             409.075000      5663.678966     375.054556      0.102589        15.100947      
148             408.545000      5705.580158     375.280480      0.102562        15.203509      
149             408.529000      5747.515660     375.503460      0.102650        15.306159      
150             408.950000      5789.450211     375.726040      0.102542        15.408701      
151             409.285000      5831.441215     375.948008      0.102596        15.511297      
152             408.582000      5873.357234     376.162426      0.102589        15.613886      
153             408.681000      5916.487792     376.380747      0.105536        15.719422      
154             408.833000      5958.429560     376.591165      0.102589        15.822011      
155             409.353000      6000.863502     376.804414      0.103661        15.925672      
156             409.171000      6042.808030     377.011420      0.102511        16.028183      
157             409.056000      6084.769403     377.215202      0.102581        16.130764      
158             409.358000      6126.752751     377.418274      0.102559        16.233323      
159             409.857000      6168.788914     377.621937      0.102563        16.335886      
160             409.446000      6210.801349     377.820581      0.102608        16.438494      
161             409.382000      6252.799849     378.016329      0.102590        16.541084      
162             409.857000      6295.761879     378.216835      0.104822        16.645906      
163             409.220000      6337.740894     378.406726      0.102583        16.748489      
