#timestep       power           acc-energy      avg-power       dt              acc-time       
1               126.712000      12.690207       126.712000      0.100150        0.100150       
2               126.372000      25.635123       126.540083      0.102435        0.202585       
3               126.342000      38.560415       126.473617      0.102304        0.304889       
4               126.308000      51.480207       126.432012      0.102288        0.407177       
5               126.604000      64.436481       126.466556      0.102337        0.509514       
6               126.604000      77.398958       126.489554      0.102386        0.611900       
7               126.239000      90.320782       126.453647      0.102360        0.714260       
8               126.529000      103.272923      126.463093      0.102365        0.816625       
9               126.171000      116.190058      126.430553      0.102378        0.919003       
10              126.107000      129.089795      126.398146      0.102292        1.021295       
11              122.576000      141.626010      126.050235      0.102273        1.123568       
12              122.546000      154.176926      125.757494      0.102418        1.225986       
13              142.645000      168.802604      127.060833      0.102532        1.328518       
14              162.022000      185.415205      129.565756      0.102533        1.431051       
15              181.281000      204.010285      133.024709      0.102576        1.533627       
16              200.620000      224.574036      137.259454      0.102501        1.636128       
17              219.923000      247.113284      142.132263      0.102487        1.738615       
18              228.621000      270.540307      146.946045      0.102471        1.841086       
19              258.566000      297.028842      152.829564      0.102444        1.943530       
20              277.899000      326.128758      159.223588      0.104714        2.048244       
21              281.419000      354.971673      165.046681      0.102491        2.150735       
22              299.039000      385.662344      171.149447      0.102631        2.253366       
23              316.668000      418.127464      177.481969      0.102521        2.355887       
24              315.935000      450.747437      183.295042      0.103249        2.459136       
25              315.783000      483.097827      188.593617      0.102445        2.561581       
26              315.818000      515.437590      193.483959      0.102400        2.663981       
27              315.759000      547.792783      198.012970      0.102468        2.766449       
28              315.724000      580.138707      202.216497      0.102450        2.868899       
29              315.754000      612.500650      206.132702      0.102491        2.971390       
30              315.732000      645.565999      209.863997      0.104726        3.076116       
31              315.754000      677.932679      213.278798      0.102506        3.178622       
32              315.732000      710.322993      216.482027      0.102588        3.281210       
33              315.764000      742.671436      219.487931      0.102445        3.383655       
34              315.842000      775.035766      222.320131      0.102470        3.486125       
35              315.932000      807.403315      224.992675      0.102451        3.588576       
36              315.996000      840.164833      227.548013      0.103677        3.692253       
37              316.126000      872.549729      229.939296      0.102443        3.794696       
38              316.261000      904.963318      232.209425      0.102490        3.897186       
39              316.293000      937.361210      234.362801      0.102430        3.999616       
40              316.381000      974.072796      236.675209      0.116036        4.115652       
41              316.455000      1006.529370     238.615000      0.102563        4.218215       
42              316.382000      1038.949350     240.459351      0.102471        4.320686       
43              316.326000      1071.370551     242.217317      0.102493        4.423179       
44              316.352000      1103.822572     243.897672      0.102582        4.525761       
