#timestep       power           acc-energy      avg-power       dt              acc-time       
1               122.728000      12.291086       122.728000      0.100149        0.100149       
2               122.740000      24.859662       122.734067      0.102400        0.202549       
3               122.751000      37.420527       122.739750      0.102328        0.304877       
4               122.793000      49.980409       122.753127      0.102285        0.407162       
5               122.805000      62.536606       122.763539      0.102245        0.509407       
6               122.753000      75.089082       122.761777      0.102258        0.611665       
7               122.679000      87.628594       122.749925      0.102214        0.713879       
8               122.508000      100.153321      122.719619      0.102236        0.816115       
9               122.485000      112.686232      122.693480      0.102322        0.918437       
10              122.360000      125.204883      122.660055      0.102310        1.020747       
11              122.351000      137.725795      122.631894      0.102336        1.123083       
12              122.264000      150.234014      122.601179      0.102305        1.225388       
13              139.360000      164.540851      123.896671      0.102661        1.328049       
14              155.887000      180.543119      126.191981      0.102653        1.430702       
15              167.692000      197.747480      128.968804      0.102595        1.533297       
16              182.625000      216.483892      132.333853      0.102595        1.635892       
17              205.147000      237.987810      136.718502      0.104822        1.740714       
18              212.541000      259.794304      140.938790      0.102599        1.843313       
19              238.033000      285.224798      146.257952      0.106836        1.950149       
20              242.436000      310.088792      151.063274      0.102559        2.052708       
21              270.810000      338.121689      156.812022      0.103515        2.156223       
22              272.176000      366.045313      162.051779      0.102594        2.258817       
23              287.088000      395.504274      167.485072      0.102613        2.361430       
24              286.449000      424.895374      172.438855      0.102605        2.464035       
25              286.438000      454.269018      176.993699      0.102548        2.566583       
26              286.503000      483.654198      181.201716      0.102565        2.669148       
27              286.535000      516.412312      185.528048      0.114325        2.783473       
28              286.532000      545.809349      189.118607      0.102596        2.886069       
29              286.592000      575.214262      192.464899      0.102602        2.988671       
30              286.651000      604.612901      195.589750      0.102559        3.091230       
31              286.860000      634.016912      198.519072      0.102503        3.193733       
32              286.926000      663.456093      201.270834      0.102602        3.296335       
33              286.916000      692.891380      203.855917      0.102592        3.398927       
34              286.990000      722.342007      206.292308      0.102619        3.501546       
35              286.946000      751.774632      208.587685      0.102572        3.604118       
36              286.886000      781.218603      210.755619      0.102633        3.706751       
37              286.856000      810.624498      212.803556      0.102511        3.809262       
38              286.892000      840.056174      214.746520      0.102588        3.911850       
39              286.892000      869.489859      216.590303      0.102595        4.014445       
40              286.930000      898.921991      218.342824      0.102576        4.117021       
41              286.950000      928.351583      220.010371      0.102560        4.219581       
42              286.930000      957.814703      221.600180      0.102684        4.322265       
43              287.000000      987.254302      223.116283      0.102577        4.424842       
44              287.014000      1016.704234     224.564431      0.102608        4.527450       
45              287.108000      1046.145437     225.949631      0.102544        4.629994       
46              287.272000      1076.660044     227.324945      0.106222        4.736216       
47              287.305000      1106.127481     228.596310      0.102565        4.838781       
48              287.304000      1135.594816     229.814875      0.102565        4.941346       
49              287.271000      1165.073704     230.983793      0.102617        5.043963       
50              287.261000      1194.536628     232.105339      0.102565        5.146528       
51              287.234000      1224.005113     233.182828      0.102594        5.249122       
52              287.227000      1253.469146     234.218742      0.102581        5.351703       
53              287.266000      1282.934882     235.216348      0.102573        5.454276       
54              287.319000      1312.427028     236.178774      0.102646        5.556922       
55              287.354000      1341.909548     237.106517      0.102600        5.659522       
56              287.336000      1372.035578     238.020123      0.104846        5.764368       
57              287.477000      1401.538193     238.885227      0.102626        5.866994       
58              287.511000      1431.039122     239.721027      0.102608        5.969602       
59              287.682000      1460.549254     240.531245      0.102579        6.072181       
60              287.697000      1490.064089     241.314874      0.102590        6.174771       
61              287.731000      1519.586728     242.073556      0.102605        6.277376       
62              287.795000      1549.130899     242.809230      0.102657        6.380033       
63              287.795000      1578.653486     243.521092      0.102582        6.482615       
64              287.789000      1608.182940     244.210855      0.102608        6.585223       
65              287.795000      1637.707829     244.879429      0.102590        6.687813       
66              287.855000      1667.949875     245.544098      0.105060        6.792873       
67              287.943000      1697.482461     246.174747      0.102564        6.895437       
68              287.972000      1727.021477     246.787406      0.102576        6.998013       
69              287.972000      1756.572588     247.382604      0.102618        7.100631       
70              288.017000      1786.162014     247.962135      0.102735        7.203366       
71              288.082000      1815.726717     248.525692      0.102626        7.305992       
72              288.082000      1845.280762     249.073441      0.102589        7.408581       
73              288.114000      1874.840970     249.606716      0.102599        7.511180       
74              288.150000      1904.405448     250.126113      0.102601        7.613781       
75              288.150000      1933.974825     250.631781      0.102618        7.716399       
76              288.114000      1964.385834     251.137579      0.105552        7.821951       
77              288.082000      1993.955146     251.616095      0.102642        7.924593       
78              288.090000      2023.494455     252.081997      0.102535        8.027128       
79              288.061000      2053.044616     252.535990      0.102583        8.129711       
80              288.061000      2082.577494     252.978413      0.102523        8.232234       
81              288.125000      2112.122120     253.410814      0.102541        8.334775       
82              288.185000      2141.662235     253.833284      0.102504        8.437279       
83              288.153000      2171.197341     254.245203      0.102498        8.539777       
84              288.152000      2201.110112     254.652422      0.103809        8.643586       
85              288.282000      2230.991406     255.050926      0.103653        8.747239       
86              288.332000      2260.560141     255.436586      0.102551        8.849790       
87              288.347000      2291.038996     255.825028      0.105702        8.955492       
88              288.450000      2320.689348     256.195252      0.102792        9.058284       
89              288.579000      2350.451943     256.559813      0.103135        9.161419       
90              288.579000      2380.013687     256.913878      0.102439        9.263858       
91              288.476000      2409.588535     257.259346      0.102521        9.366379       
92              288.542000      2439.193233     257.598309      0.102601        9.468980       
93              288.479000      2468.773004     257.929125      0.102537        9.571517       
94              288.508000      2498.402487     258.253742      0.102699        9.674216       
95              288.572000      2527.992949     258.571728      0.102541        9.776757       
96              288.606000      2557.605079     258.883654      0.102604        9.879361       
97              288.606000      2587.216920     259.189166      0.102603        9.981964       
98              288.616000      2616.826902     259.488533      0.102593        10.084557      
99              288.699000      2646.450595     259.782758      0.102611        10.187168      
100             288.758000      2676.064460     260.071549      0.102556        10.289724      
101             288.818000      2705.696609     260.355348      0.102598        10.392322      
102             288.941000      2735.342823     260.634814      0.102603        10.494925      
103             289.184000      2765.006739     260.911154      0.102578        10.597503      
104             289.034000      2794.639950     261.180620      0.102525        10.700028      
105             288.920000      2824.284298     261.444090      0.102604        10.802632      
106             288.952000      2853.964580     261.703186      0.102717        10.905349      
107             289.087000      2883.627219     261.958438      0.102608        11.007957      
108             288.952000      2913.267048     262.207653      0.102577        11.110534      
109             289.017000      2942.904297     262.452828      0.102545        11.213079      
110             289.123000      2972.568027     262.694646      0.102599        11.315678      
111             289.123000      3002.226843     262.932079      0.102582        11.418260      
112             289.064000      3031.895505     263.164882      0.102637        11.520897      
113             289.093000      3061.544883     263.393660      0.102560        11.623457      
114             289.152000      3091.210721     263.619030      0.102596        11.726053      
115             289.313000      3120.946022     263.842281      0.102779        11.828832      
116             289.269000      3150.630229     264.060967      0.102618        11.931450      
117             289.358000      3180.306785     264.276562      0.102560        12.034010      
118             289.388000      3209.981788     264.488733      0.102544        12.136554      
119             289.359000      3239.672626     264.697237      0.102609        12.239163      
120             289.211000      3269.336130     264.900960      0.102567        12.341730      
121             289.329000      3299.026204     265.102396      0.102617        12.444347      
122             289.612000      3328.735472     265.302785      0.102583        12.546930      
123             289.481000      3358.439986     265.498918      0.102613        12.649543      
124             289.450000      3389.357298     265.699470      0.106814        12.756357      
125             289.753000      3419.081900     265.891364      0.102586        12.858943      
126             289.656000      3448.794522     266.079441      0.102579        12.961522      
127             289.488000      3478.496570     266.263285      0.102602        13.064124      
128             289.926000      3508.230801     266.447599      0.102558        13.166682      
129             289.797000      3537.984549     266.628264      0.102671        13.269353      
130             289.792000      3567.714310     266.805977      0.102590        13.371943      
131             289.927000      3597.464299     266.982049      0.102612        13.474555      
132             290.062000      3627.216829     267.156414      0.102573        13.577128      
133             289.861000      3656.955118     267.326694      0.102595        13.679723      
134             289.831000      3687.563300     267.499095      0.105607        13.785330      
135             289.831000      3717.299092     267.664072      0.102597        13.887927      
136             289.963000      3747.050165     267.827607      0.102603        13.990530      
137             289.860000      3776.789511     267.988004      0.102599        14.093129      
138             289.823000      3806.525641     268.145819      0.102601        14.195730      
139             290.060000      3836.275645     268.303014      0.102565        14.298295      
140             289.889000      3866.027243     268.456851      0.102631        14.400926      
141             289.889000      3895.764346     268.608437      0.102581        14.503507      
142             289.989000      3925.518668     268.758631      0.102605        14.606112      
143             290.070000      3955.267667     268.907227      0.102558        14.708670      
144             290.159000      3985.042623     269.054464      0.102616        14.811286      
145             290.214000      4014.821191     269.200044      0.102609        14.913895      
146             290.305000      4044.598356     269.344204      0.102572        15.016467      
147             290.212000      4074.366561     269.485780      0.102574        15.119041      
148             290.212000      4104.140281     269.625474      0.102593        15.221634      
149             290.175000      4133.918620     269.763088      0.102622        15.324256      
150             290.328000      4163.694950     269.899808      0.102561        15.426817      
151             290.358000      4193.491197     270.034997      0.102619        15.529436      
152             290.240000      4223.269531     270.167610      0.102599        15.632035      
153             290.401000      4253.712849     270.302396      0.104832        15.736867      
154             290.639000      4283.532120     270.434124      0.102599        15.839466      
155             290.445000      4314.252778     270.566864      0.105771        15.945237      
156             290.439000      4344.056756     270.693936      0.102617        16.047854      
157             290.975000      4373.905554     270.822754      0.102582        16.150436      
158             290.814000      4403.747723     270.948972      0.102616        16.253052      
159             290.848000      4433.580584     271.073765      0.102572        16.355624      
160             290.780000      4463.416939     271.196623      0.102608        16.458232      
161             291.115000      4493.288831     271.320038      0.102612        16.560844      
162             290.846000      4523.156388     271.440371      0.102692        16.663536      
163             290.778000      4553.643008     271.561280      0.104845        16.768381      
164             291.112000      4583.499746     271.680132      0.102561        16.870942      
165             290.905000      4613.343108     271.796327      0.102588        16.973530      
166             290.905000      4643.184434     271.911118      0.102581        17.076111      
167             291.112000      4673.047285     272.025775      0.102582        17.178693      
168             291.210000      4702.931255     272.139695      0.102620        17.281313      
169             290.993000      4732.782190     272.250949      0.102583        17.383896      
170             291.088000      4762.641706     272.361451      0.102579        17.486475      
171             291.517000      4792.566217     272.473244      0.102651        17.589126      
172             291.352000      4822.461264     272.582736      0.102608        17.691734      
173             291.214000      4852.981073     272.692454      0.104802        17.796536      
174             291.248000      4882.895155     272.798930      0.102710        17.899246      
175             291.218000      4912.762182     272.903866      0.102559        18.001805      
176             290.923000      4942.613500     273.005992      0.102609        18.104414      
177             290.923000      4972.448527     273.106912      0.102553        18.206967      
178             291.226000      5002.331518     273.208455      0.102611        18.309578      
179             291.195000      5032.204922     273.308673      0.102589        18.412167      
180             290.961000      5062.058684     273.406497      0.102604        18.514771      
181             291.225000      5091.946523     273.504721      0.102628        18.617399      
182             291.224000      5121.836299     273.601869      0.102635        18.720034      
183             291.254000      5152.575246     273.700831      0.105540        18.825574      
184             291.256000      5182.462189     273.796001      0.102614        18.928188      
185             291.326000      5212.353402     273.890514      0.102604        19.030792      
186             291.468000      5242.251606     273.984751      0.102578        19.133370      
187             291.528000      5272.153633     274.078295      0.102570        19.235940      
188             291.493000      5302.060815     274.170688      0.102600        19.338540      
189             291.555000      5331.968818     274.262416      0.102581        19.441121      
190             291.793000      5361.898318     274.354422      0.102571        19.543692      
