#timestep       power           acc-energy      avg-power       dt              acc-time       
1               83.108000       8.318612        83.108000       0.100094        0.100094       
2               80.410000       16.616040       81.738461       0.103189        0.203283       
3               80.410000       24.982298       81.288715       0.104045        0.307328       
4               80.493000       33.230013       81.089753       0.102465        0.409793       
5               80.085000       41.427434       80.888943       0.102359        0.512152       
6               81.042000       49.723865       80.914440       0.102372        0.614524       
7               80.085000       57.922808       80.795991       0.102378        0.716902       
8               80.410000       66.284885       80.747093       0.103993        0.820895       
9               80.085000       74.486229       80.673657       0.102408        0.923303       
10              78.068000       82.505140       80.412799       0.102717        1.026020       
11              63.292000       89.003203       78.855453       0.102668        1.128688       
12              63.776000       95.617604       77.586438       0.103713        1.232401       
13              129.075000      108.995324      81.580639       0.103643        1.336044       
14              219.305000      131.859405      91.549895       0.104257        1.440301       
15              215.503000      154.023458      99.811138       0.102848        1.543149       
16              215.448000      180.531102      108.350040      0.123035        1.666184       
17              215.448000      202.935971      114.641691      0.103992        1.770176       
18              215.123000      225.009742      120.147065      0.102610        1.872786       
19              215.726000      247.146465      125.112048      0.102615        1.975401       
20              216.098000      269.603586      129.659372      0.103921        2.079322       
21              216.369000      292.262829      133.817097      0.104725        2.184047       
22              218.710000      315.179919      137.703507      0.104783        2.288830       
23              218.115000      337.631805      141.164230      0.102936        2.391766       
24              218.710000      360.065108      144.353032      0.102571        2.494337       
25              219.583000      382.723219      147.341553      0.103187        2.597524       
26              219.356000      405.635831      150.125512      0.104454        2.701978       
27              219.356000      428.218092      152.666449      0.102948        2.804926       
28              219.035000      450.695026      155.008841      0.102618        2.907544       
29              219.035000      473.317399      157.205165      0.103282        3.010826       
30              219.583000      495.841564      159.260322      0.102577        3.113403       
31              219.951000      518.412936      161.196899      0.102620        3.216023       
32              219.680000      540.943756      163.004339      0.102562        3.318585       
33              219.583000      564.137430      164.749611      0.105626        3.424211       
34              219.078000      587.187722      166.369183      0.105215        3.529426       
35              219.356000      609.918268      167.880505      0.103624        3.633050       
36              219.951000      632.477542      169.310152      0.102565        3.735615       
37              220.221000      655.076181      170.671291      0.102618        3.838233       
38              219.908000      677.643799      171.953454      0.102623        3.940856       
39              219.078000      700.124050      173.149355      0.102613        4.043469       
40              219.583000      722.760862      174.303769      0.103090        4.146559       
41              220.221000      745.368749      175.413117      0.102660        4.249219       
42              220.178000      768.410818      176.489110      0.104652        4.353871       
43              220.406000      791.047616      177.501206      0.102705        4.456576       
44              219.908000      813.601160      178.455159      0.102559        4.559135       
45              220.178000      836.204193      179.373943      0.102658        4.661793       
46              220.449000      858.797791      180.257548      0.102489        4.764282       
47              220.449000      881.408804      181.104576      0.102568        4.866850       
48              220.178000      903.985196      181.910806      0.102537        4.969387       
49              219.908000      926.576125      182.680389      0.102729        5.072116       
50              219.908000      949.127470      183.418148      0.102549        5.174665       
51              220.774000      972.238534      184.158862      0.104682        5.279347       
52              220.774000      994.916881      184.857697      0.102722        5.382069       
53              220.449000      1017.523044     185.523149      0.102546        5.484615       
54              220.178000      1040.342512     186.165865      0.103641        5.588256       
55              220.178000      1063.161320     186.785158      0.103638        5.691894       
56              221.002000      1085.826401     187.390762      0.102556        5.794450       
57              220.823000      1108.487478     187.972551      0.102621        5.897071       
58              220.823000      1131.147230     188.534405      0.102615        5.999686       
59              220.774000      1154.225619     189.086504      0.104534        6.104220       
60              220.221000      1176.824918     189.601267      0.102621        6.206841       
61              220.449000      1199.807608     190.110846      0.104254        6.311095       
62              221.147000      1222.528472     190.608003      0.102741        6.413836       
63              221.376000      1245.513278     191.098140      0.103827        6.517663       
64              220.823000      1268.164860     191.558715      0.102578        6.620241       
65              219.680000      1290.958857     191.992663      0.103760        6.724001       
66              220.449000      1314.017161     192.428543      0.104597        6.828598       
67              221.147000      1336.709718     192.853705      0.102613        6.931211       
68              221.417000      1359.596265     193.273405      0.103364        7.034575       
69              221.052000      1382.503220     193.676674      0.103627        7.138202       
70              220.823000      1405.204708     194.062083      0.102804        7.241006       
71              220.545000      1428.338555     194.440239      0.104894        7.345900       
72              221.376000      1451.259162     194.814610      0.103537        7.449437       
73              221.376000      1474.270976     195.180145      0.103949        7.553386       
74              221.376000      1496.971757     195.531014      0.102544        7.655930       
75              221.052000      1519.679544     195.868917      0.102726        7.758656       
76              220.449000      1542.309516     196.189886      0.102654        7.861310       
77              221.052000      1564.997630     196.510302      0.102637        7.963947       
78              221.647000      1587.732850     196.829941      0.102574        8.066521       
79              221.647000      1610.610145     197.143475      0.103215        8.169736       
80              221.376000      1633.332620     197.444147      0.102642        8.272378       
81              220.774000      1656.314531     197.734074      0.104097        8.376475       
82              221.052000      1679.531844     198.022833      0.105031        8.481506       
83              221.647000      1702.267285     198.305128      0.102575        8.584081       
84              221.647000      1725.827696     198.590636      0.106297        8.690378       
85              221.052000      1748.672978     198.854613      0.103348        8.793726       
86              221.052000      1771.348934     199.110567      0.102582        8.896308       
87              221.376000      1794.124319     199.365112      0.102881        8.999189       
88              221.647000      1817.009371     199.617858      0.103250        9.102439       
89              221.876000      1839.962665     199.867983      0.103451        9.205890       
90              221.376000      1862.908288     200.107448      0.103650        9.309540       
91              221.052000      1885.605907     200.335936      0.102680        9.412220       
92              221.417000      1908.569507     200.565694      0.103712        9.515932       
93              222.019000      1931.802019     200.799040      0.104642        9.620574       
94              221.917000      1954.583575     201.022003      0.102658        9.723232       
95              221.688000      1977.337188     201.237874      0.102638        9.825870       
96              221.147000      2000.307726     201.446133      0.103870        9.929740       
97              221.376000      2023.013599     201.649890      0.102567        10.032307      
98              222.019000      2045.779871     201.855979      0.102542        10.134849      
99              222.019000      2068.564793     202.058104      0.102626        10.237475      
100             222.019000      2091.350159     202.256221      0.102628        10.340103      
101             221.688000      2114.099781     202.447176      0.102620        10.442723      
102             221.417000      2137.251364     202.635234      0.104561        10.547284      
103             221.688000      2159.993671     202.818764      0.102587        10.649871      
104             222.290000      2182.791067     203.004481      0.102557        10.752428      
