#timestep       power           acc-energy      avg-power       dt              acc-time       
1               130.218000      13.032217       130.218000      0.100080        0.100080       
2               60.148000       19.231491       94.667858       0.103067        0.203147       
3               59.876000       25.375248       82.992095       0.102608        0.305755       
4               59.605000       31.495191       77.112826       0.102675        0.408430       
5               91.791000       40.991888       80.079486       0.103460        0.511890       
6               136.110000      55.031499       89.476437       0.103149        0.615039       
7               142.552000      69.680997       97.075107       0.102766        0.717805       
8               180.094000      88.292992       107.523454      0.103346        0.821151       
9               196.792000      108.988623      117.658145      0.105165        0.926316       
10              195.118000      129.026851      125.388820      0.102698        1.029014       
11              194.451000      148.994830      131.655416      0.102689        1.131703       
12              194.576000      168.965527      136.887346      0.102637        1.234340       
13              193.972000      189.055401      141.306410      0.103571        1.337911       
14              194.777000      209.060557      145.118561      0.102708        1.440619       
15              195.048000      229.261678      148.467369      0.103570        1.544189       
16              195.048000      249.290962      151.371846      0.102689        1.646878       
17              195.319000      269.339481      153.950237      0.102645        1.749523       
18              194.777000      289.347169      156.214391      0.102721        1.852244       
19              195.048000      309.613046      158.277064      0.103902        1.956146       
20              195.319000      329.968216      160.150680      0.104215        2.060361       
21              195.118000      349.994542      161.809924      0.102637        2.162998       
22              195.118000      370.022820      163.318975      0.102647        2.265645       
23              194.777000      390.030897      164.683401      0.102723        2.368368       
24              194.847000      410.028240      165.936222      0.102631        2.470999       
25              195.451000      430.084835      167.113056      0.102617        2.573616       
26              195.319000      450.366174      168.206939      0.103837        2.677453       
27              195.451000      470.431565      169.212987      0.102662        2.780115       
28              194.847000      490.508210      170.129095      0.103038        2.883153       
29              195.118000      510.521463      170.987551      0.102570        2.985723       
30              194.847000      530.525430      171.780693      0.102665        3.088388       
31              195.653000      550.607254      172.548550      0.102640        3.191028       
32              195.653000      570.689078      173.268550      0.102640        3.293668       
33              195.319000      590.854202      173.938727      0.103242        3.396910       
34              195.653000      611.765595      174.601102      0.106880        3.503790       
35              195.048000      631.966716      175.188148      0.103570        3.607360       
36              195.653000      652.148128      175.757053      0.103149        3.710509       
37              195.924000      672.357100      176.302504      0.103147        3.813656       
38              195.451000      692.733844      176.812042      0.104255        3.917911       
39              195.924000      712.864644      177.300448      0.102748        4.020659       
40              195.319000      732.930546      177.749379      0.102734        4.123393       
41              195.924000      753.330740      178.197017      0.104123        4.227516       
42              196.250000      773.491503      178.625303      0.102730        4.330246       
43              195.722000      793.580018      179.021156      0.102638        4.432884       
44              195.451000      813.980802      179.399118      0.104378        4.537262       
45              195.924000      834.395495      179.770088      0.104197        4.641459       
46              196.250000      855.121850      180.136731      0.105612        4.747071       
47              195.653000      875.299935      180.466660      0.103132        4.850203       
48              196.250000      895.631239      180.796737      0.103599        4.953802       
49              195.722000      915.725430      181.099781      0.102667        5.056469       
50              196.047000      935.845537      181.397124      0.102629        5.159098       
