#timestep       power           acc-energy      avg-power       dt              acc-time       
1               81.126000       8.119901        81.126000       0.100090        0.100090       
2               79.709000       16.312791       80.408088       0.102785        0.202875       
3               80.251000       24.651111       80.354884       0.103903        0.306778       
4               79.709000       32.862891       80.192511       0.103022        0.409800       
5               79.709000       41.019752       80.095897       0.102333        0.512133       
6               79.980000       49.343511       80.076323       0.104073        0.616206       
7               79.897000       57.526162       80.050767       0.102415        0.718621       
8               79.709000       65.696414       80.008104       0.102501        0.821122       
9               79.544000       73.840686       79.956650       0.102387        0.923509       
10              79.709000       82.002250       79.931933       0.102392        1.025901       
11              80.085000       90.197908       79.945817       0.102337        1.128238       
12              62.836000       96.647333       78.519082       0.102639        1.230877       
13              142.853000      111.351906      83.483959       0.102935        1.333812       
14              183.427000      130.217190      90.638773       0.102849        1.436661       
15              184.624000      149.204660      96.917295       0.102844        1.539505       
16              240.634000      174.205089      106.002918      0.103894        1.643399       
17              243.319000      199.303201      114.112639      0.103149        1.746548       
18              245.064000      224.467597      121.384162      0.102685        1.849233       
19              241.852000      249.306282      127.722635      0.102702        1.951935       
20              247.997000      274.797149      133.739333      0.102787        2.054722       
21              245.982000      300.056549      139.081838      0.102688        2.157410       
22              247.125000      325.453585      143.994543      0.102770        2.260180       
23              248.592000      350.986221      148.541138      0.102709        2.362889       
24              245.039000      376.133838      152.557857      0.102627        2.465516       
25              248.254000      402.179158      156.463766      0.104914        2.570430       
26              247.381000      427.572323      159.955049      0.102648        2.673078       
27              247.381000      453.011501      163.193754      0.102834        2.775912       
28              248.849000      478.759161      166.271672      0.103467        2.879379       
29              245.913000      504.212877      169.035249      0.103507        2.982886       
30              248.254000      529.954583      171.696537      0.103691        3.086577       
31              248.579000      555.560209      174.179465      0.103008        3.189585       
32              246.786000      580.895753      176.443551      0.102662        3.292247       
33              248.849000      606.861155      178.667821      0.104342        3.396589       
34              246.508000      632.156574      180.657251      0.102615        3.499204       
35              248.254000      657.660700      182.585236      0.102734        3.601938       
36              249.120000      683.253047      184.430255      0.102731        3.704669       
37              245.658000      708.512585      186.083752      0.102824        3.807493       
38              247.395000      733.904713      187.693127      0.102638        3.910131       
39              247.997000      759.730625      189.257527      0.104138        4.014269       
40              249.723000      785.533254      190.774820      0.103325        4.117594       
41              246.530000      811.152651      192.147332      0.103920        4.221514       
42              248.849000      836.708199      193.493931      0.102695        4.324209       
43              248.322000      862.538405      194.781842      0.104019        4.428228       
44              247.395000      887.921380      195.973271      0.102601        4.530829       
45              249.452000      913.538853      197.158546      0.102695        4.633524       
46              246.855000      938.898267      198.236469      0.102730        4.736254       
47              248.862000      964.486756      199.312174      0.102822        4.839076       
48              249.464000      990.104214      200.354330      0.102690        4.941766       
49              247.125000      1015.481974     201.306458      0.102692        5.044458       
50              249.452000      1041.286287     202.273914      0.103444        5.147902       
51              247.125000      1066.647984     203.150575      0.102627        5.250529       
52              248.579000      1092.188234     204.022479      0.102745        5.353274       
53              249.723000      1117.810563     204.881921      0.102603        5.455877       
54              246.508000      1143.104995     205.650349      0.102611        5.558488       
55              249.452000      1168.737186     206.445368      0.102754        5.661242       
56              247.976000      1194.551487     207.195252      0.104100        5.765342       
57              247.976000      1220.016143     207.908911      0.102690        5.868032       
58              249.723000      1245.658949     208.628034      0.102685        5.970717       
59              247.111000      1271.374802     209.287279      0.104066        6.074783       
60              249.120000      1297.091958     209.952866      0.103232        6.178015       
61              248.849000      1322.631580     210.588462      0.102631        6.280646       
62              247.976000      1348.209808     211.192562      0.103148        6.383794       
63              249.993000      1373.864090     211.806414      0.102620        6.486414       
64              247.381000      1399.267645     212.360838      0.102690        6.589104       
65              249.120000      1424.871451     212.925402      0.102777        6.691881       
66              249.723000      1450.554962     213.482386      0.102848        6.794729       
67              247.111000      1475.933509     213.983108      0.102701        6.897430       
68              249.734000      1501.972774     214.515504      0.104268        7.001698       
69              248.254000      1527.454806     215.002964      0.102645        7.104343       
70              248.862000      1552.998001     215.485176      0.102640        7.206983       
71              249.993000      1578.696282     215.970453      0.102796        7.309779       
72              246.855000      1604.314894     216.402796      0.103780        7.413559       
73              249.799000      1630.052184     216.860567      0.103032        7.516591       
74              249.120000      1655.713786     217.296680      0.103009        7.619600       
75              248.334000      1681.311310     217.710945      0.103077        7.722677       
76              250.329000      1707.672456     218.149740      0.105306        7.827983       
77              247.651000      1733.098041     218.531651      0.102667        7.930650       
78              249.734000      1758.747471     218.930575      0.102707        8.033357       
79              249.452000      1784.354966     219.315675      0.102655        8.136012       
80              250.329000      1810.496823     219.708703      0.104430        8.240442       
81              247.719000      1835.950198     220.053665      0.102751        8.343193       
82              249.194000      1862.015642     220.414475      0.104599        8.447792       
83              250.318000      1888.116550     220.779074      0.104271        8.552063       
84              247.381000      1913.639342     221.096174      0.103172        8.655235       
85              249.993000      1939.339123     221.435365      0.102802        8.758037       
86              248.254000      1965.009579     221.748312      0.103404        8.861441       
87              249.452000      1990.756768     222.067279      0.103215        8.964656       
88              250.318000      2016.468181     222.387303      0.102715        9.067371       
89              247.651000      2042.415567     222.675892      0.104774        9.172145       
90              249.993000      2068.162096     222.979215      0.102989        9.275134       
91              249.120000      2093.782842     223.265892      0.102845        9.377979       
92              248.849000      2119.319478     223.542806      0.102619        9.480598       
93              250.588000      2145.035069     223.832417      0.102621        9.583219       
94              247.976000      2170.520306     224.088592      0.102773        9.685992       
95              249.993000      2196.226087     224.360703      0.102826        9.788818       
96              249.993000      2221.885868     224.626685      0.102642        9.891460       
97              248.836000      2247.440579     224.875453      0.102697        9.994157       
98              250.329000      2273.133596     225.134196      0.102637        10.096794      
99              248.322000      2298.770856     225.368896      0.103242        10.200036      
100             249.734000      2324.828601     225.615617      0.104342        10.304378      
101             250.931000      2350.584159     225.865292      0.102640        10.407018      
102             247.651000      2376.063237     226.078556      0.102883        10.509901      
103             250.661000      2401.805620     226.316440      0.102698        10.612599      
104             249.452000      2427.434069     226.538264      0.102739        10.715338      
105             249.734000      2453.117963     226.758778      0.102845        10.818183      
106             250.931000      2478.899868     226.986193      0.102745        10.920928      
107             248.254000      2504.394065     227.184320      0.102694        11.023622      
108             250.401000      2530.191127     227.399286      0.103023        11.126645      
109             249.993000      2556.105901     227.607838      0.103662        11.230307      
110             249.194000      2581.692393     227.803409      0.102677        11.332984      
111             250.931000      2607.440172     228.010928      0.102609        11.435593      
112             248.579000      2633.124598     228.195104      0.103325        11.538918      
113             250.329000      2658.831884     228.390354      0.102694        11.641612      
114             250.920000      2684.786547     228.588771      0.103438        11.745050      
115             248.849000      2710.343339     228.764393      0.102700        11.847750      
116             250.920000      2736.114329     228.954805      0.102706        11.950456      
117             249.120000      2762.319012     229.130753      0.105189        12.055645      
118             249.993000      2788.007293     229.307069      0.102756        12.158401      
119             251.191000      2813.791547     229.490278      0.102648        12.261049      
120             247.976000      2839.516825     229.645374      0.103741        12.364790      
121             249.723000      2865.177362     229.810851      0.102756        12.467546      
122             249.993000      2890.867892     229.975845      0.102765        12.570311      
123             251.191000      2916.632051     230.147550      0.102568        12.672879      
124             248.579000      2942.179260     230.295821      0.102773        12.775652      
125             250.920000      2972.543090     230.489338      0.121010        12.896662      
126             250.931000      2998.330767     230.650941      0.102768        12.999430      
127             249.452000      3024.140318     230.799401      0.103465        13.102895      
128             251.525000      3049.961623     230.960520      0.102659        13.205554      
129             249.452000      3075.578597     231.103210      0.102693        13.308247      
130             250.661000      3101.302431     231.252872      0.102624        13.410871      
131             251.265000      3127.080964     231.404805      0.102595        13.513466      
132             248.849000      3152.634770     231.536363      0.102688        13.616154      
133             250.941000      3178.409171     231.681642      0.102711        13.718865      
134             249.723000      3204.089186     231.815871      0.102834        13.821699      
135             250.059000      3229.752491     231.950331      0.102629        13.924328      
136             251.803000      3255.746870     232.096433      0.103233        14.027561      
137             249.120000      3281.316298     232.220089      0.102639        14.130200      
138             251.201000      3307.097810     232.356960      0.102633        14.232833      
139             250.920000      3333.137033     232.491328      0.103775        14.336608      
140             250.059000      3358.888109     232.616617      0.102980        14.439588      
141             251.525000      3384.699856     232.750049      0.102621        14.542209      
142             249.464000      3410.318811     232.867254      0.102696        14.644905      
143             250.920000      3436.407214     232.994515      0.103971        14.748876      
144             251.786000      3462.538069     233.125820      0.103782        14.852658      
145             248.849000      3488.100585     233.233816      0.102723        14.955381      
146             251.786000      3513.956993     233.360337      0.102692        15.058073      
147             249.993000      3539.615774     233.472940      0.102638        15.160711      
148             250.920000      3565.517995     233.590934      0.103229        15.263940      
149             252.064000      3591.879100     233.716641      0.104581        15.368521      
150             249.452000      3617.628035     233.821621      0.103222        15.471743      
151             251.461000      3643.435980     233.937861      0.102632        15.574375      
152             250.920000      3669.371071     234.049821      0.103360        15.677735      
