#timestep       power           acc-energy      avg-power       dt              acc-time       
1               63.973000       6.402802        63.973000       0.100086        0.100086       
2               58.999000       12.477339       61.450798       0.102960        0.203046       
3               59.605000       18.608190       60.830162       0.102858        0.305904       
4               58.999000       24.672697       60.369609       0.102790        0.408694       
5               59.271000       30.802148       60.147758       0.103414        0.512108       
6               161.924000      47.521611       77.225330       0.103255        0.615363       
7               161.048000      64.092001       89.233058       0.102891        0.718254       
8               266.045000      91.479737       111.397905      0.102944        0.821198       
9               269.863000      119.240544      129.038711      0.102870        0.924068       
10              269.592000      149.295738      144.170199      0.111484        1.035552       
11              270.467000      177.087034      155.570813      0.102753        1.138305       
12              270.738000      204.896429      165.102979      0.102717        1.241022       
13              271.063000      232.760621      173.208441      0.102796        1.343818       
14              271.605000      261.072727      180.291623      0.104240        1.448058       
15              271.334000      288.931674      186.319541      0.102674        1.550732       
16              271.938000      316.914094      191.647291      0.102900        1.653632       
17              273.084000      344.955451      196.408534      0.102684        1.756316       
18              273.410000      373.402942      200.715098      0.104047        1.860363       
19              273.084000      401.430645      204.498858      0.102634        1.962997       
20              273.084000      429.488387      207.910085      0.102744        2.065741       
21              272.806000      457.486740      210.981667      0.102631        2.168372       
22              272.806000      485.509372      213.777941      0.102720        2.271092       
23              273.084000      513.700653      216.356503      0.103233        2.374325       
24              273.410000      542.384916      218.770814      0.104913        2.479238       
25              272.535000      570.366357      220.908776      0.102671        2.581909       
26              273.410000      598.443103      222.917047      0.102691        2.684600       
27              273.681000      626.600773      224.790725      0.102885        2.787485       
28              274.277000      654.899851      226.557049      0.103177        2.890662       
29              274.556000      683.201084      228.209740      0.103080        2.993742       
30              273.681000      711.488204      229.727230      0.103358        3.097100       
31              277.498000      740.132658      231.268040      0.103224        3.200324       
32              277.498000      768.678877      232.707760      0.102870        3.303194       
33              277.770000      797.752785      234.091800      0.104669        3.407863       
34              277.770000      826.295875      235.370288      0.102758        3.510621       
35              277.770000      856.367255      236.638689      0.108260        3.618881       
36              277.770000      884.952288      237.775986      0.102909        3.721790       
37              278.366000      913.579448      238.867406      0.102840        3.824630       
38              278.645000      942.236135      239.909004      0.102843        3.927473       
39              278.970000      970.898908      240.904812      0.102745        4.030218       
40              279.241000      999.858154      241.866544      0.103707        4.133925       
41              278.970000      1028.533481     242.766738      0.102790        4.236715       
42              278.645000      1057.167598     243.616362      0.102762        4.339477       
43              278.366000      1085.808676     244.421201      0.102890        4.442367       
44              278.970000      1114.615397     245.206030      0.103261        4.545628       
45              278.645000      1143.339238     245.947531      0.103084        4.648712       
46              278.095000      1171.921842     246.642916      0.102780        4.751492       
47              278.970000      1200.619207     247.327961      0.102869        4.854361       
48              279.241000      1229.320993     247.989669      0.102785        4.957146       
49              279.566000      1258.395857     248.638521      0.104000        5.061146       
50              279.845000      1287.135099     249.259147      0.102697        5.163843       
51              280.116000      1315.961837     249.862076      0.102910        5.266753       
52              279.566000      1344.929627     250.435189      0.103617        5.370370       
53              93.869000       1354.586494     247.492346      0.102876        5.473246       
54              78.311000       1362.600294     244.387228      0.102333        5.575579       
55              77.442000       1370.649461     241.332046      0.103938        5.679517       
56              77.794000       1378.614944     238.435946      0.102392        5.781909       
57              75.636000       1386.931349     235.397799      0.109953        5.891862       
