#timestep       power           acc-energy      avg-power       dt              acc-time       
1               133.022000      13.312177       133.022000      0.100075        0.100075       
2               59.605000       19.453220       95.779602       0.103029        0.203104       
3               59.605000       25.567859       83.639827       0.102586        0.305690       
4               59.605000       31.681484       77.601434       0.102569        0.408259       
5               59.876000       37.818295       74.044485       0.102492        0.510751       
6               101.555000      48.382960       78.699632       0.104029        0.614780       
7               161.924000      65.218360       90.738462       0.103971        0.718751       
8               165.746000      82.229867       100.110991      0.102636        0.821387       
9               166.288000      99.287523       107.457984      0.102579        0.923966       
10              166.288000      116.445286      113.367693      0.103181        1.027147       
11              166.614000      133.532551      118.201466      0.102556        1.129703       
12              156.025000      149.536347      121.349818      0.102572        1.232275       
13              165.412000      166.501498      124.735360      0.102563        1.334838       
14              165.412000      183.456890      127.636213      0.102504        1.437342       
15              165.412000      200.712008      130.192305      0.104316        1.541658       
16              165.746000      217.899868      132.433105      0.103700        1.645358       
17              165.412000      235.025965      134.385483      0.103536        1.748894       
18              165.746000      252.025041      136.122693      0.102561        1.851455       
19              165.141000      269.008802      137.649767      0.102844        1.954299       
20              165.141000      285.946653      139.020623      0.102566        2.056865       
21              162.792000      303.969519      140.234768      0.110711        2.167576       
22              161.319000      320.581504      141.190998      0.102976        2.270552       
23              159.846000      336.992573      141.998033      0.102668        2.373220       
24              159.575000      353.569703      142.735164      0.103883        2.477103       
25              159.575000      369.936353      143.404693      0.102564        2.579667       
26              159.249000      386.284696      144.011092      0.102659        2.682326       
27              159.249000      402.619822      144.572348      0.102576        2.784902       
28              159.575000      418.987110      145.105269      0.102568        2.887470       
29              159.575000      435.424931      145.603693      0.103010        2.990480       
30              159.575000      451.810890      146.067504      0.102685        3.093165       
31              159.249000      468.155889      146.490847      0.102638        3.195803       
32              159.249000      484.496747      146.887747      0.102612        3.298415       
33              159.575000      501.092068      147.275541      0.103997        3.402412       
34              159.575000      517.740528      147.641466      0.104330        3.506742       
35              159.575000      534.112285      147.980678      0.102596        3.609338       
36              159.575000      550.573882      148.302849      0.103159        3.712497       
37              159.575000      566.976437      148.606536      0.102789        3.815286       
38              159.575000      583.680748      148.899441      0.104680        3.919966       
39              159.575000      600.103249      149.172545      0.102914        4.022880       
40              159.575000      616.469740      149.431162      0.102563        4.125443       
41              159.575000      632.847561      149.677397      0.102634        4.228077       
42              159.575000      649.344265      149.913624      0.103379        4.331456       
43              159.575000      665.718574      150.137205      0.102612        4.434068       
44              159.740000      682.392395      150.358062      0.104381        4.538449       
45              159.740000      698.776448      150.565404      0.102567        4.641016       
46              159.575000      715.394269      150.763130      0.104138        4.745154       
47              159.575000      731.753898      150.949486      0.102520        4.847674       
48              159.575000      748.124059      151.128236      0.102586        4.950260       
49              159.575000      764.481135      151.299593      0.102504        5.052764       
50              159.740000      780.868702      151.467553      0.102589        5.155353       
51              159.575000      797.231522      151.625665      0.102540        5.257893       
52              159.575000      813.586524      151.777657      0.102491        5.360384       
53              159.575000      829.956844      151.924080      0.102587        5.462971       
54              159.846000      846.343457      152.070000      0.102515        5.565486       
55              159.575000      862.731810      152.205981      0.102700        5.668186       
56              159.575000      879.209524      152.337824      0.103260        5.771446       
57              159.575000      895.599791      152.464369      0.102712        5.874158       
58              159.575000      912.035219      152.586895      0.102995        5.977153       
59              159.575000      928.404262      152.704801      0.102579        6.079732       
60              159.575000      944.829956      152.819181      0.102934        6.182666       
61              159.846000      961.231274      152.933894      0.102607        6.285273       
62              159.846000      977.865808      153.046474      0.104066        6.389339       
63              159.846000      994.267766      153.153947      0.102611        6.491950       
64              159.249000      1010.614516     153.248820      0.102649        6.594599       
65              159.846000      1027.063469     153.350184      0.102905        6.697504       
66              159.846000      1043.458394     153.448162      0.102567        6.800071       
67              159.846000      1059.865467     153.543297      0.102643        6.902714       
68              159.575000      1076.242170     153.631661      0.102627        7.005341       
69              159.575000      1092.607384     153.717413      0.102555        7.107896       
70              159.846000      1109.014937     153.804657      0.102646        7.210542       
71              159.575000      1125.503822     153.886180      0.103330        7.313872       
72              159.575000      1141.869993     153.964850      0.102561        7.416433       
73              159.846000      1158.419009     154.045818      0.103531        7.519964       
74              159.846000      1174.921670     154.124370      0.103241        7.623205       
75              159.575000      1191.287682     154.196728      0.102560        7.725765       
76              159.846000      1207.683726     154.270750      0.102574        7.828339       
77              159.846000      1224.162889     154.343218      0.103094        7.931433       
78              159.846000      1240.588984     154.413601      0.102762        8.034195       
79              160.011000      1257.119080     154.484661      0.103306        8.137501       
80              159.575000      1273.499454     154.548073      0.102650        8.240151       
81              160.011000      1289.923783     154.615285      0.102645        8.342796       
82              159.846000      1306.333893     154.678869      0.102662        8.445458       
83              159.846000      1323.102378     154.742264      0.104904        8.550362       
84              159.575000      1339.654135     154.800187      0.103724        8.654086       
85              159.846000      1356.090141     154.859436      0.102824        8.756910       
86              159.846000      1372.554279     154.917406      0.103000        8.859910       
87              160.118000      1389.093347     154.977339      0.103293        8.963203       
88              160.118000      1405.580858     155.035725      0.102971        9.066174       
89              160.011000      1422.128715     155.091837      0.103417        9.169591       
90              159.846000      1438.939080     155.145744      0.105166        9.274757       
91              159.846000      1455.626363     155.198061      0.104396        9.379153       
92              159.846000      1472.168985     155.248788      0.103491        9.482644       
