#timestep       power           acc-energy      avg-power       dt              acc-time       
1               89.266000       8.934634        89.266000       0.100090        0.100090       
2               82.048000       17.373845       85.607795       0.102857        0.202947       
3               81.722000       25.737029       84.305202       0.102337        0.305284       
4               82.319000       34.276802       83.801446       0.103740        0.409024       
5               82.048000       42.808400       83.446034       0.103983        0.513007       
6               82.427000       51.319647       83.275290       0.103258        0.616265       
7               81.963000       59.799375       83.086653       0.103458        0.719723       
8               81.878000       68.185238       82.936084       0.102419        0.822142       
9               81.638000       76.551255       82.792215       0.102477        0.924619       
10              81.878000       85.017031       82.700266       0.103395        1.028014       
11              81.878000       93.402402       82.625771       0.102413        1.130427       
12              64.371000       100.044138      81.098939       0.103179        1.233606       
13              103.802000      110.706991      82.844113       0.102723        1.336329       
14              168.018000      127.954879      88.920293       0.102655        1.438984       
15              170.604000      145.459361      94.356894       0.102603        1.541587       
16              171.052000      163.285032      99.213228       0.104212        1.645799       
17              171.052000      180.831204      103.428039      0.102578        1.748377       
18              171.499000      198.418255      107.199453      0.102549        1.850926       
19              171.824000      216.178155      110.617404      0.103361        1.954287       
20              172.103000      234.119032      113.731063      0.104245        2.058532       
21              169.313000      251.482081      116.368597      0.102550        2.161082       
22              169.155000      268.828588      118.759951      0.102548        2.263630       
23              169.313000      286.189604      120.950670      0.102538        2.366168       
24              170.084000      304.112716      123.045541      0.105378        2.471546       
25              170.625000      321.752440      124.955849      0.103383        2.574929       
26              170.625000      339.571833      126.735937      0.104436        2.679365       
27              170.625000      357.160711      128.361951      0.103085        2.782450       
28              170.625000      374.666836      129.864937      0.102600        2.885050       
29              170.625000      392.446473      131.285800      0.104203        2.989253       
30              170.958000      410.173450      132.615824      0.103692        3.092945       
31              170.958000      427.772379      133.850867      0.102943        3.195888       
32              170.958000      445.362931      135.008294      0.102894        3.298782       
33              169.759000      462.837753      136.059881      0.102939        3.401721       
34              169.908000      480.773581      137.078639      0.105562        3.507283       
35              169.759000      498.185083      138.007181      0.102566        3.609849       
36              169.408000      515.575153      138.875425      0.102652        3.712501       
37              170.449000      533.092026      139.725898      0.102769        3.815270       
38              170.178000      550.708002      140.530292      0.103515        3.918785       
39              170.272000      568.186423      141.289471      0.102650        4.021435       
40              170.449000      585.670399      142.014752      0.102576        4.124011       
41              170.272000      603.148480      142.701003      0.102648        4.226659       
42              170.272000      620.818116      143.361705      0.103773        4.330432       
43              170.625000      638.680335      144.005231      0.104687        4.435119       
44              170.781000      656.198196      144.610500      0.102575        4.537694       
45              170.084000      673.663102      145.174187      0.102684        4.640378       
46              169.759000      691.076131      145.705878      0.102575        4.742953       
47              169.759000      708.487633      146.215015      0.102566        4.845519       
48              169.488000      725.893203      146.698021      0.102695        4.948214       
49              170.625000      744.113223      147.203465      0.106784        5.054998       
50              170.354000      761.591203      147.663990      0.102598        5.157596       
51              170.781000      779.188477      148.116782      0.103040        5.260636       
52              170.449000      796.667170      148.543778      0.102545        5.363181       
53              170.604000      814.187347      148.958254      0.102695        5.465876       
54              170.449000      831.676949      149.354259      0.102609        5.568485       
55              170.449000      849.172686      149.736064      0.102645        5.671130       
56              170.625000      866.684783      150.107388      0.102635        5.773765       
57              170.084000      884.165847      150.456773      0.102779        5.876544       
58              170.084000      901.956633      150.800020      0.104600        5.981144       
59              170.084000      919.398917      151.125084      0.102551        6.083695       
60              170.625000      936.959131      151.449474      0.102917        6.186612       
61              170.625000      954.453824      151.762095      0.102533        6.289145       
62              170.625000      972.107710      152.067396      0.103466        6.392611       
63              170.958000      989.641504      152.365688      0.102562        6.495173       
64              170.604000      1007.141892     152.649250      0.102579        6.597752       
65              170.625000      1024.638462     152.924358      0.102544        6.700296       
66              170.604000      1042.357564     153.194226      0.103861        6.804157       
67              170.781000      1059.905995     153.455864      0.102754        6.906911       
68              170.084000      1077.351511     153.699184      0.102570        7.009481       
69              170.002000      1094.784196     153.934245      0.102544        7.112025       
70              170.178000      1112.241566     154.165211      0.102583        7.214608       
71              170.178000      1129.691958     154.389613      0.102542        7.317150       
72              170.781000      1147.212723     154.616255      0.102592        7.419742       
73              170.625000      1164.964377     154.837624      0.104039        7.523781       
74              170.781000      1182.477798     155.052010      0.102549        7.626330       
75              170.958000      1200.197936     155.265295      0.103652        7.729982       
76              170.958000      1217.737714     155.470850      0.102597        7.832579       
77              170.958000      1235.376135     155.672201      0.103174        7.935753       
78              170.604000      1252.968308     155.863736      0.103117        8.038870       
79              170.958000      1270.507744     156.053947      0.102595        8.141465       
80              170.178000      1287.972771     156.229772      0.102628        8.244093       
81              170.354000      1305.439678     156.403279      0.102533        8.346626       
82              170.449000      1322.941722     156.573973      0.102682        8.449308       
83              170.354000      1340.412717     156.739228      0.102557        8.551865       
84              170.958000      1358.124821     156.909425      0.103605        8.655470       
85              170.958000      1375.658103     157.073938      0.102559        8.758029       
86              170.958000      1393.241988     157.235101      0.102855        8.860884       
87              170.958000      1410.793562     157.392279      0.102666        8.963550       
88              170.958000      1428.330091     157.545767      0.102578        9.066128       
89              170.958000      1445.874998     157.695892      0.102627        9.168755       
90              170.958000      1463.412212     157.842630      0.102582        9.271337       
91              170.958000      1480.942929     157.986103      0.102544        9.373881       
92              170.354000      1498.410687     158.119928      0.102538        9.476419       
93              170.272000      1516.127148     158.251904      0.104048        9.580467       
94              170.449000      1533.615216     158.381143      0.102600        9.683067       
95              170.449000      1551.100726     158.507652      0.102585        9.785652       
96              170.874000      1568.686053     158.636354      0.102914        9.888566       
97              171.052000      1586.259936     158.764023      0.102740        9.991306       
98              171.052000      1604.012054     158.890349      0.103782        10.095088      
99              170.958000      1621.682444     159.012654      0.103361        10.198449      
100             170.874000      1639.463251     159.132457      0.104058        10.302507      
101             171.052000      1656.998305     159.249891      0.102513        10.405020      
102             171.052000      1674.810805     159.366838      0.104135        10.509155      
103             170.604000      1692.304880     159.475424      0.102542        10.611697      
104             170.625000      1709.801962     159.582138      0.102547        10.714244      
105             170.272000      1727.271699     159.683532      0.102599        10.816843      
106             170.604000      1744.777034     159.786150      0.102608        10.919451      
107             170.781000      1762.422468     159.889210      0.103322        11.022773      
108             170.958000      1779.965836     159.991306      0.102618        11.125391      
109             171.229000      1797.788378     160.095468      0.104086        11.229477      
110             171.229000      1815.351165     160.196240      0.102569        11.332046      
111             171.229000      1832.920631     160.295242      0.102608        11.434654      
112             171.229000      1850.489069     160.392477      0.102602        11.537256      
113             171.229000      1868.045007     160.487931      0.102529        11.639785      
114             171.229000      1885.614301     160.581788      0.102607        11.742392      
115             170.625000      1903.261703     160.669477      0.103428        11.845820      
116             170.625000      1920.780113     160.755024      0.102672        11.948492      
117             170.625000      1938.326847     160.839247      0.102838        12.051330      
118             170.958000      1955.945437     160.925045      0.103058        12.154388      
119             171.229000      1973.514217     161.011300      0.102604        12.256992      
120             171.322000      1991.079861     161.096834      0.102530        12.359522      
121             171.229000      2008.978258     161.181807      0.104529        12.464051      
122             171.145000      2026.527979     161.263106      0.102543        12.566594      
123             171.322000      2044.108700     161.344581      0.102618        12.669212      
124             171.322000      2062.029838     161.426286      0.104605        12.773817      
125             171.145000      2079.600611     161.503775      0.102666        12.876483      
126             171.322000      2097.201034     161.581488      0.102733        12.979216      
127             170.874000      2114.794221     161.654622      0.102960        13.082176      
128             170.604000      2132.303480     161.724285      0.102631        13.184807      
129             170.781000      2149.828343     161.794228      0.102616        13.287423      
130             170.604000      2167.325830     161.861707      0.102562        13.389985      
131             171.052000      2184.882779     161.931619      0.102641        13.492626      
132             171.322000      2202.464870     162.002504      0.102626        13.595252      
133             171.145000      2220.028626     162.071000      0.102625        13.697877      
134             171.322000      2237.611574     162.139798      0.102631        13.800508      
135             171.322000      2255.197092     162.207589      0.102646        13.903154      
136             171.499000      2272.870407     162.275952      0.103052        14.006206      
137             171.499000      2290.457973     162.342991      0.102552        14.108758      
138             171.499000      2308.054627     162.409097      0.102605        14.211363      
139             171.824000      2325.671055     162.476533      0.102526        14.313889      
140             171.229000      2343.239835     162.538825      0.102604        14.416493      
141             170.958000      2360.999123     162.599057      0.103881        14.520374      
142             170.958000      2378.536508     162.657697      0.102583        14.622957      
143             171.229000      2396.244326     162.717889      0.103416        14.726373      
144             171.229000      2414.182790     162.778009      0.104763        14.831136      
145             171.499000      2431.790249     162.837965      0.102668        14.933804      
146             171.499000      2449.379529     162.897041      0.102562        15.036366      
147             171.499000      2466.977042     162.955344      0.102610        15.138976      
148             171.229000      2484.710373     163.011559      0.103565        15.242541      
149             171.824000      2502.329550     163.070447      0.102542        15.345083      
150             171.499000      2519.923289     163.126421      0.102588        15.447671      
151             170.958000      2537.463580     163.178094      0.102600        15.550271      
152             170.449000      2554.941080     163.225724      0.102538        15.652809      
153             170.874000      2572.545373     163.275735      0.103025        15.755834      
154             170.874000      2590.075508     163.324889      0.102591        15.858425      
155             171.322000      2607.663596     163.376326      0.102661        15.961086      
156             171.469000      2625.410123     163.428464      0.103497        16.064583      
157             171.499000      2643.033532     163.479761      0.102761        16.167344      
158             171.469000      2660.627966     163.530147      0.102610        16.269954      
159             171.469000      2678.209540     163.579865      0.102535        16.372489      
160             171.647000      2696.106657     163.630915      0.104267        16.476756      
161             171.747000      2713.963708     163.681808      0.103973        16.580729      
162             171.469000      2731.659309     163.729977      0.103200        16.683929      
163             171.052000      2749.208902     163.774729      0.102598        16.786527      
164             170.874000      2766.834897     163.818087      0.103152        16.889679      
165             171.322000      2784.421614     163.863419      0.102653        16.992332      
166             170.874000      2801.953458     163.905495      0.102601        17.094933      
167             171.145000      2819.516871     163.948695      0.102623        17.197556      
168             171.499000      2837.198589     163.993690      0.103101        17.300657      
169             171.499000      2855.092280     164.038682      0.104337        17.404994      
170             171.499000      2872.713803     164.082466      0.102750        17.507744      
171             171.824000      2890.356863     164.127604      0.102681        17.610425      
172             171.499000      2908.010627     164.170442      0.102938        17.713363      
173             171.824000      2925.646127     164.214533      0.102637        17.816000      
174             171.824000      2943.356714     164.258305      0.103074        17.919074      
175             171.229000      2961.045526     164.298261      0.103305        18.022379      
176             171.229000      2978.680058     164.337641      0.102988        18.125367      
177             171.229000      2996.609618     164.377224      0.104711        18.230078      
178             171.145000      3014.213421     164.415196      0.102859        18.332937      
179             171.647000      3031.824575     164.455443      0.102601        18.435538      
180             172.071000      3049.532230     164.497718      0.102909        18.538447      
181             171.747000      3067.146258     164.537602      0.102558        18.641005      
182             171.647000      3084.952747     164.576947      0.103739        18.744744      
183             171.925000      3102.589501     164.616942      0.102584        18.847328      
184             171.747000      3120.213319     164.655552      0.102615        18.949943      
185             171.925000      3138.258739     164.695594      0.104961        19.054904      
186             171.322000      3155.837918     164.731086      0.102609        19.157513      
187             171.145000      3173.459350     164.765373      0.102962        19.260475      
188             171.322000      3191.037330     164.800116      0.102602        19.363077      
189             171.145000      3208.636854     164.833634      0.102834        19.465911      
190             171.647000      3226.247493     164.869357      0.102598        19.568509      
191             171.747000      3243.856198     164.905204      0.102527        19.671036      
192             171.747000      3261.494271     164.940738      0.102698        19.773734      
193             171.824000      3279.221010     164.976464      0.103168        19.876902      
194             171.824000      3297.234866     165.012391      0.104839        19.981741      
195             171.824000      3314.858510     165.047177      0.102568        20.084309      
196             171.824000      3332.488684     165.081623      0.102606        20.186915      
197             171.824000      3350.121091     165.115724      0.102619        20.289534      
198             171.229000      3367.893976     165.146838      0.103796        20.393330      
199             171.229000      3385.455051     165.177273      0.102559        20.495889      
200             171.499000      3403.043645     165.208748      0.102558        20.598447      
201             171.229000      3420.639994     165.238634      0.102765        20.701212      
202             171.824000      3438.311061     165.271189      0.102844        20.804056      
