#timestep       power           acc-energy      avg-power       dt              acc-time       
1               129.920000      13.003693       129.920000      0.100090        0.100090       
2               129.920000      27.127036       129.920000      0.108708        0.208798       
3               129.849000      40.126999       129.896990      0.100116        0.308914       
4               128.837000      53.027834       129.637509      0.100133        0.409047       
5               128.777000      65.922404       129.468288      0.100131        0.509178       
6               129.549000      78.894404       129.481552      0.100132        0.609310       
7               128.653000      91.776686       129.364608      0.100132        0.709442       
8               129.400000      104.734285      129.368986      0.100136        0.809578       
9               129.264000      117.677877      129.357430      0.100133        0.909711       
10              128.334000      130.528345      129.255950      0.100133        1.009844       
11              119.099000      142.454086      128.339673      0.100133        1.109977       
12              119.137000      154.383631      127.578179      0.100133        1.210110       
13              119.071000      166.306567      126.928033      0.100133        1.310243       
14              119.103000      178.232708      126.372476      0.100133        1.410376       
15              119.157000      190.164613      125.894143      0.100136        1.510512       
16              119.111000      202.091555      125.472438      0.100133        1.610645       
17              119.045000      214.012007      125.096232      0.100134        1.710779       
18              119.026000      225.930437      124.760583      0.100133        1.810912       
19              119.056000      237.851872      124.461680      0.100133        1.911045       
20              119.037000      249.771523      124.191593      0.100134        2.011179       
21              119.067000      261.694059      123.948549      0.100133        2.111312       
22              144.223000      276.140588      124.866871      0.100168        2.211480       
23              167.826000      292.945173      126.727712      0.100131        2.311611       
24              185.303000      311.499933      129.159671      0.100132        2.411743       
25              216.242000      333.158948      132.632039      0.100161        2.511904       
26              229.635000      356.152531      136.350597      0.100131        2.612035       
27              251.918000      381.377332      140.617253      0.100131        2.712166       
28              274.115000      408.824741      145.370400      0.100131        2.812297       
29              314.051000      440.270982      151.169739      0.100131        2.912428       
30              318.549000      472.167930      156.733121      0.100132        3.012560       
31              340.830000      506.295920      162.655322      0.100132        3.112692       
32              362.971000      542.640932      168.898431      0.100132        3.212824       
33              362.355000      578.924263      174.745533      0.100132        3.312956       
34              363.316000      615.308543      180.278446      0.100145        3.413101       
35              363.427000      651.705394      185.499294      0.100149        3.513250       
36              363.465000      688.104597      190.431601      0.100145        3.613395       
37              363.393000      724.494045      195.095626      0.100138        3.713533       
38              363.464000      760.888785      199.516367      0.100133        3.813666       
39              363.494000      797.287257      203.711752      0.100135        3.913801       
40              363.585000      833.694114      207.700006      0.100133        4.013934       
41              363.585000      870.100607      211.494081      0.100132        4.114066       
42              363.609000      906.509140      215.108392      0.100131        4.214197       
43              363.728000      942.951412      218.559715      0.100191        4.314388       
44              363.814000      979.374287      221.853855      0.100114        4.414502       
45              363.846000      1015.791269     225.001837      0.100089        4.514591       
46              363.949000      1052.219288     228.015557      0.100091        4.614682       
47              363.969000      1088.648946     230.901716      0.100090        4.714772       
48              364.080000      1125.090805     233.670270      0.100093        4.814865       
49              364.179000      1161.556048     236.329040      0.100130        4.914995       
50              364.249000      1198.015552     238.882164      0.100095        5.015090       
51              364.282000      1234.476173     241.335870      0.100089        5.115179       
52              364.320000      1270.940233     243.696101      0.100088        5.215267       
53              364.424000      1307.415796     245.969471      0.100091        5.315358       
54              364.424000      1343.890630     248.158763      0.100089        5.415447       
55              364.466000      1380.383881     250.270168      0.100128        5.515575       
56              364.496000      1416.866286     252.306056      0.100090        5.615665       
57              364.531000      1453.352194     254.271254      0.100090        5.715755       
58              364.566000      1489.841240     256.169395      0.100089        5.815844       
59              364.570000      1526.330322     258.003358      0.100088        5.915932       
60              364.630000      1562.825774     259.777314      0.100089        6.016021       
61              364.713000      1599.329898     261.494583      0.100090        6.116111       
62              364.746000      1635.837326     263.157084      0.100090        6.216201       
63              364.789000      1672.363648     264.768209      0.100130        6.316331       
64              364.784000      1708.894577     266.329188      0.100144        6.416475       
65              364.878000      1745.435284     267.843650      0.100145        6.516620       
66              364.911000      1781.974188     269.312566      0.100131        6.616751       
67              364.938000      1818.518349     270.738187      0.100138        6.716889       
68              364.968000      1855.068435     272.122475      0.100146        6.817035       
69              365.053000      1891.633238     273.468135      0.100163        6.917198       
70              365.037000      1928.190234     274.774934      0.100146        7.017344       
71              365.048000      1964.742855     276.044925      0.100131        7.117475       
72              365.103000      2001.300618     277.280430      0.100130        7.217605       
73              365.153000      2037.867770     278.482950      0.100142        7.317747       
74              365.185000      2074.435570     279.653353      0.100135        7.417882       
75              365.044000      2110.992901     280.790811      0.100145        7.518027       
76              365.084000      2147.557524     281.898989      0.100154        7.618181       
77              365.131000      2184.118822     282.978783      0.100132        7.718313       
78              365.104000      2220.682892     284.030729      0.100147        7.818460       
79              365.093000      2257.249146     285.056018      0.100156        7.918616       
80              365.121000      2293.813824     286.055927      0.100144        8.018760       
81              365.192000      2330.385977     287.032054      0.100145        8.118905       
82              365.218000      2366.955620     287.984579      0.100131        8.219036       
83              365.248000      2403.534477     288.914691      0.100148        8.319184       
84              365.229000      2440.110700     289.822432      0.100146        8.419330       
85              364.673000      2476.634525     290.702375      0.100155        8.519485       
86              364.797000      2513.179523     291.563514      0.100179        8.619664       
87              364.728000      2549.692808     292.403509      0.100111        8.719775       
88              364.832000      2586.206289     293.225389      0.100083        8.819858       
89              364.927000      2622.741321     294.030153      0.100116        8.919974       
90              364.962000      2659.292995     294.817721      0.100152        9.020126       
91              364.962000      2695.835545     295.587803      0.100127        9.120253       
92              364.992000      2732.367594     296.341209      0.100090        9.220343       
93              365.028000      2768.909452     297.078945      0.100107        9.320450       
94              364.977000      2805.454964     297.800631      0.100131        9.420581       
95              365.058000      2842.014063     298.508093      0.100146        9.520727       
96              365.724000      2878.639127     299.207746      0.100144        9.620871       
97              365.828000      2915.275338     299.894068      0.100146        9.721017       
98              365.794000      2951.903023     300.565954      0.100132        9.821149       
99              365.755000      2988.529728     301.223937      0.100140        9.921289       
100             365.766000      3025.153878     301.868815      0.100130        10.021419      
101             365.859000      3061.793193     302.501954      0.100146        10.121565      
102             365.897000      3098.435583     303.123047      0.100144        10.221709      
103             365.924000      3135.077382     303.732297      0.100135        10.321844      
104             365.923000      3171.722375     304.329882      0.100144        10.421988      
105             365.966000      3208.372406     304.916513      0.100146        10.522134      
106             365.992000      3245.019917     305.492248      0.100132        10.622266      
107             365.905000      3281.664205     306.056501      0.100147        10.722413      
108             366.009000      3318.318177     306.611263      0.100145        10.822558      
109             366.031000      3354.969593     307.155984      0.100132        10.922690      
110             366.156000      3391.642679     307.692076      0.100157        11.022847      
111             366.227000      3428.318482     308.219091      0.100145        11.122992      
112             366.194000      3464.990614     308.736401      0.100144        11.223136      
113             366.199000      3501.663613     309.244610      0.100145        11.323281      
114             366.199000      3538.340274     309.743957      0.100155        11.423436      
115             365.926000      3575.004595     310.232451      0.100196        11.523632      
116             365.932000      3611.646464     310.712275      0.100133        11.623765      
117             365.927000      3648.287467     311.183855      0.100132        11.723897      
118             365.991000      3684.935243     311.647995      0.100133        11.824030      
119             365.960000      3721.579916     312.104079      0.100133        11.924163      
120             365.798000      3758.199222     312.551108      0.100108        12.024271      
121             365.768000      3794.818817     312.990546      0.100117        12.124388      
122             365.734000      3831.431351     313.422465      0.100107        12.224495      
