#timestep       power           acc-energy      avg-power       dt              acc-time       
1               122.264000      12.248652       122.264000      0.100182        0.100182       
2               122.264000      25.320997       122.264000      0.106919        0.207101       
3               122.172000      37.555667       122.234014      0.100143        0.307244       
4               122.107000      49.795795       122.202768      0.100241        0.407485       
5               122.035000      62.021383       122.169662      0.100181        0.507666       
6               121.951000      74.239288       122.133621      0.100187        0.607853       
7               121.799000      86.438311       122.086285      0.100157        0.708010       
8               121.631000      98.625007       122.029843      0.100194        0.808204       
9               121.553000      110.804253      121.977247      0.100197        0.908401       
10              121.389000      122.962332      121.918829      0.100158        1.008559       
11              121.258000      135.111899      121.859111      0.100196        1.108755       
12              121.120000      147.242794      121.797877      0.100156        1.208911       
13              120.898000      159.350970      121.729031      0.100152        1.309063       
14              141.228000      173.494107      123.114707      0.100144        1.409207       
15              163.433000      189.860124      125.789663      0.100139        1.509346       
16              185.655000      208.450873      129.514262      0.100136        1.609482       
17              217.149000      230.194437      134.647024      0.100132        1.709614       
18              231.446000      253.369356      140.002794      0.100131        1.809745       
19              267.888000      280.193250      146.707561      0.100131        1.909876       
20              277.475000      307.977099      153.221904      0.100131        2.010007       
21              300.539000      338.070370      160.212446      0.100131        2.110138       
22              323.666000      370.479694      167.617392      0.100132        2.210270       
23              346.758000      405.200919      175.381208      0.100131        2.310401       
24              372.452000      442.494910      183.567325      0.100131        2.410532       
25              372.538000      479.797513      191.103909      0.100131        2.510663       
26              373.338000      517.180966      198.093212      0.100133        2.610796       
27              374.328000      554.663926      204.602821      0.100134        2.710930       
28              374.419000      592.155250      210.651793      0.100132        2.811062       
29              374.479000      629.652581      216.286713      0.100132        2.911194       
30              374.655000      667.167161      221.552692      0.100131        3.011325       
31              374.747000      704.690953      226.482699      0.100131        3.111456       
32              374.709000      742.210940      231.104105      0.100131        3.211587       
33              374.742000      779.734231      235.447049      0.100131        3.311718       
34              374.879000      817.272739      239.539259      0.100135        3.411853       
35              374.964000      854.814885      243.400048      0.100122        3.511975       
36              375.058000      892.357816      247.048597      0.100099        3.612074       
37              374.934000      929.894333      250.497572      0.100115        3.712189       
38              375.088000      967.451895      253.769922      0.100130        3.812319       
39              375.088000      1005.010206     256.874835      0.100132        3.912451       
40              375.084000      1042.568117     259.824686      0.100132        4.012583       
41              375.144000      1080.131661     262.632330      0.100131        4.112714       
42              375.054000      1117.689569     265.304606      0.100140        4.212854       
43              375.179000      1155.270874     267.856414      0.100169        4.313023       
44              375.208000      1192.836699     270.291876      0.100120        4.413143       
45              375.148000      1230.393891     272.617793      0.100113        4.513256       
46              375.110000      1267.947278     274.841938      0.100113        4.613369       
