#timestep       power           acc-energy      avg-power       dt              acc-time       
1               135.440000      13.560117       135.440000      0.100119        0.100119       
2               135.440000      28.577975       135.440000      0.110882        0.211001       
3               133.983000      41.989808       134.971192      0.100101        0.311102       
4               135.498000      55.556680       135.099459      0.100126        0.411228       
5               135.633000      69.133137       135.203905      0.100097        0.511325       
6               135.715000      82.718073       135.287579      0.100099        0.611424       
7               134.234000      96.160131       135.139308      0.100139        0.711563       
8               135.754000      109.759424      135.215166      0.100176        0.811739       
9               135.683000      123.345770      135.266539      0.100133        0.911872       
10              134.141000      136.777576      135.155174      0.100132        1.012004       
11              119.384000      148.731854      133.735191      0.100133        1.112137       
12              119.322000      160.679805      132.544679      0.100132        1.212269       
13              119.259000      172.621566      131.531014      0.100133        1.312402       
14              157.778000      188.420351      133.391633      0.100133        1.412535       
15              209.663000      209.415375      138.440703      0.100137        1.512672       
16              247.191000      234.167104      145.192537      0.100132        1.612804       
17              310.951000      265.303249      154.882173      0.100132        1.712936       
18              339.564000      299.304132      165.081672      0.100131        1.813067       
19              386.246000      337.979717      176.656854      0.100132        1.913199       
20              464.591000      384.499678      190.976978      0.100131        2.013330       
21              516.410000      436.208844      206.395404      0.100132        2.113462       
22              568.374000      493.121270      222.769519      0.100132        2.213594       
23              620.299000      555.233049      239.973553      0.100132        2.313726       
24              621.907000      617.505841      255.816971      0.100132        2.413858       
25              630.467000      680.635132      270.739105      0.100131        2.513989       
26              634.827000      744.201629      284.685227      0.100132        2.614121       
27              634.781000      807.762251      297.600425      0.100130        2.714251       
28              635.357000      871.381183      309.617238      0.100131        2.814382       
29              636.502000      935.116037      320.847907      0.100133        2.914515       
30              636.804000      998.880495      331.342441      0.100132        3.014647       
31              637.003000      1062.664880     341.168629      0.100132        3.114779       
32              637.104000      1126.459378     350.385867      0.100132        3.214911       
33              637.425000      1190.286655     359.056065      0.100133        3.315044       
34              637.869000      1254.157754     367.230782      0.100132        3.415176       
35              638.337000      1318.075714     374.953123      0.100132        3.515308       
36              638.765000      1382.037170     382.259639      0.100133        3.615441       
37              639.609000      1446.082498     389.195017      0.100132        3.715573       
38              640.015000      1510.168480     395.777053      0.100132        3.815705       
39              639.984000      1574.251998     402.021738      0.100133        3.915838       
40              640.530000      1638.389548     407.968573      0.100132        4.015970       
41              640.501000      1702.524194     413.625366      0.100132        4.116102       
42              599.844000      1762.587774     418.047901      0.100132        4.216234       
43              544.640000      1817.149264     420.985959      0.100179        4.316413       
44              507.138000      1867.930514     422.939218      0.100133        4.416546       
45              459.874000      1913.978617     423.758040      0.100132        4.516678       
46              389.667000      1952.999481     423.018604      0.100139        4.616817       
47              365.429000      1989.590617     421.796084      0.100132        4.716949       
48              286.246000      2018.253002     418.978423      0.100132        4.817081       
49              234.597000      2041.744372     415.223649      0.100135        4.917216       
50              224.419000      2064.216345     411.415657      0.100134        5.017350       
51              177.257000      2081.965442     406.833955      0.100132        5.117482       
52              130.456000      2095.028263     401.529945      0.100132        5.217614       
53              124.082000      2107.452966     396.305609      0.100133        5.317747       
