#timestep       power           acc-energy      avg-power       dt              acc-time       
1               131.460000      13.165588       131.460000      0.100149        0.100149       
2               131.460000      27.362347       131.460000      0.107993        0.208142       
3               131.311000      40.510912       131.411602      0.100133        0.308275       
4               131.279000      53.661129       131.379082      0.100170        0.408445       
5               131.187000      66.797408       131.341263      0.100134        0.508579       
6               131.089000      79.923743       131.299766      0.100133        0.608712       
7               131.024000      93.043569       131.260810      0.100133        0.708845       
8               130.946000      106.155454      131.221844      0.100132        0.808977       
9               130.881000      119.260176      131.184305      0.100127        0.909104       
10              130.019000      132.278718      131.068692      0.100128        1.009232       
11              129.895000      145.285105      130.962756      0.100130        1.109362       
12              121.253000      157.426289      130.158909      0.100131        1.209493       
13              121.282000      169.570498      129.480193      0.100132        1.309625       
14              121.294000      181.715788      128.898751      0.100131        1.409756       
15              121.272000      193.859117      128.392959      0.100133        1.509889       
16              121.253000      206.000543      127.948900      0.100133        1.610022       
17              121.337000      218.150988      127.561742      0.100138        1.710160       
18              121.282000      230.295318      127.214389      0.100133        1.810293       
19              121.252000      242.436524      126.901880      0.100132        1.910425       
20              121.271000      254.579753      126.621442      0.100133        2.010558       
21              121.293000      266.725063      126.368658      0.100132        2.110690       
22              146.310000      281.378303      127.272009      0.100152        2.210842       
23              166.975000      298.097509      128.992264      0.100130        2.310972       
24              189.968000      317.119005      131.524508      0.100130        2.411102       
25              213.046000      338.451514      134.775034      0.100131        2.511233       
26              247.370000      363.220672      139.092371      0.100130        2.611363       
27              272.641000      390.520216      144.024054      0.100130        2.711493       
28              298.011000      420.360057      149.507974      0.100130        2.811623       
29              323.391000      452.741198      155.487501      0.100130        2.911753       
30              348.685000      487.655376      161.910411      0.100131        3.011884       
31              373.992000      525.103195      168.734201      0.100130        3.112014       
32              374.023000      562.554118      175.133530      0.100130        3.212144       
33              374.331000      600.034383      181.155034      0.100126        3.312270       
34              374.397000      637.523129      186.825385      0.100131        3.412401       
35              374.359000      675.007696      192.171313      0.100130        3.512531       
36              374.356000      712.491962      197.220819      0.100130        3.612661       
37              374.480000      749.988645      202.001310      0.100130        3.712791       
38              374.544000      787.491735      206.532403      0.100130        3.812921       
39              374.574000      824.997830      210.832373      0.100130        3.913051       
40              374.604000      862.507678      214.918601      0.100132        4.013183       
41              374.574000      900.013772      218.805078      0.100130        4.113313       
42              374.566000      937.516444      222.506392      0.100123        4.213436       
43              374.534000      975.038758      226.037240      0.100184        4.313620       
44              374.545000      1012.541949     229.406276      0.100130        4.413750       
45              374.604000      1050.051797     232.627215      0.100132        4.513882       
46              374.604000      1087.561644     235.708354      0.100132        4.614014       
