#timestep       power           acc-energy      avg-power       dt              acc-time       
1               135.948000      13.613833       135.948000      0.100140        0.100140       
2               135.948000      28.174951       135.948000      0.107108        0.207248       
3               135.878000      41.782318       135.925195      0.100144        0.307392       
4               137.595000      55.560118       136.335483      0.100133        0.407525       
5               135.847000      69.160848       136.239144      0.100118        0.507643       
6               135.883000      82.766133       136.180472      0.100125        0.607768       
7               135.747000      96.360109       136.119152      0.100142        0.707910       
8               135.800000      109.956812      136.079606      0.100123        0.808033       
9               137.302000      123.706784      136.214399      0.100144        0.908177       
10              135.600000      137.285632      136.153381      0.100139        1.008316       
11              135.476000      150.855450      136.092172      0.100164        1.108480       
12              118.848000      162.758434      134.663239      0.100153        1.208633       
13              118.733000      174.648001      133.444380      0.100137        1.308770       
14              130.825000      187.743191      133.258278      0.100097        1.408867       
15              145.446000      202.300154      134.066659      0.100085        1.508952       
16              155.481000      217.861625      135.398682      0.100086        1.609038       
17              172.343000      235.110919      137.562155      0.100087        1.709125       
18              185.558000      253.684903      140.217598      0.100098        1.809223       
19              191.422000      272.845480      142.901988      0.100096        1.909319       
20              212.163000      294.080875      146.351925      0.100090        2.009409       
21              225.371000      316.638033      150.101130      0.100089        2.109498       
22              238.715000      340.531017      154.115164      0.100090        2.209588       
23              251.884000      365.742087      158.351981      0.100090        2.309678       
24              251.873000      390.951299      162.236276      0.100087        2.409765       
25              251.719000      416.144092      165.804500      0.100083        2.509848       
26              251.239000      441.288845      169.080656      0.100083        2.609931       
27              251.201000      466.429795      172.113426      0.100083        2.710014       
28              251.317000      491.584616      174.934545      0.100092        2.810106       
29              251.272000      516.737948      177.560364      0.100104        2.910210       
30              251.382000      541.898521      180.014849      0.100089        3.010299       
31              251.240000      567.043123      182.306644      0.100082        3.110381       
32              251.352000      592.198934      184.459043      0.100082        3.210463       
33              251.103000      617.344890      186.474947      0.100142        3.310605       
34              251.207000      642.493977      188.374992      0.100113        3.410718       
35              251.245000      667.646867      190.167760      0.100113        3.510831       
36              251.245000      692.791718      191.860593      0.100081        3.610912       
37              251.138000      717.925860      193.459233      0.100081        3.710993       
38              251.245000      743.070962      194.976736      0.100082        3.811075       
39              251.138000      768.207114      196.413936      0.100089        3.911164       
40              251.278000      793.357026      197.782893      0.100088        4.011252       
41              251.240000      818.501628      199.084197      0.100082        4.111334       
42              251.352000      843.657187      200.326301      0.100081        4.211415       
43              251.278000      868.810366      201.509253      0.100101        4.311516       
44              251.322000      893.962672      202.639288      0.100080        4.411596       
45              251.240000      919.106018      203.717339      0.100077        4.511673       
46              251.322000      944.257821      204.750391      0.100078        4.611751       
47              251.277000      969.405623      205.738623      0.100080        4.711831       
48              251.277000      994.552923      206.685730      0.100078        4.811909       
49              251.277000      1019.700473     207.594252      0.100079        4.911988       
50              251.244000      1044.844722     208.465833      0.100079        5.012067       
51              251.210000      1069.988079     209.302705      0.100089        5.112156       
52              251.210000      1095.130181     210.107397      0.100084        5.212240       
53              251.326000      1120.282385     210.883909      0.100078        5.312318       
54              251.206000      1145.422327     211.629478      0.100077        5.412395       
55              251.320000      1170.574182     212.350059      0.100079        5.512474       
56              251.241000      1195.726421     213.043759      0.100112        5.612586       
57              251.396000      1220.886132     213.715651      0.100080        5.712666       
58              251.241000      1246.030080     214.361731      0.100079        5.812745       
59              251.430000      1271.195206     214.989195      0.100088        5.912833       
60              251.241000      1296.341164     215.592618      0.100087        6.012920       
61              251.490000      1321.510032     216.180312      0.100079        6.112999       
62              251.306000      1346.661239     216.746126      0.100082        6.213081       
63              251.490000      1371.830610     217.296912      0.100081        6.313162       
64              251.424000      1396.995386     217.829520      0.100089        6.413251       
65              251.457000      1422.164220     218.346281      0.100092        6.513343       
66              251.419000      1447.328245     218.846805      0.100088        6.613431       
67              251.516000      1472.502230     219.333856      0.100089        6.713520       
68              251.331000      1497.657447     219.803876      0.100088        6.813608       
69              251.453000      1522.825127     220.262058      0.100089        6.913697       
70              251.391000      1547.986601     220.706278      0.100089        7.013786       
71              251.524000      1573.161889     221.139878      0.100091        7.113877       
72              251.524000      1598.337429     221.561450      0.100092        7.213969       
73              251.556000      1623.522713     221.972026      0.100118        7.314087       
74              251.485000      1648.709690     222.370693      0.100153        7.414240       
75              251.610000      1673.894593     222.760177      0.100095        7.514335       
76              251.455000      1699.063730     223.137379      0.100094        7.614429       
77              251.626000      1724.250234     223.507015      0.100095        7.714524       
78              251.579000      1749.433544     223.866602      0.100101        7.814625       
79              251.794000      1774.638627     224.219815      0.100102        7.914727       
80              251.660000      1799.829541     224.562522      0.100099        8.014826       
81              251.660000      1825.020456     224.896774      0.100099        8.114925       
82              251.660000      1850.211370     225.222881      0.100099        8.215024       
83              251.734000      1875.410447     225.542036      0.100102        8.315126       
84              251.627000      1900.597303     225.852307      0.100096        8.415222       
85              251.734000      1925.794366     226.156536      0.100094        8.515316       
86              251.580000      1950.982304     226.451979      0.100119        8.615435       
87              251.705000      1976.177471     226.742010      0.100098        8.715533       
88              251.528000      2001.355424     227.023451      0.100100        8.815633       
89              251.528000      2026.539162     227.298634      0.100123        8.915756       
90              251.561000      2051.733248     227.568147      0.100151        9.015907       
91              251.645000      2076.939269     227.832697      0.100165        9.116072       
92              251.490000      2102.127501     228.089789      0.100156        9.216228       
93              251.594000      2127.327660     228.342487      0.100162        9.316390       
94              251.627000      2152.529865     228.590147      0.100157        9.416547       
95              251.734000      2177.744298     228.833735      0.100163        9.516710       
96              251.627000      2202.948768     229.071142      0.100166        9.616876       
97              251.693000      2228.154060     229.304281      0.100143        9.717019       
98              251.726000      2253.363412     229.533008      0.100146        9.817165       
99              251.794000      2278.584610     229.757846      0.100166        9.917331       
100             251.610000      2303.786370     229.976339      0.100162        10.017493      
101             251.794000      2329.016381     230.192412      0.100201        10.117694      
102             251.670000      2354.226920     230.402972      0.100173        10.217867      
103             251.854000      2379.453624     230.611211      0.100164        10.318031      
104             251.758000      2404.668698     230.814507      0.100156        10.418187      
105             251.791000      2429.890603     231.014274      0.100170        10.518357      
106             251.824000      2455.119338     231.210610      0.100184        10.618541      
107             251.791000      2480.344768     231.402967      0.100184        10.718725      
108             251.791000      2505.560378     231.591689      0.100145        10.818870      
109             251.883000      2530.785201     231.777793      0.100145        10.919015      
110             251.759000      2555.994836     231.959368      0.100134        11.019149      
111             251.857000      2581.217056     232.138574      0.100145        11.119294      
112             251.824000      2606.435970     232.314287      0.100145        11.219439      
113             251.883000      2631.658022     232.487394      0.100134        11.319573      
114             251.699000      2656.864167     232.655868      0.100144        11.419717      
115             251.759000      2682.076572     232.821936      0.100145        11.519862      
116             251.792000      2707.289512     232.985408      0.100134        11.619996      
117             251.914000      2732.515173     233.147133      0.100136        11.720132      
118             251.729000      2757.724070     233.304561      0.100143        11.820275      
119             251.857000      2782.943771     233.460407      0.100135        11.920410      
120             251.789000      2808.156410     233.613089      0.100134        12.020544      
121             251.973000      2833.389994     233.764783      0.100144        12.120688      
122             251.788000      2858.605304     233.912476      0.100145        12.220833      
123             251.890000      2883.830576     234.058596      0.100144        12.320977      
124             251.819000      2909.048990     234.201789      0.100145        12.421122      
125             252.003000      2934.285578     234.344161      0.100144        12.521266      
126             251.819000      2959.503992     234.482816      0.100145        12.621411      
127             251.890000      2984.729516     234.619846      0.100145        12.721556      
128             251.819000      3009.947678     234.754181      0.100144        12.821700      
129             251.956000      3035.187622     234.887537      0.100176        12.921876      
130             251.890000      3060.409871     235.018276      0.100132        13.022008      
131             252.003000      3085.644696     235.147889      0.100137        13.122145      
132             251.923000      3110.870250     235.274927      0.100132        13.222277      
133             252.021000      3136.106120     235.400793      0.100134        13.322411      
134             251.988000      3161.338687     235.524536      0.100134        13.422545      
135             251.955000      3186.572232     235.646223      0.100151        13.522696      
136             251.878000      3211.793028     235.765530      0.100131        13.622827      
137             252.092000      3237.038529     235.884673      0.100144        13.722971      
138             251.988000      3262.270592     236.001323      0.100132        13.823103      
139             252.092000      3287.514328     236.117048      0.100137        13.923240      
140             252.054000      3312.756276     236.230858      0.100145        14.023385      
141             252.054000      3337.997972     236.343054      0.100144        14.123529      
142             252.054000      3363.237651     236.453660      0.100136        14.223665      
143             252.152000      3388.488909     236.563413      0.100143        14.323808      
144             251.939000      3413.719592     236.670166      0.100146        14.423954      
145             252.153000      3438.967924     236.776907      0.100131        14.524085      
146             252.153000      3464.216508     236.882187      0.100132        14.624217      
147             252.242000      3489.475770     236.986648      0.100139        14.724356      
148             252.088000      3514.718602     237.088653      0.100135        14.824491      
149             252.186000      3539.970743     237.189945      0.100133        14.924624      
150             252.057000      3565.211227     237.289032      0.100138        15.024762      
151             252.212000      3590.465971     237.387828      0.100133        15.124895      
152             252.028000      3615.702542     237.484115      0.100134        15.225029      
153             252.028000      3640.941634     237.579154      0.100144        15.325173      
154             252.120000      3666.192461     237.673565      0.100154        15.425327      
155             252.120000      3691.437741     237.766738      0.100132        15.525459      
156             252.087000      3716.679716     237.858505      0.100132        15.625591      
157             252.028000      3741.915784     237.948728      0.100132        15.725723      
158             252.120000      3767.161064     238.038391      0.100132        15.825855      
159             252.058000      3792.411730     238.126577      0.100178        15.926033      
160             252.242000      3817.670740     238.214776      0.100138        16.026171      
161             252.088000      3842.917857     238.300935      0.100152        16.126323      
162             252.302000      3868.187164     238.387355      0.100155        16.226478      
163             252.117000      3893.437942     238.471578      0.100155        16.326633      
164             252.331000      3918.710910     238.556083      0.100158        16.426791      
165             252.284000      3943.979171     238.639278      0.100158        16.526949      
166             252.426000      3969.261402     238.722325      0.100157        16.627106      
167             252.242000      3994.524952     238.803275      0.100156        16.727262      
168             252.290000      4019.790534     238.883539      0.100145        16.827407      
169             252.290000      4045.055611     238.962851      0.100143        16.927550      
170             252.290000      4070.319932     239.041228      0.100140        17.027690      
171             252.257000      4095.592299     239.118530      0.100185        17.127875      
172             252.257000      4120.853315     239.194899      0.100140        17.228015      
173             252.182000      4146.106569     239.269952      0.100139        17.328154      
174             252.396000      4171.380747     239.345369      0.100137        17.428291      
175             252.258000      4196.640854     239.419136      0.100136        17.528427      
176             252.219000      4221.896551     239.491842      0.100134        17.628561      
177             252.219000      4247.153005     239.563729      0.100137        17.728698      
178             252.331000      4272.421936     239.635441      0.100142        17.828840      
179             252.177000      4297.676959     239.705496      0.100148        17.928988      
180             252.361000      4322.946623     239.775784      0.100133        18.029121      
181             252.207000      4348.200614     239.844444      0.100132        18.129253      
182             252.391000      4373.473029     239.913361      0.100132        18.229385      
183             252.284000      4398.734731     239.980941      0.100132        18.329517      
184             252.302000      4423.998235     240.047883      0.100132        18.429649      
185             252.148000      4449.246066     240.113270      0.100131        18.529780      
186             252.361000      4474.515225     240.179098      0.100131        18.629911      
187             252.284000      4499.776927     240.243812      0.100132        18.730043      
188             252.284000      4525.038376     240.307837      0.100131        18.830174      
189             252.177000      4550.294407     240.370631      0.100152        18.930326      
190             252.361000      4575.563819     240.433720      0.100132        19.030458      
191             252.219000      4600.819264     240.495407      0.100133        19.130591      
192             252.251000      4626.077409     240.556616      0.100131        19.230722      
193             252.177000      4651.328648     240.616809      0.100133        19.330855      
194             252.349000      4676.596858     240.677268      0.100132        19.430987      
195             252.349000      4701.864816     240.737106      0.100131        19.531118      
196             252.450000      4727.143392     240.796849      0.100133        19.631251      
197             252.266000      4752.403291     240.855053      0.100132        19.731383      
