#timestep       power           acc-energy      avg-power       dt              acc-time       
1               60.148000       6.019431        60.148000       0.100077        0.100077       
2               58.999000       12.194031       59.560651       0.104656        0.204733       
3               58.999000       18.258302       59.372923       0.102786        0.307519       
4               58.999000       24.313782       59.279353       0.102637        0.410156       
5               59.271000       30.399492       59.277681       0.102676        0.512832       
6               148.117000      45.630955       74.116412       0.102834        0.615666       
7               149.590000      61.435887       85.171354       0.105655        0.721321       
8               149.862000      76.826864       93.233996       0.102701        0.824022       
9               274.881000      105.026081      113.344551      0.102587        0.926609       
10              274.881000      133.226123      129.446417      0.102590        1.029199       
11              264.907000      161.466533      142.160561      0.106605        1.135804       
12              260.818000      188.213680      151.986854      0.102551        1.238355       
13              262.235000      215.107977      160.419041      0.102558        1.340913       
14              263.428000      242.312977      167.785159      0.103273        1.444186       
15              263.428000      269.375989      174.136988      0.102734        1.546920       
16              263.706000      296.747617      179.769032      0.103796        1.650716       
17              264.574000      323.897672      184.732442      0.102618        1.753334       
18              262.235000      351.133924      189.066702      0.103862        1.857196       
19              264.032000      378.216742      192.990372      0.102574        1.959770       
20              264.574000      405.353039      196.550435      0.102566        2.062336       
21              265.774000      432.634474      199.832550      0.102649        2.164985       
22              264.303000      460.296690      202.805499      0.104661        2.269646       
23              265.503000      488.281769      205.587995      0.105404        2.375050       
24              263.428000      515.345835      207.986250      0.102738        2.477788       
25              264.303000      542.470194      210.226031      0.102626        2.580414       
26              263.706000      569.754536      212.287713      0.103465        2.683879       
27              264.032000      597.090825      214.209672      0.103534        2.787413       
28              264.907000      624.821819      216.044708      0.104682        2.892095       
29              263.706000      651.854321      217.676228      0.102510        2.994605       
30              264.907000      679.031395      219.240692      0.102591        3.097196       
31              265.774000      706.621660      220.749802      0.103811        3.201007       
32              266.045000      733.908565      222.156068      0.102565        3.303572       
33              265.774000      761.180699      223.470092      0.102614        3.406186       
34              262.831000      788.294870      224.627159      0.103162        3.509348       
35              263.706000      815.341876      225.736854      0.102565        3.611913       
36              264.574000      842.540877      226.811653      0.102803        3.714716       
37              264.907000      869.708414      227.835125      0.102555        3.817271       
38              264.303000      896.819559      228.789430      0.102576        3.919847       
39              265.774000      924.080795      229.732548      0.102573        4.022420       
40              264.303000      951.227092      230.593296      0.102709        4.125129       
41              265.178000      978.780412      231.443023      0.103905        4.229034       
