#timestep       power           acc-energy      avg-power       dt              acc-time       
1               138.571000      13.871234       138.571000      0.100102        0.100102       
2               80.168000       22.119720       108.968431      0.102890        0.202992       
3               80.085000       30.327551       99.278028       0.102489        0.305481       
4               80.085000       38.527374       94.459937       0.102389        0.407870       
5               80.168000       46.731287       91.593336       0.102334        0.510204       
6               79.627000       54.885888       89.592937       0.102410        0.612614       
7               80.168000       63.236106       88.223337       0.104159        0.716773       
8               79.376000       71.425328       87.110114       0.103170        0.819943       
9               79.294000       79.590390       86.238050       0.102972        0.922915       
10              79.376000       87.714047       85.553063       0.102344        1.025259       
11              65.313000       94.395306       83.716808       0.102296        1.127555       
12              129.346000      107.690005      87.528726       0.102784        1.230339       
13              177.379000      125.903990      94.449976       0.102684        1.333023       
14              182.933000      144.686453      100.777847      0.102674        1.435697       
15              258.746000      171.678060      111.478246      0.104317        1.540014       
16              271.657000      199.579950      121.493294      0.102710        1.642724       
17              271.657000      227.750781      130.409787      0.103700        1.746424       
18              274.868000      259.480993      139.366394      0.115438        1.861862       
19              276.322000      287.962055      146.550497      0.103072        1.964934       
20              275.457000      316.618397      153.032190      0.104032        2.068966       
21              277.196000      345.054549      158.897741      0.102585        2.171551       
22              275.457000      373.719155      164.227905      0.104062        2.275613       
23              276.322000      402.063713      169.062835      0.102578        2.378191       
24              278.069000      430.589700      173.570498      0.102586        2.480777       
25              277.196000      459.039434      177.687342      0.102634        2.583411       
26              277.791000      487.538568      181.510806      0.102592        2.686003       
27              276.655000      515.960996      185.015879      0.102736        2.788739       
28              278.069000      544.666059      188.337447      0.103230        2.891969       
29              277.791000      573.187972      191.404442      0.102674        2.994643       
30              278.069000      602.104924      194.312955      0.103992        3.098635       
31              279.267000      631.001239      197.058137      0.103472        3.202107       
32              278.393000      659.975547      199.618517      0.104077        3.306184       
33              278.069000      688.655862      201.991849      0.103141        3.409325       
34              278.393000      717.224551      204.224312      0.102620        3.511945       
35              278.664000      746.130647      206.359930      0.103731        3.615676       
36              280.132000      774.854542      208.394339      0.102537        3.718213       
37              278.989000      803.691124      210.303693      0.103361        3.821574       
38              278.664000      832.323850      212.093561      0.102750        3.924324       
39              277.520000      860.994441      213.771768      0.103310        4.027634       
40              279.862000      889.719477      215.414153      0.102640        4.130274       
41              278.393000      918.277031      216.940398      0.102580        4.232854       
42              279.827000      946.980565      218.428291      0.102576        4.335430       
43              278.664000      975.915363      219.837199      0.103834        4.439264       
44              280.152000      1004.664561     221.199960      0.102620        4.541884       
45              277.791000      1033.175085     222.450490      0.102633        4.644517       
46              278.989000      1061.789870     223.672068      0.102566        4.747083       
47              280.403000      1090.545198     224.871696      0.102550        4.849633       
48              278.989000      1119.214666     225.994628      0.102762        4.952395       
49              279.862000      1147.936903     227.088274      0.102630        5.055025       
50              278.989000      1176.554199     228.120482      0.102575        5.157600       
51              279.537000      1205.557002     229.134407      0.103753        5.261353       
52              279.267000      1234.510846     230.103208      0.103678        5.365031       
53              279.862000      1266.959445     231.155810      0.115945        5.480976       
54              280.735000      1295.807493     232.068229      0.102759        5.583735       
55              280.132000      1324.547916     232.935423      0.102596        5.686331       
56              279.537000      1353.282922     233.762907      0.102795        5.789126       
57              278.989000      1381.953226     234.551730      0.102765        5.891891       
58              280.735000      1410.768148     235.342500      0.102641        5.994532       
59              280.132000      1439.505209     236.096084      0.102584        6.097116       
60              279.267000      1468.164985     236.810697      0.102625        6.199741       
61              281.026000      1497.059516     237.532011      0.102818        6.302559       
62              279.827000      1526.155088     238.218452      0.103977        6.406536       
63              281.026000      1554.991728     238.893282      0.102612        6.509148       
64              278.664000      1584.240301     239.524408      0.104960        6.614108       
65              279.862000      1612.944347     240.140371      0.102565        6.716673       
66              281.892000      1642.171473     240.775073      0.103682        6.820355       
67              280.152000      1671.124622     241.362840      0.103348        6.923703       
68              281.026000      1702.169003     241.985730      0.110468        7.034171       
69              280.152000      1731.505960     242.545578      0.104718        7.138889       
70              280.735000      1760.314143     243.086748      0.102617        7.241506       
71              279.862000      1789.017909     243.600335      0.102564        7.344070       
72              280.403000      1817.778284     244.107245      0.102568        7.446638       
73              281.330000      1846.631770     244.612941      0.102561        7.549199       
74              281.296000      1875.503711     245.104994      0.102639        7.651838       
75              280.132000      1904.233768     245.568259      0.102559        7.754397       
76              280.132000      1932.963826     246.019429      0.102559        7.856956       
77              282.203000      1961.929142     246.486020      0.102640        7.959596       
78              280.403000      1991.407349     246.928146      0.105128        8.064724       
79              281.309000      2020.261775     247.359931      0.102572        8.167296       
80              280.112000      2049.011631     247.766412      0.102637        8.269933       
81              281.911000      2077.927806     248.184720      0.102572        8.372505       
82              279.862000      2106.631852     248.568077      0.102565        8.475070       
83              280.154000      2135.387139     248.946034      0.102641        8.577711       
84              282.181000      2164.415945     249.339900      0.102873        8.680584       
85              281.330000      2193.317538     249.714064      0.102732        8.783316       
86              281.579000      2222.271180     250.082790      0.102826        8.886142       
87              280.444000      2251.415482     250.433755      0.103922        8.990064       
88              281.309000      2280.864314     250.789144      0.104685        9.094749       
89              281.018000      2309.688331     251.126261      0.102570        9.197319       
90              281.330000      2338.820333     251.462533      0.103551        9.300870       
91              282.452000      2368.088292     251.803983      0.103621        9.404491       
92              281.309000      2396.944969     252.122338      0.102580        9.507071       
93              281.039000      2425.787159     252.431154      0.102627        9.609698       
94              281.006000      2455.118003     252.738192      0.104378        9.714076       
95              281.601000      2484.390145     253.043779      0.103949        9.818025       
96              282.744000      2513.439547     253.351359      0.102741        9.920766       
97              281.871000      2542.370222     253.643395      0.102638        10.023404      
98              281.601000      2571.249813     253.926548      0.102555        10.125959      
99              280.403000      2600.007945     254.192024      0.102560        10.228519      
100             282.474000      2628.979608     254.472799      0.102564        10.331083      
101             280.735000      2657.764491     254.730885      0.102534        10.433617      
102             281.006000      2686.585028     254.986654      0.102562        10.536179      
103             282.474000      2715.932664     255.255054      0.103895        10.640074      
104             281.601000      2744.933906     255.507616      0.102987        10.743061      
105             282.744000      2774.079723     255.766471      0.103082        10.846143      
106             280.735000      2802.917103     256.000723      0.102721        10.948864      
107             281.579000      2831.974367     256.239550      0.103194        11.052058      
108             283.347000      2861.048319     256.488905      0.102609        11.154667      
109             281.911000      2889.986765     256.720718      0.102651        11.257318      
110             282.452000      2918.980463     256.953229      0.102650        11.359968      
111             281.309000      2948.614397     257.177010      0.105343        11.465311      
112             282.181000      2977.765669     257.400294      0.103307        11.568618      
113             281.579000      3006.967383     257.615118      0.103707        11.672325      
114             282.159000      3035.906456     257.828903      0.102563        11.774888      
115             283.084000      3065.298219     258.049648      0.103827        11.878715      
116             281.889000      3094.525598     258.255930      0.103684        11.982399      
117             281.330000      3123.611181     258.453314      0.103386        12.085785      
118             283.378000      3152.998330     258.665362      0.103703        12.189488      
119             283.648000      3182.096076     258.873856      0.102584        12.292072      
120             281.579000      3211.358329     259.064205      0.103922        12.395994      
121             283.054000      3240.554500     259.262177      0.103147        12.499141      
122             282.203000      3269.522638     259.449045      0.102650        12.601791      
123             282.744000      3298.613885     259.637699      0.102889        12.704680      
124             281.006000      3327.539800     259.809440      0.102937        12.807617      
125             281.871000      3356.503455     259.985030      0.102755        12.910372      
126             283.942000      3386.104124     260.176929      0.104249        13.014621      
127             282.203000      3415.414574     260.351316      0.103863        13.118484      
128             283.069000      3444.561623     260.528240      0.102968        13.221452      
129             281.871000      3473.476232     260.692557      0.102581        13.324033      
130             283.069000      3502.503260     260.863455      0.102544        13.426577      
131             282.474000      3531.474923     261.027283      0.102564        13.529141      
132             282.776000      3560.499900     261.191044      0.102643        13.631784      
133             283.672000      3589.596704     261.358938      0.102572        13.734356      
134             283.054000      3618.636347     261.519796      0.102594        13.836950      
135             282.474000      3647.805459     261.675016      0.103263        13.940213      
136             281.911000      3677.119411     261.824843      0.103983        14.044196      
137             283.378000      3706.189743     261.981135      0.102585        14.146781      
138             284.521000      3735.769684     262.145571      0.103964        14.250745      
139             282.159000      3764.711861     262.288594      0.102574        14.353319      
140             283.054000      3793.725179     262.435834      0.102501        14.455820      
141             281.911000      3822.642764     262.573054      0.102577        14.558397      
142             284.243000      3852.061346     262.726022      0.103498        14.661895      
143             282.181000      3881.102850     262.861633      0.102918        14.764813      
144             282.483000      3910.705374     262.999915      0.104794        14.869607      
145             283.624000      3939.853412     263.141478      0.102770        14.972377      
146             283.347000      3969.414438     263.281296      0.104328        15.076705      
147             283.948000      3998.645181     263.421452      0.102944        15.179649      
148             282.474000      4027.644527     263.549441      0.102662        15.282311      
149             283.069000      4056.692784     263.679639      0.102619        15.384930      
150             284.537000      4086.401293     263.820233      0.104410        15.489340      
151             283.347000      4115.482895     263.948771      0.102636        15.591976      
152             283.942000      4144.623011     264.079506      0.102627        15.694603      
153             283.069000      4173.682308     264.202909      0.102658        15.797261      
154             283.347000      4203.248151     264.328531      0.104345        15.901606      
155             283.672000      4232.360274     264.452569      0.102626        16.004232      
156             284.213000      4261.891994     264.580036      0.103907        16.108139      
157             283.672000      4290.971494     264.700767      0.102511        16.210650      
158             283.054000      4320.184932     264.816877      0.103208        16.313858      
159             282.203000      4349.122309     264.925475      0.102541        16.416399      
160             284.243000      4378.278819     265.045429      0.102576        16.518975      
161             283.054000      4407.328934     265.156624      0.102631        16.621606      
162             282.483000      4436.417904     265.263305      0.102976        16.724582      
163             284.243000      4465.576403     265.379011      0.102583        16.827165      
164             283.347000      4494.689741     265.488059      0.102748        16.929913      
165             284.213000      4523.865342     265.600913      0.102654        17.032567      
166             282.776000      4553.188082     265.704844      0.103696        17.136263      
167             283.347000      4582.555582     265.810907      0.103645        17.239908      
168             284.820000      4611.770994     265.923339      0.102575        17.342483      
169             283.378000      4640.945892     266.026348      0.102954        17.445437      
170             283.918000      4670.069917     266.130936      0.102579        17.548016      
171             283.084000      4699.127640     266.229526      0.102647        17.650663      
172             284.243000      4728.283297     266.333602      0.102573        17.753236      
173             283.084000      4757.318091     266.429819      0.102566        17.855802      
174             283.948000      4786.496304     266.530058      0.102759        17.958561      
175             284.815000      4815.730000     266.633970      0.102641        18.061202      
176             284.496000      4845.369362     266.736413      0.104182        18.165384      
177             283.347000      4874.773130     266.830765      0.103773        18.269157      
178             282.744000      4903.972386     266.920213      0.103271        18.372428      
179             285.086000      4933.213372     267.021065      0.102569        18.474997      
180             285.086000      4962.548721     267.121124      0.102900        18.577897      
181             283.069000      4991.676805     267.208971      0.102901        18.680798      
182             284.815000      5020.977433     267.305397      0.102876        18.783674      
183             283.347000      5051.621694     267.397231      0.108151        18.891825      
184             284.537000      5081.140985     267.490840      0.103745        18.995570      
185             282.452000      5110.241732     267.571550      0.103029        19.098599      
186             283.672000      5139.450303     267.657886      0.102966        19.201565      
187             285.410000      5168.885778     267.752726      0.103134        19.304699      
188             283.672000      5198.004709     267.836927      0.102650        19.407349      
189             284.213000      5227.345154     267.923575      0.103234        19.510583      
190             283.347000      5256.846677     268.005445      0.104118        19.614701      
191             284.243000      5286.004608     268.089923      0.102581        19.717282      
192             283.672000      5315.128645     268.170638      0.102668        19.819950      
193             283.948000      5344.668891     268.253021      0.104034        19.923984      
194             284.537000      5373.878606     268.336493      0.102657        20.026641      
195             283.354000      5403.667045     268.414914      0.105128        20.131769      
196             283.354000      5432.716497     268.490605      0.102520        20.234289      
197             284.815000      5462.437797     268.574362      0.104353        20.338642      
198             285.413000      5491.738296     268.658929      0.102660        20.441302      
199             283.624000      5520.831595     268.733650      0.102577        20.543879      
200             284.537000      5550.053829     268.812260      0.102701        20.646580      
201             283.378000      5579.120477     268.884265      0.102572        20.749152      
202             285.413000      5608.699539     268.966411      0.103636        20.852788      
203             283.054000      5637.782771     269.035484      0.102748        20.955536      
204             283.942000      5667.007786     269.108342      0.102926        21.058462      
205             284.815000      5696.890575     269.186209      0.104920        21.163382      
206             283.942000      5726.017630     269.257387      0.102581        21.265963      
207             284.815000      5755.503672     269.332758      0.103527        21.369490      
208             283.378000      5784.839813     269.400471      0.103523        21.473013      
209             283.918000      5813.957023     269.469477      0.102555        21.575568      
210             285.681000      5843.279893     269.546235      0.102642        21.678210      
211             284.537000      5872.809996     269.617661      0.103783        21.781993      
212             285.086000      5902.303853     269.690782      0.103456        21.885449      
213             284.213000      5931.669593     269.759020      0.103323        21.988772      
214             284.213000      5961.004354     269.826549      0.103214        22.091986      
215             284.213000      5990.194734     269.893123      0.102706        22.194692      
216             284.537000      6019.411847     269.960560      0.102683        22.297375      
217             285.410000      6048.690632     270.031314      0.102585        22.399960      
218             285.086000      6077.942736     270.099961      0.102608        22.502568      
219             283.942000      6107.083136     270.162804      0.102628        22.605196      
220             282.776000      6136.124796     270.219850      0.102702        22.707898      
221             285.385000      6165.483207     270.288243      0.102873        22.810771      
222             283.648000      6195.630735     270.350203      0.106285        22.917056      
223             283.354000      6224.714756     270.408185      0.102642        23.019698      
224             284.815000      6253.954149     270.472150      0.102661        23.122359      
225             283.948000      6283.254175     270.532021      0.103188        23.225547      
226             285.090000      6312.757284     270.596600      0.103487        23.329034      
227             283.347000      6341.823019     270.652419      0.102580        23.431614      
228             283.948000      6370.952393     270.710376      0.102587        23.534201      
229             285.691000      6400.272289     270.775420      0.102628        23.636829      
230             283.918000      6429.781306     270.832957      0.103935        23.740764      
231             284.820000      6458.990167     270.893116      0.102552        23.843316      
232             284.243000      6488.647513     270.951280      0.104338        23.947654      
233             285.115000      6517.908295     271.011720      0.102628        24.050282      
234             283.624000      6547.054915     271.065382      0.102765        24.153047      
235             285.410000      6576.331132     271.126045      0.102576        24.255623      
236             284.791000      6605.525342     271.183554      0.102511        24.358134      
237             284.213000      6634.677638     271.238191      0.102572        24.460706      
238             283.347000      6663.727506     271.288731      0.102524        24.563230      
239             285.086000      6693.204543     271.346566      0.103397        24.666627      
240             285.410000      6722.479617     271.404805      0.102572        24.769199      
241             283.672000      6752.174118     271.456430      0.104679        24.873878      
242             285.086000      6781.457582     271.512482      0.102718        24.976596      
243             283.942000      6810.609339     271.563366      0.102668        25.079264      
244             285.086000      6840.125718     271.618962      0.103535        25.182799      
245             283.069000      6869.392222     271.665779      0.103390        25.286189      
246             283.942000      6898.520129     271.715381      0.102584        25.388773      
