#timestep       power           acc-energy      avg-power       dt              acc-time       
1               119.839000      12.003554       119.839000      0.100164        0.100164       
2               119.839000      25.101117       119.839000      0.109293        0.209457       
3               119.811000      37.097673       119.829944      0.100129        0.309586       
4               119.708000      49.084753       119.800141      0.100136        0.409722       
5               119.561000      61.056994       119.753174      0.100135        0.509857       
6               119.360000      73.008750       119.688633      0.100132        0.609989       
7               119.160000      84.940717       119.614091      0.100134        0.710123       
8               119.024000      96.859066       119.541166      0.100134        0.810257       
9               118.934000      108.768284      119.474384      0.100133        0.910390       
10              118.922000      120.676301      119.419648      0.100133        1.010523       
11              118.992000      132.591327      119.381093      0.100133        1.110656       
12              119.090000      144.516166      119.357019      0.100133        1.210789       
13              119.257000      156.457727      119.349379      0.100133        1.310922       
14              148.888000      171.366180      121.445515      0.100132        1.411054       
15              173.304000      188.719803      124.881751      0.100134        1.511188       
16              200.959000      208.842833      129.609540      0.100135        1.611323       
17              229.013000      231.774362      135.425332      0.100132        1.711455       
18              257.486000      257.557208      142.172066      0.100133        1.811588       
19              285.957000      286.190654      149.703228      0.100132        1.911720       
20              314.462000      317.678363      157.903446      0.100132        2.011852       
21              342.917000      352.015328      166.675187      0.100132        2.111984       
22              371.386000      389.202951      175.941475      0.100132        2.212116       
23              399.727000      429.228015      185.632424      0.100131        2.312247       
24              428.150000      472.099959      195.698837      0.100133        2.412380       
25              429.765000      515.133188      205.027155      0.100132        2.512512       
26              431.994000      558.389612      213.725870      0.100132        2.612644       
27              432.139000      601.644997      221.784984      0.100096        2.712740       
28              432.808000      644.980764      229.296573      0.100127        2.812867       
29              433.109000      688.349267      236.302529      0.100133        2.913000       
30              433.429000      731.749380      242.853410      0.100132        3.013132       
31              433.561000      775.163143      248.987203      0.100133        3.113265       
32              433.743000      818.594697      254.744340      0.100132        3.213397       
33              433.984000      862.050383      260.160808      0.100132        3.313529       
34              434.078000      905.515482      265.262275      0.100132        3.413661       
35              434.365000      949.010186      270.081262      0.100134        3.513795       
