#timestep       power           acc-energy      avg-power       dt              acc-time       
1               170.978000      17.113017       170.978000      0.100089        0.100089       
2               76.162000       24.955190       122.898066      0.102967        0.203056       
3               75.094000       32.644665       106.872606      0.102398        0.305454       
4               74.087000       40.225988       98.645331       0.102330        0.407784       
5               74.240000       47.981692       93.668140       0.104468        0.512252       
6               74.420000       55.653055       90.443653       0.103082        0.615334       
7               74.420000       63.275597       88.157041       0.102426        0.717760       
8               74.087000       70.897668       86.393142       0.102880        0.820640       
9               74.087000       78.508551       85.024028       0.102729        0.923369       
10              73.892000       86.077531       83.912422       0.102433        1.025802       
11              74.087000       93.672930       83.019679       0.102520        1.128322       
12              74.163000       101.271226      82.282419       0.102454        1.230776       
13              164.800000      118.180530      88.632229       0.102605        1.333381       
14              166.614000      135.595692      94.300869       0.104524        1.437905       
15              166.992000      152.717548      99.139171       0.102531        1.540436       
16              167.164000      169.862557      103.385610      0.102564        1.643000       
17              167.164000      187.194120      107.171388      0.103680        1.746680       
18              167.490000      204.375747      110.517405      0.102583        1.849263       
19              167.490000      221.555531      113.511404      0.102572        1.951835       
20              167.490000      238.734646      116.206336      0.102568        2.054403       
21              167.761000      255.964371      118.660953      0.102704        2.157107       
22              167.761000      273.174805      120.890069      0.102589        2.259696       
23              167.761000      290.970724      122.991715      0.106079        2.365775       
24              167.761000      308.175621      124.851821      0.102556        2.468331       
25              167.761000      325.367433      126.562274      0.102478        2.570809       
26              167.761000      342.585247      128.143886      0.102633        2.673442       
27              167.740000      359.774739      129.605633      0.102477        2.775919       
28              167.740000      376.995599      130.965687      0.102664        2.878583       
29              167.740000      394.188278      132.230068      0.102496        2.981079       
30              167.740000      411.391021      133.411062      0.102556        3.083635       
31              168.087000      428.795590      134.537613      0.103545        3.187180       
32              168.018000      446.023987      135.581181      0.102539        3.289719       
33              167.913000      463.286619      136.560963      0.102807        3.392526       
34              168.018000      480.551645      137.485761      0.102757        3.495283       
35              168.192000      497.812517      138.361620      0.102626        3.597909       
36              167.913000      515.042070      139.181036      0.102610        3.700519       
37              168.087000      532.282081      139.960606      0.102566        3.803085       
38              166.442000      549.357532      140.656197      0.102591        3.905676       
39              166.442000      566.429821      141.316062      0.102572        4.008248       
40              166.541000      583.820865      141.956549      0.104425        4.112673       
41              166.541000      600.922294      142.555425      0.102686        4.215359       
42              166.713000      618.015045      143.129045      0.102528        4.317887       
43              166.819000      635.115327      143.678410      0.102508        4.420395       
44              166.614000      652.200759      144.198411      0.102545        4.522940       
45              166.713000      669.666447      144.708111      0.104765        4.627705       
46              166.713000      686.873062      145.188175      0.103211        4.730916       
47              166.885000      704.017492      145.649309      0.102732        4.833648       
48              166.885000      721.369360      146.096484      0.103975        4.937623       
49              166.885000      738.479078      146.519353      0.102524        5.040147       
50              167.164000      755.798773      146.935191      0.103609        5.143756       
51              167.164000      772.960497      147.331037      0.102664        5.246420       
52              167.490000      790.154016      147.717907      0.102654        5.349074       
53              167.490000      807.349712      148.090254      0.102667        5.451741       
54              167.490000      824.527654      148.448474      0.102561        5.554302       
55              167.761000      844.310199      148.849966      0.117921        5.672223       
56              167.490000      861.719779      149.185399      0.103944        5.776167       
57              167.144000      879.193681      149.504657      0.104544        5.880711       
58              167.415000      896.663437      149.816925      0.104350        5.985061       
59              167.317000      913.816608      150.111638      0.102519        6.087580       
60              167.415000      931.004604      150.398620      0.102667        6.190247       
61              167.317000      948.157943      150.674249      0.102520        6.292767       
62              167.144000      965.283517      150.938116      0.102460        6.395227       
63              167.415000      982.576817      151.200021      0.103296        6.498523       
64              167.317000      1000.435564     151.460460      0.106736        6.605259       
65              167.317000      1017.806081     151.705828      0.103818        6.709077       
66              167.317000      1034.960423     151.940802      0.102526        6.811603       
67              167.317000      1052.229211     152.170306      0.103210        6.914813       
68              167.317000      1069.419025     152.392056      0.102738        7.017551       
69              167.415000      1086.823823     152.611365      0.103962        7.121513       
70              167.588000      1104.025726     152.824160      0.102644        7.224157       
71              167.415000      1121.192962     153.028370      0.102543        7.326700       
72              167.415000      1138.354339     153.226877      0.102508        7.429208       
73              167.588000      1155.794049     153.425258      0.104063        7.533271       
74              167.317000      1172.952742     153.611830      0.102552        7.635823       
75              166.713000      1190.059996     153.785557      0.102615        7.738438       
76              166.885000      1207.380991     153.958925      0.103790        7.842228       
77              166.885000      1224.500888     154.125829      0.102585        7.944813       
78              166.885000      1241.619284     154.288464      0.102576        8.047389       
79              166.885000      1258.757706     154.447187      0.102696        8.150085       
80              166.885000      1275.934345     154.602302      0.102925        8.253010       
81              167.164000      1293.353669     154.758932      0.104205        8.357215       
82              166.885000      1310.538318     154.906524      0.102973        8.460188       
83              166.885000      1327.651207     155.049973      0.102543        8.562731       
84              166.819000      1344.766669     155.189320      0.102599        8.665330       
85              166.819000      1361.874792     155.325348      0.102555        8.767885       
86              167.144000      1379.045161     155.462217      0.102728        8.870613       
87              167.317000      1396.419358     155.599384      0.103840        8.974453       
88              167.415000      1413.617231     155.733101      0.102726        9.077179       
89              166.992000      1431.328570     155.863134      0.106061        9.183240       
90              167.144000      1448.474870     155.987758      0.102584        9.285824       
91              167.317000      1465.759051     156.112406      0.103302        9.389126       
92              167.588000      1482.946206     156.236398      0.102556        9.491682       
93              167.490000      1500.566489     156.359761      0.105202        9.596884       
94              167.317000      1517.902203     156.476794      0.103610        9.700494       
95              167.490000      1535.352651     156.593824      0.104188        9.804682       
96              167.144000      1552.498283     156.703061      0.102580        9.907262       
97              167.317000      1569.662999     156.811840      0.102588        10.009850      
98              167.415000      1586.837937     156.919408      0.102589        10.112439      
99              167.415000      1604.033801     157.024941      0.102714        10.215153      
100             167.415000      1621.202042     157.128210      0.102549        10.317702      
101             167.415000      1638.367604     157.229429      0.102533        10.420235      
102             167.588000      1655.560624     157.330419      0.102591        10.522826      
103             167.490000      1672.740241     157.428493      0.102571        10.625397      
104             167.490000      1690.020352     157.525250      0.103171        10.728568      
105             167.490000      1707.259930     157.619942      0.102929        10.831497      
106             167.490000      1724.676713     157.713798      0.103987        10.935484      
107             167.490000      1742.008913     157.805442      0.103482        11.038966      
108             167.490000      1759.208126     157.894701      0.102688        11.141654      
109             167.415000      1776.381557     157.981554      0.102580        11.244234      
110             167.415000      1793.554987     158.066836      0.102580        11.346814      
111             167.144000      1810.717835     158.148243      0.102683        11.449497      
112             167.144000      1827.860625     158.228110      0.102563        11.552060      
113             166.992000      1844.988827     158.305239      0.102569        11.654629      
114             167.144000      1862.209507     158.382690      0.103029        11.757658      
115             167.164000      1879.597906     158.459697      0.104020        11.861678      
116             167.144000      1896.742869     158.534153      0.102576        11.964254      
117             166.992000      1913.872073     158.606049      0.102575        12.066829      
118             167.317000      1931.054358     158.679557      0.102693        12.169522      
119             167.164000      1948.201372     158.750474      0.102576        12.272098      
120             166.992000      1965.367816     158.818936      0.102798        12.374896      
121             167.317000      1982.544077     158.888852      0.102657        12.477553      
122             167.144000      2000.007282     158.957402      0.104480        12.582033      
123             167.317000      2017.449076     159.026094      0.104244        12.686277      
124             167.144000      2034.592534     159.091200      0.102567        12.788844      
125             167.490000      2051.774831     159.158035      0.102587        12.891431      
126             167.415000      2068.968017     159.223294      0.102698        12.994129      
127             167.490000      2086.158855     159.288079      0.102638        13.096767      
128             167.144000      2103.329558     159.349221      0.102730        13.199497      
129             167.490000      2120.511185     159.412001      0.102583        13.302080      
130             167.490000      2138.027122     159.475013      0.104579        13.406659      
131             167.490000      2155.202384     159.535853      0.102545        13.509204      
132             167.490000      2172.569924     159.596442      0.103693        13.612897      
133             167.490000      2189.958736     159.656187      0.103820        13.716717      
134             167.490000      2207.301823     159.714881      0.103547        13.820264      
135             167.490000      2224.482110     159.772164      0.102575        13.922839      
136             167.415000      2241.655541     159.828062      0.102580        14.025419      
137             167.588000      2258.945259     159.884726      0.103168        14.128587      
138             167.415000      2276.141961     159.939078      0.102719        14.231306      
139             167.317000      2293.294798     159.991846      0.102517        14.333823      
140             167.415000      2310.575039     160.044918      0.103218        14.437041      
141             167.490000      2327.749464     160.097424      0.102540        14.539581      
142             167.415000      2344.917872     160.148675      0.102550        14.642131      
143             167.317000      2362.075896     160.198530      0.102548        14.744679      
144             167.415000      2379.472993     160.249033      0.103916        14.848595      
145             167.588000      2396.684951     160.299446      0.102704        14.951299      
146             167.317000      2413.840632     160.347244      0.102534        15.053833      
147             167.490000      2431.084063     160.395761      0.102952        15.156785      
148             166.992000      2448.571131     160.441021      0.104718        15.261503      
149             167.317000      2465.727983     160.486912      0.102541        15.364044      
150             167.144000      2482.886986     160.531099      0.102660        15.466704      
151             167.144000      2500.023258     160.574645      0.102524        15.569228      
152             167.144000      2517.169725     160.617647      0.102585        15.671813      
153             167.415000      2534.348848     160.661864      0.102614        15.774427      
154             166.992000      2551.476549     160.702757      0.102566        15.876993      
155             167.144000      2568.877911     160.744719      0.104110        15.981103      
156             167.317000      2586.044301     160.786644      0.102598        16.083701      
157             167.164000      2603.210873     160.827104      0.102693        16.186394      
158             167.164000      2620.357052     160.867007      0.102571        16.288965      
159             166.885000      2637.570739     160.904875      0.103147        16.392112      
160             167.490000      2654.757056     160.945840      0.102611        16.494723      
161             167.490000      2672.383703     160.987329      0.105240        16.599963      
162             167.490000      2690.344158     161.029065      0.107233        16.707196      
163             167.317000      2707.566264     161.067567      0.102931        16.810127      
164             167.588000      2724.754425     161.107109      0.102562        16.912689      
165             167.490000      2741.931194     161.145580      0.102554        17.015243      
166             167.415000      2759.115005     161.183172      0.102642        17.117885      
167             167.317000      2776.306157     161.219769      0.102746        17.220631      
168             167.415000      2793.733389     161.256993      0.104096        17.324727      
169             167.761000      2810.936776     161.295265      0.102547        17.427274      
170             167.588000      2828.315149     161.332487      0.103697        17.530971      
171             167.490000      2845.488904     161.368292      0.102536        17.633507      
172             167.415000      2862.670036     161.403280      0.102626        17.736133      
173             167.588000      2880.070698     161.439275      0.103830        17.839963      
174             167.740000      2897.279647     161.475302      0.102593        17.942556      
175             167.588000      2914.471998     161.510053      0.102587        18.045143      
176             167.415000      2931.666355     161.543471      0.102705        18.147848      
177             167.415000      2948.953628     161.576690      0.103260        18.251108      
178             167.740000      2966.434484     161.611683      0.104214        18.355322      
179             167.588000      2983.626332     161.644898      0.102584        18.457906      
180             167.415000      3000.794573     161.676779      0.102549        18.560455      
181             167.588000      3017.981895     161.709262      0.102557        18.663012      
182             167.588000      3035.294238     161.741623      0.103303        18.766315      
183             167.588000      3052.475528     161.773388      0.102521        18.868836      
184             167.490000      3069.650455     161.804287      0.102543        18.971379      
185             167.164000      3086.802317     161.833119      0.102605        19.073984      
186             167.164000      3103.968221     161.861665      0.102689        19.176673      
187             167.490000      3121.413812     161.892070      0.104159        19.280832      
188             167.164000      3138.555979     161.919961      0.102547        19.383379      
189             167.490000      3155.732246     161.949275      0.102551        19.485930      
190             167.490000      3172.973499     161.978392      0.102939        19.588869      
191             167.490000      3190.383414     162.007484      0.103946        19.692815      
192             167.317000      3207.736697     162.035301      0.103715        19.796530      
193             167.490000      3224.915811     162.063417      0.102568        19.899098      
194             167.164000      3242.061990     162.089573      0.102571        20.001669      
195             167.317000      3259.492071     162.116658      0.104174        20.105843      
196             167.490000      3276.689777     162.143960      0.102679        20.208522      
197             167.588000      3293.868385     162.171434      0.102505        20.311027      
198             167.317000      3311.035444     162.197297      0.102602        20.413629      
199             167.588000      3328.366724     162.224469      0.103416        20.517045      
200             167.761000      3345.569105     162.252002      0.102541        20.619586      
201             167.490000      3362.947030     162.278227      0.103755        20.723341      
202             167.415000      3380.112257     162.303516      0.102531        20.825872      
203             167.588000      3397.787093     162.330143      0.105466        20.931338      
204             167.415000      3415.007567     162.355009      0.102861        21.034199      
205             167.761000      3432.429044     162.381568      0.103847        21.138046      
206             167.740000      3449.640510     162.407453      0.102608        21.240654      
207             167.761000      3466.853627     162.433189      0.102605        21.343259      
208             167.740000      3484.055700     162.458566      0.102552        21.445811      
209             167.588000      3501.248218     162.482986      0.102588        21.548399      
210             167.740000      3518.456832     162.507896      0.102591        21.650990      
211             167.588000      3536.005474     162.532347      0.104713        21.755703      
212             167.740000      3553.213921     162.556789      0.102590        21.858293      
213             167.588000      3570.406271     162.580291      0.102587        21.960880      
214             167.415000      3587.578530     162.602768      0.102573        22.063453      
215             167.761000      3604.805404     162.626664      0.102687        22.166140      
216             167.761000      3622.012314     162.650312      0.102568        22.268708      
217             167.761000      3639.233987     162.673764      0.102656        22.371364      
218             167.761000      3656.505150     162.697068      0.102951        22.474315      
219             167.761000      3673.756684     162.720133      0.102834        22.577149      
220             167.588000      3691.214662     162.742490      0.104172        22.681321      
221             167.588000      3708.398800     162.764297      0.102538        22.783859      
222             167.490000      3725.569707     162.785466      0.102519        22.886378      
223             167.144000      3742.707817     162.804906      0.102535        22.988913      
224             167.490000      3759.890281     162.825720      0.102588        23.091501      
225             167.144000      3777.054633     162.844839      0.102692        23.194193      
226             167.761000      3794.465037     162.866738      0.103781        23.297974      
227             167.490000      3811.648674     162.887008      0.102595        23.400569      
228             167.490000      3828.822429     162.907089      0.102536        23.503105      
229             167.490000      3846.076076     162.927088      0.103013        23.606118      
230             167.490000      3863.263062     162.946837      0.102615        23.708733      
231             167.490000      3880.442009     162.966407      0.102567        23.811300      
232             167.490000      3897.621626     162.985810      0.102571        23.913871      
233             167.588000      3914.811965     163.005466      0.102575        24.016446      
234             167.588000      3932.003980     163.024957      0.102585        24.119031      
235             167.740000      3949.229536     163.044947      0.102692        24.221723      
236             167.740000      3966.429931     163.064739      0.102542        24.324265      
237             167.740000      3983.649784     163.084388      0.102658        24.426923      
238             167.740000      4001.114034     163.104147      0.104115        24.531038      
239             167.913000      4018.332505     163.124165      0.102544        24.633582      
240             167.740000      4035.633041     163.143411      0.103139        24.736721      
241             167.761000      4052.835421     163.162473      0.102541        24.839262      
242             167.913000      4070.101747     163.182058      0.102829        24.942091      
243             167.761000      4087.313019     163.200816      0.102594        25.044685      
244             167.740000      4104.539414     163.219353      0.102697        25.147382      
245             167.588000      4121.732099     163.237102      0.102589        25.249971      
