#timestep       power           acc-energy      avg-power       dt              acc-time       
1               175.132000      17.528086       175.132000      0.100085        0.100085       
2               81.126000       25.867109       127.502065      0.102791        0.202876       
3               79.980000       34.160875       111.427828      0.103698        0.306574       
4               79.980000       42.346988       103.556604      0.102352        0.408926       
5               79.709000       50.521066       98.775240       0.102549        0.511475       
6               79.709000       58.681913       95.595256       0.102383        0.613858       
7               79.709000       66.846266       93.323560       0.102427        0.716285       
8               79.709000       75.042504       91.614460       0.102827        0.819112       
9               79.709000       83.204147       90.291585       0.102393        0.921505       
10              79.709000       91.428442       89.225988       0.103179        1.024684       
11              79.709000       99.623484       88.358171       0.102812        1.127496       
12              79.709000       107.787838      87.637875       0.102427        1.229923       
13              152.492000      123.421470      92.627885       0.102521        1.332444       
14              153.208000      139.137700      96.958380       0.102581        1.435025       
15              153.532000      154.880411      100.731164      0.102537        1.537562       
16              153.643000      170.778313      104.067441      0.103473        1.641035       
17              153.962000      186.598832      107.007567      0.102756        1.743791       
18              154.073000      202.498857      109.637284      0.103198        1.846989       
19              153.914000      218.453429      111.990184      0.103659        1.950648       
20              154.565000      234.312416      114.117710      0.102604        2.053252       
21              154.676000      250.168717      116.046377      0.102513        2.155765       
22              154.405000      265.998317      117.787754      0.102520        2.258285       
23              154.405000      281.827918      119.377889      0.102520        2.360805       
24              154.676000      297.943920      120.869891      0.104192        2.464997       
25              154.565000      313.805998      122.216635      0.102624        2.567621       
26              154.516000      329.669075      123.458432      0.102663        2.670284       
27              154.676000      345.851123      124.635392      0.104619        2.774903       
28              154.836000      361.725065      125.711423      0.102521        2.877424       
29              154.836000      377.598387      126.713377      0.102517        2.979941       
30              154.676000      393.457781      127.643504      0.102533        3.082474       
31              154.676000      409.315010      128.513629      0.102519        3.184993       
32              154.836000      425.193442      129.334716      0.102550        3.287543       
33              154.836000      441.372100      130.120264      0.104489        3.392032       
34              154.836000      457.303177      130.847892      0.102890        3.494922       
35              154.836000      473.483539      131.544325      0.104500        3.599422       
36              154.836000      489.466485      132.193667      0.103225        3.702647       
37              154.836000      505.508578      132.809996      0.103607        3.806254       
38              154.836000      521.510105      133.392224      0.103345        3.909599       
39              154.836000      537.388691      133.940329      0.102551        4.012150       
40              154.836000      553.554963      134.470310      0.104409        4.116559       
41              154.836000      569.490065      134.967043      0.102916        4.219475       
42              155.107000      585.654851      135.452491      0.104217        4.323692       
43              154.946000      601.667281      135.907536      0.103342        4.427034       
44              154.946000      617.645932      136.340925      0.103124        4.530158       
45              155.107000      633.699506      136.760095      0.103500        4.633658       
46              155.271000      649.656086      137.161725      0.102766        4.736424       
47              154.836000      665.650025      137.538954      0.103296        4.839720       
48              154.786000      681.520079      137.896751      0.102529        4.942249       
49              154.946000      697.780422      138.251242      0.104942        5.047191       
50              154.233000      713.669814      138.570932      0.103022        5.150213       
51              154.073000      729.634397      138.876666      0.103617        5.253830       
52              154.073000      745.531495      139.169356      0.103179        5.357009       
53              154.246000      761.355129      139.452650      0.102587        5.459596       
54              154.405000      777.201405      139.728534      0.102628        5.562224       
55              154.233000      793.020776      139.991155      0.102568        5.664792       
56              154.073000      808.901234      140.242796      0.103071        5.767863       
57              154.405000      825.043041      140.494915      0.104542        5.872405       
58              154.233000      840.859019      140.730697      0.102546        5.974951       
59              154.405000      856.883324      140.964156      0.103781        6.078732       
60              154.233000      872.695137      141.184226      0.102519        6.181251       
61              154.233000      888.509109      141.397144      0.102533        6.283784       
62              154.233000      904.447547      141.604820      0.103340        6.387124       
63              154.233000      920.266146      141.804396      0.102563        6.489687       
64              154.233000      936.093537      141.997868      0.102620        6.592307       
65              154.233000      952.176800      142.188393      0.104279        6.696586       
66              154.233000      968.014524      142.370298      0.102687        6.799273       
67              153.962000      983.803019      142.542529      0.102548        6.901821       
68              154.836000      999.680057      142.722500      0.102541        7.004362       
69              154.836000      1015.553380     142.897238      0.102517        7.106879       
70              154.836000      1031.582777     143.068651      0.103525        7.210404       
71              154.836000      1047.448202     143.233532      0.102466        7.312870       
72              154.786000      1063.307111     143.393152      0.102457        7.415327       
73              154.836000      1079.180588     143.549194      0.102518        7.517845       
74              154.946000      1095.261814     143.704387      0.103786        7.621631       
75              154.676000      1111.129870     143.850107      0.102589        7.724220       
76              154.946000      1127.047318     143.995741      0.102729        7.826949       
77              154.946000      1142.936875     144.137356      0.102549        7.929498       
78              154.946000      1159.138339     144.278029      0.104562        8.034060       
79              154.946000      1175.021853     144.412431      0.102510        8.136570       
80              154.836000      1190.938220     144.542476      0.102795        8.239365       
81              154.516000      1206.782136     144.665071      0.102539        8.341904       
82              154.676000      1222.867202     144.788333      0.103992        8.445896       
83              154.676000      1238.830075     144.907694      0.103202        8.549098       
84              154.676000      1254.829606     145.024472      0.103439        8.652537       
85              154.676000      1270.822486     145.138443      0.103396        8.755933       
86              154.676000      1286.684355     145.248854      0.102549        8.858482       
