#timestep       power           acc-energy      avg-power       dt              acc-time       
1               126.650000      12.680451       126.650000      0.100122        0.100122       
2               126.650000      26.357765       126.650000      0.107993        0.208115       
3               126.670000      39.041485       126.656497      0.100132        0.308247       
4               126.009000      51.659144       126.497733      0.100133        0.408380       
5               126.702000      64.345942       126.537956      0.100131        0.508511       
6               125.998000      76.962248       126.449125      0.100131        0.608642       
7               125.998000      89.574522       126.385410      0.100099        0.708741       
8               125.905000      102.183152      126.325933      0.100144        0.808885       
9               126.456000      114.845950      126.340261      0.100136        0.909021       
10              126.243000      127.489692      126.330608      0.100154        1.009175       
11              125.610000      140.067147      126.265563      0.100131        1.109306       
12              119.367000      152.019603      125.694416      0.100132        1.209438       
13              119.223000      163.959906      125.199513      0.100151        1.309589       
14              150.031000      178.982660      126.963269      0.100131        1.409720       
15              175.524000      196.558053      130.183742      0.100131        1.509851       
16              212.797000      217.865630      135.321780      0.100131        1.609982       
17              244.201000      242.317964      141.696965      0.100132        1.710114       
18              276.088000      269.962656      149.130535      0.100130        1.810244       
19              290.422000      299.043191      156.536300      0.100132        1.910376       
20              339.376000      333.025928      165.642595      0.100133        2.010509       
21              371.570000      370.231233      175.411917      0.100130        2.110639       
22              403.847000      410.680144      185.761044      0.100159        2.210798       
23              436.450000      454.382756      196.623332      0.100132        2.310930       
24              438.184000      498.258120      206.655214      0.100130        2.411060       
25              439.594000      542.275546      215.943483      0.100132        2.511192       
26              440.135000      586.366950      224.543889      0.100177        2.611369       
27              441.767000      630.615658      232.568031      0.100163        2.711532       
28              442.170000      674.891024      240.032601      0.100132        2.811664       
29              442.864000      719.235440      247.007581      0.100131        2.911795       
30              443.963000      763.689899      253.555333      0.100131        3.011926       
31              444.839000      808.232517      259.709979      0.100132        3.112058       
32              445.386000      852.829463      265.497909      0.100131        3.212189       
33              445.903000      897.478176      270.951531      0.100131        3.312320       
34              446.056000      942.142210      276.089594      0.100131        3.412451       
35              446.297000      986.830375      280.941591      0.100131        3.512582       
36              446.643000      1031.553185     285.534219      0.100131        3.612713       
37              446.667000      1076.278398     289.879779      0.100131        3.712844       
38              446.778000      1121.014726     294.000020      0.100131        3.812975       
39              446.842000      1165.757909     297.911074      0.100132        3.913107       
40              447.042000      1210.521119     301.631953      0.100132        4.013239       
41              446.907000      1255.268576     305.168219      0.100127        4.113366       
42              446.739000      1299.998765     308.532392      0.100126        4.213492       
43              446.706000      1344.750666     311.741375      0.100182        4.313674       
44              446.683000      1389.477928     314.802673      0.100132        4.413806       
45              446.647000      1434.196672     317.727042      0.100121        4.513927       
46              446.600000      1478.915623     320.523778      0.100132        4.614059       
47              446.819000      1523.656503     323.206358      0.100132        4.714191       
48              447.006000      1568.416555     325.781263      0.100133        4.814324       
49              446.831000      1613.158637     328.247651      0.100132        4.914456       
50              447.127000      1657.927675     330.621311      0.100126        5.014582       
51              447.398000      1702.726084     332.907454      0.100131        5.114713       
52              447.463000      1747.531449     335.107074      0.100132        5.214845       
53              447.528000      1792.338400     337.224810      0.100121        5.314966       
54              447.552000      1837.152677     339.264899      0.100132        5.415098       
55              447.522000      1881.963502     341.230346      0.100131        5.515229       
56              447.582000      1926.780783     343.126788      0.100132        5.615361       
57              447.430000      1971.588213     344.954333      0.100144        5.715505       
58              447.341000      2016.391651     346.717595      0.100155        5.815660       
59              447.365000      2061.172887     348.420640      0.100100        5.915760       
60              447.370000      2105.968493     350.067595      0.100131        6.015891       
61              447.357000      2150.765033     351.660487      0.100136        6.116027       
62              447.272000      2195.551273     353.200630      0.100132        6.216159       
63              447.427000      2240.353034     354.694398      0.100132        6.316291       
64              447.627000      2285.174820     356.144665      0.100132        6.416423       
65              447.730000      2330.006473     357.551932      0.100131        6.516554       
66              447.672000      2374.832766     358.915742      0.100132        6.616686       
67              447.824000      2419.674278     360.241156      0.100132        6.716818       
68              448.083000      2464.541725     361.531436      0.100132        6.816950       
69              448.023000      2509.400476     362.783418      0.100126        6.917076       
70              448.251000      2554.284745     364.002997      0.100132        7.017208       
71              417.262000      2596.066024     364.752284      0.100132        7.117340       
72              390.598000      2635.188710     365.110959      0.100161        7.217501       
73              361.015000      2671.337864     365.054911      0.100132        7.317633       
74              319.514000      2703.331440     364.440157      0.100132        7.417765       
75              301.453000      2733.516532     363.601221      0.100132        7.517897       
76              254.211000      2758.970934     362.163402      0.100131        7.618028       
77              221.419000      2781.142061     360.337446      0.100132        7.718160       
78              188.812000      2800.047995     358.140672      0.100131        7.818291       
79              156.254000      2815.695427     355.587499      0.100141        7.918432       
80              123.618000      2828.073545     352.690774      0.100132        8.018564       
81              121.942000      2840.283841     349.844832      0.100132        8.118696       
82              121.761000      2852.476013     347.066031      0.100132        8.218828       
