#timestep       power           acc-energy      avg-power       dt              acc-time       
1               75.443000       3.777959        75.443000       0.050077        0.050077       
2               74.768000       7.726158        75.096548       0.052806        0.102883       
3               74.768000       11.639440       74.985765       0.052339        0.155222       
4               75.443000       15.591522       75.101138       0.052385        0.207607       
5               75.443000       19.541567       75.169991       0.052358        0.259965       
6               75.443000       23.490932       75.215752       0.052349        0.312314       
7               75.443000       27.445805       75.248413       0.052422        0.364736       
8               75.171000       31.527966       75.238381       0.054305        0.419041       
9               74.497000       35.430790       75.155993       0.052389        0.471430       
10              74.497000       39.335699       75.090053       0.052417        0.523847       
11              248.164000      52.504273       91.009312       0.053064        0.576911       
12              248.164000      65.536854       104.121453      0.052516        0.629427       
13              238.515000      78.082982       114.486475      0.052601        0.682028       
14              238.515000      90.632448       123.369376      0.052615        0.734643       
15              249.094000      103.761944      131.785966      0.052709        0.787352       
16              249.094000      119.633466      140.568469      0.063717        0.851069       
17              249.969000      132.828580      146.957679      0.052787        0.903856       
18              249.969000      146.181674      152.706039      0.053419        0.957275       
19              250.240000      159.363066      157.793025      0.052675        1.009950       
20              250.240000      174.293385      162.949798      0.059664        1.069614       
21              253.453000      188.057911      167.322920      0.054308        1.123922       
22              252.857000      201.352626      171.145454      0.052578        1.176500       
23              252.857000      214.668581      174.646289      0.052662        1.229162       
24              254.057000      228.047985      177.908829      0.052663        1.281825       
25              254.057000      241.400713      180.908115      0.052558        1.334383       
26              245.547000      254.748894      183.438340      0.054361        1.388744       
27              245.547000      267.782037      185.724755      0.053078        1.441822       
28              253.779000      281.196034      188.131387      0.052857        1.494679       
29              253.779000      294.592773      190.370834      0.052789        1.547468       
30              254.328000      307.994333      192.476970      0.052694        1.600162       
31              254.328000      321.507797      194.464752      0.053134        1.653296       
32              254.057000      335.191561      196.344895      0.053861        1.707157       
33              254.057000      348.808508      198.101671      0.053598        1.760755       
34              254.654000      362.223172      199.744447      0.052678        1.813433       
35              254.654000      376.140777      201.350889      0.054653        1.868086       
36              254.654000      389.559260      202.813161      0.052693        1.920779       
37              254.654000      402.977234      204.197294      0.052691        1.973470       
38              253.779000      416.431074      205.494380      0.053014        2.026484       
39              253.779000      429.796091      206.717411      0.052664        2.079148       
40              254.328000      443.184680      207.893119      0.052643        2.131791       
41              254.654000      456.592977      209.020225      0.052653        2.184444       
42              254.654000      469.976573      210.092344      0.052556        2.237000       
43              254.057000      483.593266      211.121060      0.053597        2.290597       
44              254.057000      496.944977      212.084060      0.052554        2.343151       
45              254.925000      510.752990      213.052009      0.054165        2.397316       
46              254.925000      524.664502      213.983965      0.054571        2.451887       
47              254.057000      538.058387      214.827471      0.052720        2.504607       
48              254.057000      551.464975      215.636949      0.052770        2.557377       
49              254.925000      564.896463      216.430037      0.052688        2.610065       
50              254.925000      578.438079      217.197859      0.053120        2.663185       
51              254.057000      591.817991      217.912621      0.052665        2.715850       
52              254.057000      605.197395      218.600164      0.052663        2.768513       
53              254.925000      618.624550      219.278342      0.052671        2.821184       
54              254.925000      632.272724      219.942215      0.053538        2.874722       
55              254.328000      645.654446      220.560265      0.052616        2.927338       
56              254.328000      659.055243      221.157325      0.052691        2.980029       
57              255.196000      672.479573      221.747760      0.052604        3.032633       
58              255.196000      685.918705      222.318678      0.052662        3.085295       
59              254.654000      699.312487      222.860669      0.052596        3.137891       
60              255.196000      712.753915      223.394473      0.052671        3.190562       
61              255.196000      726.600595      223.926249      0.054259        3.244821       
62              254.925000      740.161331      224.426240      0.053195        3.298016       
63              254.925000      753.563248      224.904777      0.052572        3.350588       
64              255.196000      767.005952      225.373627      0.052676        3.403264       
65              255.196000      780.421861      225.827292      0.052571        3.455835       
66              254.654000      793.919542      226.262744      0.053004        3.508839       
67              254.654000      807.463824      226.686673      0.053187        3.562026       
68              255.196000      820.896321      227.101820      0.052636        3.614662       
69              255.196000      834.757547      227.517730      0.054316        3.668978       
70              254.925000      848.186996      227.905680      0.052680        3.721658       
71              254.925000      861.858878      228.289511      0.053631        3.775289       
72              255.196000      875.436581      228.663433      0.053205        3.828494       
73              255.196000      889.040825      229.027806      0.053309        3.881803       
74              254.925000      902.491433      229.375091      0.052763        3.934566       
75              254.925000      915.913234      229.712470      0.052650        3.987216       
76              255.529000      929.350227      230.048516      0.052585        4.039801       
77              255.529000      942.809961      230.376474      0.052674        4.092475       
78              254.925000      956.215702      230.687913      0.052587        4.145062       
79              255.529000      969.691790      230.999998      0.052738        4.197800       
80              255.529000      989.458236      231.443827      0.077355        4.275155       
81              253.182000      1003.083479     231.714068      0.053816        4.328971       
82              253.182000      1016.516556     231.973998      0.053057        4.382028       
83              255.529000      1029.981657     232.253888      0.052695        4.434723       
84              255.529000      1043.516006     232.528592      0.052966        4.487689       
85              255.196000      1056.981933     232.792022      0.052767        4.540456       
86              255.196000      1070.436632     233.049187      0.052723        4.593179       
87              255.529000      1083.878224     233.303720      0.052603        4.645782       
88              235.572000      1096.275671     233.329127      0.052627        4.698409       
89              235.572000      1109.025064     233.354669      0.054121        4.752530       
90              255.529000      1122.489142     233.597818      0.052691        4.805221       
91              255.529000      1136.167354     233.839435      0.053529        4.858750       
92              254.925000      1149.968229     234.071785      0.054137        4.912887       
93              254.925000      1163.385696     234.292823      0.052633        4.965520       
94              255.529000      1176.827544     234.515437      0.052604        5.018124       
95              255.529000      1190.447240     234.736287      0.053300        5.071424       
96              255.800000      1203.940690     234.953124      0.052750        5.124174       
97              255.800000      1217.389375     235.164845      0.052575        5.176749       
98              255.529000      1230.869551     235.370274      0.052754        5.229503       
99              255.529000      1244.331330     235.571327      0.052682        5.282185       
100             255.196000      1257.921283     235.767201      0.053253        5.335438       
101             255.196000      1271.586773     235.960260      0.053549        5.388987       
102             255.800000      1285.136499     236.153373      0.052970        5.441957       
103             255.800000      1298.591068     236.341445      0.052598        5.494555       
104             255.529000      1312.082232     236.524063      0.052797        5.547352       
105             255.529000      1325.541967     236.702824      0.052674        5.600026       
106             255.800000      1339.003698     236.880618      0.052626        5.652652       
107             255.800000      1352.454941     237.054997      0.052585        5.705237       
108             255.800000      1366.239747     237.230397      0.053889        5.759126       
109             255.800000      1379.741127     237.399037      0.052781        5.811907       
110             255.800000      1393.434868     237.566980      0.053533        5.865440       
111             255.529000      1406.896647     237.726875      0.052682        5.918122       
112             255.529000      1420.345138     237.883794      0.052630        5.970752       
113             255.800000      1433.802009     238.040271      0.052607        6.023359       
114             255.800000      1447.836220     238.200576      0.054864        6.078223       
115             255.800000      1461.436083     238.353183      0.053166        6.131389       
116             255.800000      1474.887837     238.501546      0.052587        6.183976       
117             255.800000      1488.360312     238.647630      0.052668        6.236644       
118             255.800000      1502.022334     238.793272      0.053409        6.290053       
119             255.800000      1515.480739     238.934344      0.052613        6.342666       
120             255.800000      1529.447675     239.078293      0.054601        6.397267       
121             256.125000      1543.209015     239.220272      0.053729        6.450996       
122             256.125000      1556.693740     239.357121      0.052649        6.503645       
123             255.800000      1570.191027     239.489450      0.052765        6.556410       
124             255.800000      1583.661455     239.619410      0.052660        6.609070       
125             256.396000      1604.054168     239.818905      0.079536        6.688606       
126             256.125000      1617.577312     239.946615      0.052799        6.741405       
127             256.125000      1631.065622     240.072019      0.052663        6.794068       
128             255.196000      1644.770668     240.190630      0.053704        6.847772       
129             255.196000      1658.441008     240.307101      0.053568        6.901340       
130             256.125000      1671.939051     240.426976      0.052701        6.954041       
131             256.125000      1685.759812     240.547850      0.053961        7.008002       
132             254.925000      1699.325391     240.656197      0.053214        7.061216       
133             254.925000      1712.753056     240.761847      0.052673        7.113889       
134             256.125000      1726.241367     240.874742      0.052663        7.166552       
135             255.196000      1739.665697     240.979097      0.052604        7.219156       
136             255.196000      1753.192616     241.082723      0.053006        7.272162       
137             256.125000      1766.708077     241.191088      0.052769        7.324931       
138             256.125000      1780.184862     241.297599      0.052618        7.377549       
139             255.196000      1793.611489     241.396014      0.052613        7.430162       
140             255.196000      1807.276469     241.494755      0.053547        7.483709       
141             256.125000      1820.908210     241.598068      0.053223        7.536932       
142             256.125000      1834.663403     241.700848      0.053705        7.590637       
143             255.529000      1848.712643     241.800289      0.054981        7.645618       
144             255.529000      1862.249803     241.894762      0.052977        7.698595       
145             256.125000      1875.955820     241.992993      0.053513        7.752108       
146             256.125000      1889.631102     242.089662      0.053393        7.805501       
147             251.107000      1902.971664     242.150623      0.053127        7.858628       
148             251.107000      1916.388562     242.211106      0.053431        7.912059       
149             256.125000      1929.999813     242.303938      0.053143        7.965202       
150             256.125000      1943.653068     242.395820      0.053307        8.018509       
151             255.800000      1957.841271     242.487904      0.055466        8.073975       
152             256.125000      1971.549593     242.577708      0.053522        8.127497       
153             256.125000      1985.299664     242.666605      0.053685        8.181182       
154             255.800000      1999.013869     242.752111      0.053613        8.234795       
155             255.800000      2012.459740     242.834869      0.052564        8.287359       
156             256.125000      2026.223898     242.920495      0.053740        8.341099       
157             256.125000      2039.946819     243.004773      0.053579        8.394678       
158             255.800000      2053.849805     243.087082      0.054351        8.449029       
159             255.800000      2067.308978     243.165761      0.052616        8.501645       
160             256.396000      2081.409219     243.250793      0.054994        8.556639       
161             256.396000      2095.205632     243.332941      0.053809        8.610448       
162             256.125000      2108.930602     243.412059      0.053587        8.664035       
163             256.125000      2122.482176     243.489224      0.052910        8.716945       
164             256.675000      2136.478150     243.571194      0.054528        8.771473       
165             256.675000      2150.304206     243.651174      0.053866        8.825339       
166             256.125000      2164.056582     243.726606      0.053694        8.879033       
167             256.396000      2179.259839     243.810654      0.059296        8.938329       
168             256.396000      2192.780626     243.884469      0.052734        8.991063       
169             256.396000      2206.263466     243.957220      0.052586        9.043649       
170             256.396000      2219.773740     244.029275      0.052693        9.096342       
171             256.675000      2233.291016     244.102065      0.052663        9.149005       
172             256.675000      2246.806494     244.174013      0.052656        9.201661       
173             256.125000      2260.314015     244.242118      0.052738        9.254399       
174             256.125000      2273.966758     244.310171      0.053305        9.307704       
175             256.675000      2287.837218     244.381545      0.054039        9.361743       
176             256.675000      2301.342173     244.450251      0.052615        9.414358       
177             256.396000      2314.829116     244.516626      0.052602        9.466960       
178             256.396000      2328.370414     244.582530      0.052814        9.519774       
179             256.675000      2342.164642     244.650413      0.053742        9.573516       
180             256.675000      2355.671137     244.716145      0.052621        9.626137       
181             256.125000      2369.299804     244.778864      0.053211        9.679348       
182             256.675000      2382.815540     244.843230      0.052657        9.732005       
183             256.675000      2396.713721     244.908696      0.054147        9.786152       
184             256.396000      2410.369116     244.970874      0.053259        9.839411       
185             256.396000      2423.847853     245.031592      0.052570        9.891981       
186             256.675000      2437.557635     245.094124      0.053413        9.945394       
187             256.675000      2451.070804     245.155106      0.052647        9.998041       
188             256.396000      2464.554157     245.213922      0.052588        10.050629      
189             256.396000      2478.042637     245.272148      0.052608        10.103237      
190             256.675000      2491.551186     245.331239      0.052629        10.155866      
191             256.675000      2505.069745     245.389764      0.052668        10.208534      
192             256.675000      2518.579064     245.447648      0.052632        10.261166      
193             256.675000      2532.172058     245.505295      0.052958        10.314124      
194             257.000000      2546.173418     245.565692      0.054480        10.368604      
195             257.000000      2559.795703     245.623848      0.053005        10.421609      
196             256.675000      2573.368164     245.679637      0.052878        10.474487      
197             256.675000      2586.928304     245.734816      0.052830        10.527317      
198             257.000000      2600.463209     245.790892      0.052665        10.579982      
199             257.000000      2614.008137     245.846453      0.052704        10.632686      
200             256.675000      2627.501028     245.899726      0.052568        10.685254      
201             256.675000      2641.009577     245.952538      0.052629        10.737883      
202             256.675000      2655.097954     246.007068      0.054888        10.792771      
203             256.675000      2668.621390     246.058893      0.052687        10.845458      
204             256.675000      2682.135842     246.110183      0.052652        10.898110      
205             256.125000      2696.005267     246.159699      0.054151        10.952261      
206             256.125000      2709.492554     246.207383      0.052659        11.004920      
207             257.000000      2723.024118     246.258773      0.052652        11.057572      
208             257.000000      2736.546944     246.309644      0.052618        11.110190      
209             256.396000      2750.041065     246.357199      0.052630        11.162820      
210             256.396000      2763.950292     246.405749      0.054249        11.217069      
211             256.675000      2777.484508     246.453797      0.052729        11.269798      
212             256.675000      2791.281302     246.502316      0.053752        11.323550      
213             256.675000      2804.798578     246.549408      0.052663        11.376213      
214             256.675000      2818.319190     246.596077      0.052676        11.428889      
215             257.000000      2831.977969     246.644234      0.053147        11.482036      
216             257.000000      2845.822302     246.692592      0.053869        11.535905      
217             256.675000      2859.341374     246.737962      0.052670        11.588575      
218             256.675000      2872.843763     246.782866      0.052605        11.641180      
219             257.000000      2886.614080     246.829677      0.053581        11.694761      
220             256.675000      2900.125708     246.873795      0.052641        11.747402      
221             256.675000      2913.630664     246.917497      0.052615        11.800017      
222             257.271000      2927.164919     246.963450      0.052607        11.852624      
223             257.271000      2940.689913     247.008966      0.052571        11.905195      
224             257.000000      2954.660690     247.054380      0.054361        11.959556      
225             257.000000      2968.169381     247.097900      0.052563        12.012119      
226             257.271000      2981.728334     247.142339      0.052703        12.064822      
227             257.271000      2995.266449     247.186325      0.052622        12.117444      
228             256.675000      3008.800408     247.227435      0.052728        12.170172      
229             256.675000      3022.363372     247.268278      0.052841        12.223013      
230             257.271000      3035.904831     247.311167      0.052635        12.275648      
231             257.271000      3049.444746     247.353685      0.052629        12.328277      
232             257.000000      3063.266977     247.395585      0.053783        12.382060      
233             257.000000      3077.051686     247.437010      0.053637        12.435697      
234             257.271000      3091.073213     247.479921      0.054501        12.490198      
235             257.271000      3105.139505     247.522594      0.054675        12.544873      
236             257.000000      3118.791345     247.562556      0.053120        12.597993      
237             257.000000      3132.324194     247.601838      0.052657        12.650650      
238             257.000000      3146.096310     247.641481      0.053588        12.704238      
239             257.271000      3159.853620     247.681843      0.053474        12.757712      
240             257.271000      3173.725157     247.722199      0.053918        12.811630      
241             257.000000      3188.023609     247.762315      0.055636        12.867266      
242             257.000000      3201.628418     247.800164      0.052937        12.920203      
243             257.271000      3215.278189     247.838896      0.053056        12.973259      
244             257.271000      3229.454592     247.878789      0.055103        13.028362      
245             256.396000      3242.955380     247.913074      0.052656        13.081018      
246             256.396000      3256.443605     247.947052      0.052607        13.133625      
247             257.000000      3270.540055     247.984703      0.054850        13.188475      
248             257.000000      3284.133299     248.020714      0.052892        13.241367      
249             256.675000      3297.713460     248.055156      0.052908        13.294275      
250             256.675000      3311.701734     248.090348      0.054498        13.348773      
251             257.271000      3325.426627     248.126892      0.053348        13.402121      
252             257.271000      3338.959596     248.162641      0.052602        13.454723      
253             257.271000      3352.498482     248.198128      0.052625        13.507348      
254             257.542000      3366.090262     248.234493      0.052775        13.560123      
255             257.542000      3379.676117     248.270561      0.052752        13.612875      
256             257.271000      3393.809300     248.306737      0.054935        13.667810      
257             257.271000      3407.363622     248.341158      0.052685        13.720495      
258             257.542000      3420.929132     248.376345      0.052673        13.773168      
259             257.542000      3434.463479     248.411184      0.052552        13.825720      
260             257.271000      3448.218988     248.445315      0.053467        13.879187      
261             257.271000      3461.900659     248.479003      0.053180        13.932367      
262             257.542000      3475.457413     248.513116      0.052639        13.985006      
263             257.542000      3489.033482     248.547021      0.052714        14.037720      
264             257.271000      3502.570567     248.579599      0.052618        14.090338      
265             257.271000      3516.100449     248.611917      0.052590        14.142928      
266             257.542000      3529.666216     248.645053      0.052674        14.195602      
267             257.542000      3543.220394     248.677916      0.052629        14.248231      
268             257.271000      3556.981563     248.710055      0.053489        14.301720      
269             257.271000      3570.797787     248.742081      0.053703        14.355423      
270             257.542000      3584.922678     248.775573      0.054845        14.410268      
271             257.271000      3598.471084     248.806506      0.052662        14.462930      
272             257.271000      3612.719009     248.838795      0.055381        14.518311      
273             257.542000      3626.291215     248.870272      0.052699        14.571010      
