#timestep       power           acc-energy      avg-power       dt              acc-time       
1               117.606000      5.890179        117.606000      0.050084        0.050084       
2               117.606000      12.103304       117.606000      0.052830        0.102914       
3               75.443000       16.055461       103.383521      0.052386        0.155300       
4               75.443000       20.005807       96.338315       0.052362        0.207662       
5               75.443000       24.212358       91.915413       0.055758        0.263420       
6               75.443000       28.163761       89.183399       0.052376        0.315796       
7               74.574000       32.066740       87.106399       0.052337        0.368133       
8               74.574000       36.157049       85.481296       0.054849        0.422982       
9               74.574000       40.147206       84.256489       0.053506        0.476488       
10              242.333000      52.826795       99.897308       0.052323        0.528811       
11              242.333000      65.646211       112.850214      0.052900        0.581711       
12              271.334000      79.937916       126.008918      0.052672        0.634383       
13              271.334000      94.231248       137.151211      0.052678        0.687061       
14              273.410000      108.631206      146.852707      0.052668        0.739729       
15              273.410000      124.818171      156.231088      0.059204        0.798933       
16              272.535000      140.544804      164.065572      0.057705        0.856638       
17              272.535000      154.945553      170.367566      0.052840        0.909478       
18              269.863000      169.139267      175.806921      0.052596        0.962074       
19              269.863000      183.375350      180.696168      0.052753        1.014827       
20              273.084000      198.221016      185.393630      0.054363        1.069190       
21              273.084000      213.184654      189.668593      0.054795        1.123985       
22              274.556000      227.649362      193.469329      0.052684        1.176669       
23              273.681000      242.319758      196.964217      0.053604        1.230273       
24              273.681000      256.916534      200.151864      0.053335        1.283608       
25              274.881000      271.398640      203.098153      0.052685        1.336293       
26              274.881000      285.948916      205.833259      0.052933        1.389226       
27              273.681000      300.351926      208.309672      0.052627        1.441853       
28              273.681000      314.971144      210.644996      0.053417        1.495270       
29              275.152000      329.440837      212.836602      0.052588        1.547858       
30              275.152000      343.942723      214.888588      0.052705        1.600563       
31              273.952000      358.687368      216.810094      0.053822        1.654385       
32              273.952000      373.116420      218.573168      0.052670        1.707055       
33              275.423000      387.659305      220.278866      0.052802        1.759857       
34              275.423000      402.723566      221.941044      0.054695        1.814552       
35              274.277000      417.402597      223.440435      0.053519        1.868071       
36              274.277000      431.828470      224.832555      0.052596        1.920667       
37              275.756000      446.334890      226.190137      0.052606        1.973273       
38              275.756000      460.911352      227.483266      0.052860        2.026133       
39              274.556000      475.376335      228.676265      0.052685        2.078818       
40              274.556000      489.993147      229.821894      0.053238        2.132056       
41              276.027000      504.586419      230.939926      0.052869        2.184925       
42              274.556000      519.235629      231.979644      0.053356        2.238281       
43              274.556000      533.665194      232.956423      0.052556        2.290837       
44              276.027000      548.191115      233.923620      0.052625        2.343462       
45              276.027000      562.793771      234.853109      0.052903        2.396365       
46              274.881000      577.286872      235.714846      0.052725        2.449090       
47              274.881000      591.941328      236.549255      0.053312        2.502402       
48              276.027000      606.472217      237.362636      0.052643        2.555045       
49              276.027000      621.018564      238.143991      0.052699        2.607744       
50              274.881000      636.013597      238.896740      0.054551        2.662295       
51              274.881000      650.492129      239.594857      0.052672        2.714967       
52              276.298000      665.086466      240.295307      0.052821        2.767788       
53              276.298000      682.929238      241.116169      0.064578        2.832366       
54              278.366000      697.761414      241.803980      0.053283        2.885649       
55              278.366000      712.403187      242.458495      0.052599        2.938248       
56              280.116000      727.159698      243.121766      0.052680        2.990928       
57              278.970000      742.011782      243.748711      0.053239        3.044167       
58              278.970000      756.835969      244.352986      0.053139        3.097306       
59              280.441000      771.606235      244.956382      0.052668        3.149974       
60              280.441000      787.511166      245.583969      0.056714        3.206688       
61              279.241000      804.076580      246.195307      0.059323        3.266011       
62              279.241000      818.820225      246.721031      0.052799        3.318810       
63              280.441000      833.605355      247.248314      0.052721        3.371531       
64              280.441000      848.775250      247.772450      0.054093        3.425624       
65              279.241000      863.480081      248.248873      0.052660        3.478284       
66              279.241000      878.164528      248.710454      0.052587        3.530871       
67              280.441000      892.947695      249.177205      0.052714        3.583585       
68              280.441000      907.724131      249.630221      0.052690        3.636275       
69              279.241000      922.868487      250.065367      0.054234        3.690509       
70              279.241000      937.557960      250.475396      0.052605        3.743114       
71              280.712000      952.378150      250.895938      0.052795        3.795909       
72              280.712000      967.149777      251.303621      0.052622        3.848531       
73              279.566000      981.905830      251.685991      0.052782        3.901313       
74              280.712000      996.679422      252.072342      0.052629        3.953942       
75              280.712000      1011.437013     252.448141      0.052572        4.006514       
76              279.566000      1026.176012     252.800346      0.052721        4.059235       
77              279.566000      1041.298855     253.152338      0.054094        4.113329       
78              280.983000      1056.118461     253.504672      0.052742        4.166071       
79              280.983000      1071.132225     253.852639      0.053433        4.219504       
80              279.566000      1085.938041     254.171373      0.052960        4.272464       
81              279.566000      1100.652438     254.480405      0.052633        4.325097       
82              280.983000      1115.770447     254.806045      0.053804        4.378901       
83              280.983000      1130.740659     255.120711      0.053278        4.432179       
84              279.566000      1145.450584     255.407511      0.052617        4.484796       
85              279.566000      1160.153519     255.687527      0.052592        4.537388       
86              281.316000      1174.979435     255.981786      0.052702        4.590090       
87              281.316000      1189.798036     256.269223      0.052676        4.642766       
88              279.556000      1205.281804     256.543753      0.055387        4.698153       
89              279.556000      1220.053543     256.799693      0.052840        4.750993       
90              280.983000      1234.878206     257.065300      0.052760        4.803753       
91              279.845000      1250.147389     257.321135      0.054563        4.858316       
92              279.845000      1264.871154     257.562448      0.052614        4.910930       
93              280.983000      1279.653670     257.810689      0.052610        4.963540       
94              280.983000      1294.534248     258.055319      0.052959        5.016499       
95              279.845000      1309.289636     258.281962      0.052727        5.069226       
96              279.845000      1324.568893     258.511735      0.054599        5.123825       
97              280.983000      1339.381755     258.740583      0.052718        5.176543       
98              280.983000      1354.193773     258.964804      0.052715        5.229258       
99              279.845000      1369.011566     259.174112      0.052950        5.282208       
100             279.845000      1383.794658     259.378789      0.052826        5.335034       
101             280.983000      1398.601619     259.590098      0.052697        5.387731       
102             280.983000      1413.410828     259.797345      0.052705        5.440436       
103             279.827000      1429.134587     260.002104      0.056191        5.496627       
104             279.827000      1443.853208     260.190017      0.052599        5.549226       
105             281.316000      1459.175365     260.395355      0.054466        5.603692       
106             281.316000      1474.224927     260.593190      0.053497        5.657189       
107             280.116000      1488.980878     260.773303      0.052678        5.709867       
108             281.316000      1504.474919     260.969563      0.055077        5.764944       
109             281.316000      1519.262013     261.153403      0.052564        5.817508       
110             280.116000      1534.014602     261.323532      0.052666        5.870174       
111             280.116000      1548.817893     261.491204      0.052847        5.923021       
112             281.316000      1563.621585     261.665786      0.052623        5.975644       
113             281.316000      1578.874538     261.842479      0.054220        6.029864       
114             280.116000      1593.627968     262.000711      0.052669        6.082533       
115             280.116000      1608.369632     262.156102      0.052627        6.135160       
116             281.587000      1623.204480     262.321536      0.052683        6.187843       
117             281.587000      1638.132252     262.485187      0.053013        6.240856       
118             280.441000      1652.891021     262.635336      0.052627        6.293483       
119             280.441000      1668.398286     262.790418      0.055296        6.348779       
120             281.587000      1683.231726     262.945096      0.052678        6.401457       
121             281.587000      1698.065448     263.097252      0.052679        6.454136       
122             280.441000      1712.867404     263.237936      0.052781        6.506917       
123             280.441000      1727.618601     263.375886      0.052600        6.559517       
124             281.913000      1742.468086     263.523556      0.052674        6.612191       
125             281.913000      1757.317853     263.668895      0.052675        6.664866       
126             280.983000      1772.120881     263.804682      0.052683        6.717549       
127             281.913000      1787.353486     263.949176      0.054033        6.771582       
128             281.913000      1802.185493     264.087670      0.052612        6.824194       
129             280.441000      1817.562353     264.218018      0.054831        6.879025       
130             280.441000      1832.620913     264.343670      0.053696        6.932721       
131             281.913000      1847.850135     264.479515      0.054021        6.986742       
132             281.913000      1862.842550     264.611211      0.053181        7.039923       
133             280.712000      1878.030192     264.734007      0.054104        7.094027       
134             280.712000      1893.166464     264.854538      0.053921        7.147948       
135             282.184000      1908.342320     264.983948      0.053780        7.201728       
