#timestep       power           acc-energy      avg-power       dt              acc-time       
1               75.970000       3.804654        75.970000       0.050081        0.050081       
2               88.249000       8.690030        82.416824       0.055359        0.105440       
3               75.094000       12.625782       79.985439       0.052411        0.157851       
4               75.094000       16.748667       78.723161       0.054903        0.212754       
5               76.241000       20.814981       78.225636       0.053335        0.266089       
6               76.241000       24.807341       77.899292       0.052365        0.318454       
7               74.768000       28.850944       77.444714       0.054082        0.372536       
8               74.768000       32.948305       77.101457       0.054801        0.427337       
9               74.768000       36.894859       76.844919       0.052784        0.480121       
10              74.768000       40.812179       76.640575       0.052393        0.532514       
11              154.885000      49.015818       83.719031       0.052966        0.585480       
12              154.885000      57.162459       89.585379       0.052598        0.638078       
13              156.025000      65.369842       94.645491       0.052603        0.690681       
14              156.025000      73.576445       98.989001       0.052598        0.743279       
15              156.629000      81.812625       102.797372      0.052584        0.795863       
16              156.629000      90.304736       106.230743      0.054218        0.850081       
17              156.900000      98.554381       109.182174      0.052579        0.902660       
18              156.900000      106.806850      111.809545      0.052597        0.955257       
19              156.629000      115.046632      114.148965      0.052607        1.007864       
20              156.629000      123.286257      116.256242      0.052606        1.060470       
21              156.900000      131.597564      118.189869      0.052972        1.113442       
22              157.226000      140.000665      119.977808      0.053446        1.166888       
23              157.226000      148.274840      121.585189      0.052626        1.219514       
24              156.900000      157.072066      123.137472      0.056069        1.275583       
25              156.900000      165.553453      124.510076      0.054056        1.329639       
26              157.226000      173.823540      125.755054      0.052600        1.382239       
27              157.226000      182.088754      126.908098      0.052569        1.434808       
28              157.226000      190.367175      127.981288      0.052653        1.487461       
29              157.226000      198.636633      128.980053      0.052596        1.540057       
30              157.226000      206.914111      129.913726      0.052647        1.592704       
31              157.226000      215.183726      130.786845      0.052597        1.645301       
32              156.025000      223.391266      131.568766      0.052604        1.697905       
33              156.025000      231.600833      132.303869      0.052617        1.750522       
34              155.753000      240.000748      133.004710      0.053931        1.804453       
35              155.753000      248.200209      133.649566      0.052644        1.857097       
36              156.025000      256.413209      134.266312      0.052639        1.909736       
37              156.025000      264.619344      134.849495      0.052595        1.962331       
38              156.358000      272.850654      135.411434      0.052644        2.014975       
39              156.358000      281.066642      135.943791      0.052546        2.067521       
40              156.025000      289.275273      136.442105      0.052611        2.120132       
41              156.025000      297.486869      136.916454      0.052630        2.172762       
42              156.025000      305.902701      137.379334      0.053939        2.226701       
43              156.358000      314.287555      137.825652      0.053626        2.280327       
44              156.358000      322.549981      138.245383      0.052843        2.333170       
45              156.358000      331.073525      138.658911      0.054513        2.387683       
46              156.358000      339.578462      139.053135      0.054394        2.442077       
47              156.358000      347.932044      139.423613      0.053426        2.495503       
48              156.358000      356.385071      139.782697      0.054062        2.549565       
49              156.358000      364.609970      140.117767      0.052603        2.602168       
50              156.358000      372.831743      140.439440      0.052583        2.654751       
51              156.358000      381.056643      140.748732      0.052603        2.707354       
52              156.358000      389.596917      141.057417      0.054620        2.761974       
53              156.358000      397.819315      141.343291      0.052587        2.814561       
54              156.358000      406.047186      141.618859      0.052622        2.867183       
55              155.753000      414.240417      141.873505      0.052604        2.919787       
56              155.753000      422.521804      142.121734      0.053170        2.972957       
57              156.025000      430.728875      142.363450      0.052601        3.025558       
58              156.025000      438.934698      142.596870      0.052593        3.078151       
59              156.025000      447.187484      142.823717      0.052894        3.131045       
60              156.358000      455.579374      143.051806      0.053671        3.184716       
61              156.358000      463.842894      143.269016      0.052850        3.237566       
62              156.025000      472.054334      143.473057      0.052629        3.290195       
63              156.025000      480.271703      143.670813      0.052667        3.342862       
64              156.025000      488.478774      143.862199      0.052601        3.395463       
65              156.025000      496.685533      144.047738      0.052599        3.448062       
66              156.358000      504.915749      144.232837      0.052637        3.500699       
67              156.358000      513.138303      144.412287      0.052588        3.553287       
68              156.025000      521.557256      144.585996      0.053959        3.607246       
69              156.025000      529.767916      144.750474      0.052624        3.659870       
70              156.358000      537.997194      144.915030      0.052631        3.712501       
71              156.358000      546.735417      145.084732      0.055886        3.768387       
72              156.358000      554.958753      145.239900      0.052593        3.820980       
73              156.358000      563.256516      145.392202      0.053069        3.874049       
74              156.358000      571.925004      145.546916      0.055440        3.929489       
75              155.753000      580.119169      145.681754      0.052610        3.982099       
76              155.753000      588.492606      145.815912      0.053761        4.035860       
77              155.753000      596.985194      145.948376      0.054526        4.090386       
78              155.753000      605.166588      146.072689      0.052528        4.142914       
79              156.025000      613.375375      146.197491      0.052612        4.195526       
80              156.025000      622.060663      146.326175      0.055666        4.251192       
81              156.358000      630.288377      146.448830      0.052621        4.303813       
82              156.358000      638.506553      146.568385      0.052560        4.356373       
83              156.025000      646.711128      146.681172      0.052585        4.408958       
84              156.025000      654.917887      146.791330      0.052599        4.461557       
85              156.025000      663.231991      146.900312      0.053287        4.514844       
86              156.025000      671.607257      147.007525      0.053679        4.568523       
87              156.025000      679.814796      147.110174      0.052604        4.621127       
88              156.025000      688.220019      147.212901      0.053871        4.674998       
89              156.358000      696.443668      147.314641      0.052595        4.727593       
90              156.358000      704.671226      147.414190      0.052620        4.780213       
91              156.358000      712.893780      147.511512      0.052588        4.832801       
92              156.358000      721.127280      147.606864      0.052658        4.885459       
93              156.358000      729.491651      147.701649      0.053495        4.938954       
94              156.358000      737.722336      147.792937      0.052640        4.991594       
95              156.358000      745.933164      147.882106      0.052513        5.044107       
96              156.358000      754.156031      147.969564      0.052590        5.096697       
97              156.358000      762.458485      148.056056      0.053099        5.149796       
98              156.025000      770.668676      148.136660      0.052621        5.202417       
99              156.025000      779.219158      148.218889      0.054802        5.257219       
