#timestep       power           acc-energy      avg-power       dt              acc-time       
1               76.591000       3.836137        76.591000       0.050086        0.050086       
2               76.591000       7.871180        76.591000       0.052683        0.102769       
3               76.591000       11.880566       76.591000       0.052348        0.155117       
4               76.048000       15.936510       76.452069       0.053334        0.208451       
5               76.048000       20.015649       76.369373       0.053639        0.262090       
6               76.048000       24.001020       76.315821       0.052406        0.314496       
7               76.048000       27.981981       76.277603       0.052348        0.366844       
8               76.591000       31.992133       76.316746       0.052358        0.419202       
9               76.591000       36.007799       76.347234       0.052430        0.471632       
10              76.591000       40.026222       76.371637       0.052466        0.524098       
11              304.153000      56.118653       97.258184       0.052909        0.577007       
12              304.153000      72.651802       115.071000      0.054358        0.631365       
13              306.500000      88.917144       129.913584      0.053068        0.684433       
14              306.500000      105.170226      142.611238      0.053028        0.737461       
15              307.700000      122.253422      154.169616      0.055519        0.792980       
16              307.700000      138.582446      163.799744      0.053068        0.846048       
17              298.864000      157.430304      173.169126      0.063065        0.909113       
18              298.864000      173.392929      180.144006      0.053411        0.962524       
19              297.393000      189.447690      186.370893      0.053985        1.016509       
20              297.726000      211.350201      193.885926      0.073566        1.090075       
21              297.726000      227.180293      198.715317      0.053170        1.143245       
22              297.726000      242.971084      203.105021      0.053038        1.196283       
23              297.726000      259.411812      207.280050      0.055221        1.251504       
24              298.322000      275.243164      210.983498      0.053068        1.304572       
25              298.322000      291.062881      214.395011      0.053029        1.357601       
26              298.864000      306.963342      217.580431      0.053203        1.410804       
27              298.864000      323.058364      220.569146      0.053854        1.464658       
28              298.322000      339.264408      223.349854      0.054324        1.518982       
29              298.322000      355.070701      225.876833      0.052984        1.571966       
30              299.197000      370.915875      228.266459      0.052959        1.624925       
31              299.197000      387.347774      230.585426      0.054920        1.679845       
32              298.864000      403.771547      232.748317      0.054954        1.734799       
33              291.833000      419.241322      234.500194      0.053009        1.787808       
34              291.833000      434.844757      236.165025      0.053467        1.841275       
35              298.864000      450.686342      237.919476      0.053006        1.894281       
36              298.864000      466.594275      239.585170      0.053228        1.947509       
37              299.468000      482.444817      241.169592      0.052929        2.000438       
38              299.468000      498.333691      242.675873      0.053057        2.053495       
39              299.197000      514.170786      244.096181      0.052932        2.106427       
40              299.197000      530.008480      245.446908      0.052934        2.159361       
41              299.197000      545.862032      246.734253      0.052987        2.212348       
42              299.197000      561.713788      247.961240      0.052981        2.265329       
43              299.468000      577.641892      249.142832      0.053188        2.318517       
44              299.468000      593.499621      250.266552      0.052953        2.371470       
45              298.864000      609.342402      251.329110      0.053010        2.424480       
46              298.864000      625.192953      252.346686      0.053036        2.477516       
47              299.468000      641.476226      253.358647      0.054374        2.531890       
48              299.468000      657.324671      254.302700      0.052922        2.584812       
49              300.065000      673.240719      255.222889      0.053042        2.637854       
50              300.065000      689.664477      256.134424      0.054734        2.692588       
51              299.739000      705.569228      256.977119      0.053062        2.745650       
52              299.739000      721.501554      257.789239      0.053154        2.798804       
53              299.739000      737.489633      258.573772      0.053340        2.852144       
54              300.065000      753.410181      259.331517      0.053057        2.905201       
55              300.065000      769.382341      260.064406      0.053229        2.958430       
56              300.065000      785.859811      260.793348      0.054913        3.013343       
57              300.065000      801.984104      261.481398      0.053736        3.067079       
58              299.739000      817.863077      262.130981      0.052976        3.120055       
59              299.739000      834.233023      262.777953      0.054614        3.174669       
60              300.343000      850.171024      263.395546      0.053066        3.227735       
61              300.343000      866.126746      263.993814      0.053125        3.280860       
62              300.669000      882.695412      264.599643      0.055106        3.335966       
63              300.669000      898.633876      265.163836      0.053010        3.388976       
64              300.065000      914.518717      265.700630      0.052938        3.441914       
65              300.065000      931.120113      266.244271      0.055326        3.497240       
66              300.343000      947.071930      266.754375      0.053112        3.550352       
67              300.669000      963.072031      267.255203      0.053215        3.603567       
68              300.669000      979.573948      267.756476      0.054884        3.658451       
69              299.739000      995.484694      268.213887      0.053082        3.711533       
70              299.739000      1011.386447     268.658152      0.053052        3.764585       
71              300.669000      1027.975860     269.120536      0.055175        3.819760       
72              300.669000      1044.450416     269.566687      0.054793        3.874553       
73              300.669000      1060.630918     269.992760      0.053815        3.928368       
74              300.669000      1076.549237     270.400689      0.052943        3.981311       
75              300.343000      1092.490543     270.794614      0.053077        4.034388       
76              303.286000      1115.520565     271.394867      0.075935        4.110323       
77              303.286000      1131.859795     271.807457      0.053874        4.164197       
78              304.757000      1148.640934     272.237469      0.055064        4.219261       
79              304.757000      1164.794274     272.640923      0.053004        4.272265       
80              303.882000      1180.987235     273.025786      0.053287        4.325552       
81              303.882000      1197.257381     273.403050      0.053541        4.379093       
82              304.757000      1213.400054     273.777771      0.052969        4.432062       
83              304.757000      1230.937905     274.174857      0.057547        4.489609       
84              304.757000      1247.084236     274.531542      0.052981        4.542590       
85              304.757000      1263.256776     274.880561      0.053067        4.595657       
86              304.432000      1279.982879     275.229681      0.054942        4.650599       
87              304.432000      1296.157655     275.559536      0.053131        4.703730       
88              304.757000      1312.799521     275.894608      0.054607        4.758337       
89              305.028000      1329.003523     276.216268      0.053123        4.811460       
90              305.028000      1345.550682     276.537491      0.054248        4.865708       
91              304.432000      1361.906900     276.842137      0.053727        4.919435       
92              304.432000      1378.053365     277.136420      0.053038        4.972473       
93              305.028000      1394.232965     277.430808      0.053043        5.025516       
94              305.028000      1410.404939     277.718912      0.053018        5.078534       
95              305.028000      1426.712956     278.003412      0.053464        5.131998       
96              305.028000      1443.149085     278.284212      0.053884        5.185882       
97              304.757000      1459.320406     278.552343      0.053063        5.238945       
98              304.757000      1476.487977     278.831113      0.056332        5.295277       
99              305.028000      1492.678558     279.091100      0.053079        5.348356       
100             305.028000      1508.825520     279.345297      0.052936        5.401292       
101             305.028000      1525.075582     279.596137      0.053274        5.454566       
102             305.028000      1541.839006     279.849817      0.054957        5.509523       
103             304.757000      1557.985337     280.087050      0.052981        5.562504       
104             304.757000      1574.193533     280.320690      0.053184        5.615688       
105             305.028000      1590.570181     280.554668      0.053689        5.669377       
106             305.354000      1606.770432     280.784588      0.053054        5.722431       
107             305.354000      1623.329780     281.015240      0.054230        5.776661       
108             304.757000      1639.517557     281.231559      0.053117        5.829778       
109             304.757000      1655.679735     281.443639      0.053033        5.882811       
110             305.028000      1672.533752     281.663093      0.055254        5.938065       
111             305.028000      1688.688950     281.869647      0.052963        5.991028       
112             305.354000      1704.892560     282.075832      0.053065        6.044093       
113             305.354000      1722.227812     282.292445      0.056771        6.100864       
114             305.354000      1738.456156     282.491604      0.053146        6.154010       
115             305.354000      1754.631063     282.686714      0.052971        6.206981       
116             305.028000      1770.985444     282.878046      0.053616        6.260597       
117             305.028000      1787.187616     283.064392      0.053117        6.313714       
118             305.625000      1803.370460     283.252023      0.052950        6.366664       
119             305.625000      1819.565529     283.436697      0.052990        6.419654       
120             305.028000      1835.720117     283.613364      0.052961        6.472615       
121             305.354000      1852.902386     283.800739      0.056270        6.528885       
122             305.354000      1869.829685     283.982201      0.055435        6.584320       
123             305.625000      1886.025060     284.154993      0.052991        6.637311       
124             305.625000      1902.581988     284.328813      0.054174        6.691485       
125             305.354000      1919.236301     284.498800      0.054541        6.746026       
126             305.354000      1935.470446     284.661873      0.053165        6.799191       
127             305.028000      1951.658892     284.819612      0.053072        6.852263       
128             305.028000      1969.478933     284.990449      0.058421        6.910684       
129             305.903000      1985.769797     285.150372      0.053255        6.963939       
130             305.903000      2002.004987     285.307334      0.053073        7.017012       
131             305.354000      2018.367992     285.459265      0.053587        7.070599       
132             305.354000      2034.571907     285.607466      0.053066        7.123665       
133             305.354000      2050.729104     285.753057      0.052913        7.176578       
134             305.354000      2066.950729     285.897085      0.053124        7.229702       
135             305.903000      2083.527613     286.045923      0.054190        7.283892       
136             305.903000      2100.249801     286.193839      0.054665        7.338557       
