#timestep       power           acc-energy      avg-power       dt              acc-time       
1               60.474000       3.028296        60.474000       0.050076        0.050076       
2               61.622000       6.300547        61.064834       0.053102        0.103178       
3               61.622000       9.588328        61.254744       0.053354        0.156532       
4               59.876000       12.733913       60.908289       0.052535        0.209067       
5               59.876000       15.915005       60.699119       0.053128        0.262195       
6               59.876000       19.208245       60.556392       0.055001        0.317196       
7               59.605000       22.337210       60.421297       0.052495        0.369691       
8               59.605000       25.472194       60.319627       0.052596        0.422287       
9               59.605000       28.605927       60.240506       0.052575        0.474862       
10              59.605000       31.738885       60.177173       0.052562        0.527424       
11              161.924000      40.315028       69.462201       0.052964        0.580388       
12              161.924000      48.887446       77.191233       0.052941        0.633329       
13              170.435000      58.218933       84.610704       0.054751        0.688080       
14              170.435000      67.244319       90.743782       0.052955        0.741035       
15              170.978000      76.290423       96.090554       0.052908        0.793943       
16              170.978000      85.323703       100.763016      0.052833        0.846776       
17              264.032000      99.272778       110.351273      0.052831        0.899607       
18              264.032000      113.203106      118.865003      0.052760        0.952367       
19              268.717000      127.851676      126.978067      0.054513        1.006880       
20              268.717000      142.043427      134.042055      0.052813        1.059693       
21              269.863000      156.603076      140.622079      0.053952        1.113645       
22              269.863000      171.277146      146.638756      0.054376        1.168021       
23              269.863000      185.579345      151.987271      0.052998        1.221019       
24              272.535000      200.922248      157.300346      0.056297        1.277316       
25              272.535000      215.484066      161.927148      0.053431        1.330747       
26              273.681000      229.950022      166.196413      0.052857        1.383604       
27              273.681000      244.489052      170.170729      0.053124        1.436728       
28              274.277000      259.635725      174.024181      0.055224        1.491952       
29              274.277000      274.107128      177.448465      0.052762        1.544714       
30              274.556000      288.579249      180.652769      0.052711        1.597425       
31              274.556000      303.069217      183.655941      0.052776        1.650201       
32              275.152000      317.567801      186.487122      0.052693        1.702894       
33              275.152000      332.084270      189.151535      0.052758        1.755652       
34              275.756000      346.633433      191.678246      0.052761        1.808413       
35              275.756000      361.183974      194.061922      0.052766        1.861179       
36              276.027000      375.935961      196.349861      0.053444        1.914623       
37              276.027000      390.875646      198.540313      0.054124        1.968747       
38              275.423000      405.660077      200.580925      0.053679        2.022426       
39              275.423000      420.348661      202.503791      0.053331        2.075757       
40              275.423000      434.868962      204.309918      0.052720        2.128477       
41              274.556000      449.329277      206.006147      0.052668        2.181145       
42              274.556000      463.783827      207.621760      0.052647        2.233792       
43              275.423000      478.298344      209.184442      0.052699        2.286491       
44              275.423000      492.817542      210.677184      0.052716        2.339207       
45              275.756000      507.387111      212.114633      0.052835        2.392042       
46              275.756000      521.933791      213.487840      0.052752        2.444794       
47              275.423000      536.797544      214.825485      0.053967        2.498761       
48              275.423000      551.404879      216.084931      0.053036        2.551797       
49              275.152000      565.921348      217.281397      0.052758        2.604555       
50              275.152000      581.181553      218.487991      0.055461        2.660016       
51              276.027000      595.728728      219.605845      0.052702        2.712718       
52              276.027000      610.597474      220.704397      0.053867        2.766585       
53              276.298000      625.541052      221.770378      0.054085        2.820670       
54              276.298000      640.348138      222.787053      0.053591        2.874261       
55              276.623000      654.919254      223.755919      0.052675        2.926936       
56              276.894000      670.120735      224.734269      0.054900        2.981836       
57              276.894000      684.724955      225.640840      0.052743        3.034579       
58              276.623000      699.570758      226.526815      0.053668        3.088247       
59              276.623000      714.759574      227.401949      0.054908        3.143155       
60              276.298000      729.314124      228.207904      0.052677        3.195832       
61              276.298000      743.902934      228.989527      0.052801        3.248633       
62              276.027000      758.481576      229.742024      0.052816        3.301449       
63              276.027000      773.044761      230.470063      0.052760        3.354209       
64              276.027000      787.617882      231.176028      0.052796        3.407005       
65              276.027000      802.167266      231.859348      0.052710        3.459715       
66              276.027000      816.733762      232.522928      0.052772        3.512487       
67              276.027000      831.448762      233.173330      0.053310        3.565797       
68              276.027000      846.029888      233.798912      0.052825        3.618622       
69              276.027000      860.760069      234.412613      0.053365        3.671987       
70              276.027000      875.947626      235.026968      0.055022        3.727009       
71              276.027000      890.553595      235.600926      0.052915        3.779924       
72              276.894000      905.164184      236.169423      0.052766        3.832690       
73              276.894000      920.475591      236.748629      0.055297        3.887987       
74              276.894000      935.582374      237.304171      0.054558        3.942545       
75              277.227000      950.206376      237.831284      0.052751        3.995296       
76              277.227000      965.067406      238.352869      0.053606        4.048902       
77              277.498000      979.716803      238.856688      0.052791        4.101693       
78              277.498000      994.492184      239.351871      0.053245        4.154938       
79              277.227000      1009.106483     239.826393      0.052716        4.207654       
80              277.227000      1023.871038     240.293871      0.053258        4.260912       
81              276.894000      1038.491042     240.741858      0.052800        4.313712       
82              276.894000      1053.088063     241.178332      0.052717        4.366429       
83              276.623000      1067.692374     241.601778      0.052795        4.419224       
84              276.623000      1082.303877     242.015426      0.052821        4.472045       
85              276.894000      1096.910867     242.422063      0.052753        4.524798       
86              276.894000      1111.524778     242.819514      0.052778        4.577576       
87              276.894000      1126.250001     243.210828      0.053180        4.630756       
88              276.894000      1140.845638     243.589929      0.052712        4.683468       
89              276.298000      1155.732297     243.961926      0.053879        4.737347       
90              276.623000      1170.394146     244.323305      0.053003        4.790350       
91              276.623000      1185.291401     244.682388      0.053854        4.844204       
92              277.227000      1200.362016     245.043553      0.054362        4.898566       
93              277.227000      1214.950809     245.385616      0.052624        4.951190       
94              277.498000      1229.586609     245.724084      0.052742        5.003932       
95              277.498000      1244.416102     246.059831      0.053440        5.057372       
96              277.498000      1259.058839     246.384460      0.052767        5.110139       
97              277.498000      1273.679653     246.701982      0.052688        5.162827       
98              278.095000      1289.016871     247.033788      0.055151        5.217978       
99              278.095000      1303.699174     247.344920      0.052796        5.270774       
100             277.498000      1318.348016     247.643921      0.052789        5.323563       
101             277.498000      1333.503015     247.947076      0.054613        5.378176       
102             277.227000      1348.149749     248.231912      0.052833        5.431009       
103             277.227000      1363.090066     248.516804      0.053892        5.484901       
104             277.498000      1378.198722     248.801659      0.054446        5.539347       
105             277.498000      1392.818149     249.072010      0.052683        5.592030       
106             277.498000      1407.455614     249.337638      0.052748        5.644778       
107             277.227000      1422.063813     249.595577      0.052694        5.697472       
108             277.227000      1436.733280     249.849841      0.052915        5.750387       
109             276.623000      1451.327080     250.093239      0.052757        5.803144       
110             276.623000      1465.912304     250.332112      0.052726        5.855870       
111             277.227000      1480.672978     250.574448      0.053244        5.909114       
112             277.227000      1495.509059     250.813661      0.053516        5.962630       
113             277.498000      1510.433179     251.052193      0.053781        6.016411       
114             277.498000      1527.268150     251.316200      0.060667        6.077078       
115             278.095000      1544.583179     251.587781      0.062263        6.139341       
116             278.095000      1559.419269     251.816136      0.053349        6.192690       
117             278.366000      1574.280394     252.043066      0.053387        6.246077       
118             278.366000      1588.993429     252.263944      0.052855        6.298932       
119             278.645000      1603.678021     252.482830      0.052700        6.351632       
120             277.770000      1618.341499     252.691265      0.052790        6.404422       
121             277.770000      1632.981645     252.895969      0.052706        6.457128       
122             277.770000      1647.640679     253.097616      0.052774        6.509902       
123             277.770000      1662.278324     253.295733      0.052697        6.562599       
124             278.095000      1676.951729     253.493532      0.052764        6.615363       
125             278.095000      1691.804783     253.690564      0.053410        6.668773       
126             277.770000      1707.096855     253.887720      0.055053        6.723826       
127             277.770000      1721.921162     254.075788      0.053369        6.777195       
128             277.770000      1736.579918     254.258866      0.052773        6.829968       
129             277.770000      1752.873629     254.459071      0.058659        6.888627       
130             277.498000      1768.784254     254.649248      0.057336        6.945963       
131             277.498000      1783.504135     254.822417      0.053045        6.999008       
132             278.095000      1798.617764     255.001735      0.054347        7.053355       
133             278.095000      1813.295896     255.173261      0.052781        7.106136       
134             278.366000      1827.999189     255.344381      0.052820        7.158956       
135             278.645000      1842.703564     255.514881      0.052771        7.211727       
136             278.645000      1857.494598     255.683886      0.053082        7.264809       
137             278.970000      1872.212497     255.851774      0.052758        7.317567       
138             278.970000      1886.934302     256.017301      0.052772        7.370339       
139             278.645000      1901.646479     256.178247      0.052799        7.423138       
140             278.645000      1916.500208     256.338435      0.053307        7.476445       
141             278.095000      1931.171388     256.490880      0.052756        7.529201       
142             278.095000      1945.830610     256.641082      0.052713        7.581914       
143             278.095000      1960.520144     256.789514      0.052822        7.634736       
144             278.095000      1975.285042     256.936652      0.053093        7.687829       
145             278.366000      1989.973024     257.082728      0.052765        7.740594       
146             278.366000      2004.658500     257.226802      0.052756        7.793350       
147             278.366000      2019.351215     257.369009      0.052782        7.846132       
148             278.366000      2034.193968     257.510738      0.053321        7.899453       
149             278.366000      2048.876940     257.649071      0.052747        7.952200       
150             278.366000      2063.716353     257.787025      0.053309        8.005509       
151             278.095000      2078.374740     257.919863      0.052710        8.058219       
152             278.095000      2093.046476     258.051092      0.052758        8.110977       
153             278.645000      2107.963458     258.186125      0.053534        8.164511       
154             278.645000      2122.651950     258.317370      0.052714        8.217225       
155             278.645000      2137.587879     258.449110      0.053602        8.270827       
156             278.645000      2152.313153     258.577332      0.052846        8.323673       
157             278.645000      2167.299238     258.706163      0.053782        8.377455       
158             279.241000      2182.039533     258.834744      0.052787        8.430242       
159             279.241000      2196.800212     258.961900      0.052860        8.483102       
160             278.645000      2211.501523     259.083561      0.052760        8.535862       
161             278.645000      2226.199489     259.203700      0.052748        8.588610       
162             278.366000      2240.892203     259.320744      0.052782        8.641392       
163             278.366000      2256.296978     259.441935      0.055340        8.696732       
164             278.366000      2271.068469     259.556704      0.053065        8.749797       
165             278.366000      2286.586817     259.675786      0.055748        8.805545       
166             278.366000      2301.258376     259.786991      0.052706        8.858251       
167             278.366000      2315.949698     259.897028      0.052777        8.911028       
168             278.366000      2330.624597     260.005649      0.052718        8.963746       
169             278.366000      2345.296155     260.112975      0.052706        9.016452       
170             277.770000      2359.962689     260.215774      0.052801        9.069253       
171             278.366000      2374.964668     260.322993      0.053893        9.123146       
172             278.366000      2390.051827     260.429550      0.054199        9.177345       
173             278.645000      2404.758431     260.533708      0.052779        9.230124       
174             278.645000      2419.445809     260.636548      0.052710        9.282834       
175             278.970000      2434.174588     260.740231      0.052797        9.335631       
