#timestep       power           acc-energy      avg-power       dt              acc-time       
1               59.876000       2.998770        59.876000       0.050083        0.050083       
2               61.622000       6.337080        60.783256       0.054174        0.104257       
3               61.622000       9.572913        61.064202       0.052511        0.156768       
4               60.148000       12.740788       60.833800       0.052668        0.209436       
5               59.605000       15.875355       60.587177       0.052589        0.262025       
6               59.605000       19.151246       60.416883       0.054960        0.316985       
7               59.605000       22.277170       60.301629       0.052444        0.369429       
8               59.605000       25.406731       60.214941       0.052505        0.421934       
9               59.605000       28.541477       60.147341       0.052592        0.474526       
10              59.605000       31.674614       60.093255       0.052565        0.527091       
11              111.768000      37.582000       64.802696       0.052854        0.579945       
12              111.768000      43.532863       68.751877       0.053243        0.633188       
13              131.412000      50.532129       73.613707       0.053262        0.686450       
14              131.412000      57.471077       77.742095       0.052803        0.739253       
15              132.885000      64.660820       81.502701       0.054105        0.793358       
16              132.885000      72.003779       84.848482       0.055258        0.848616       
17              176.877000      81.337756       90.236220       0.052771        0.901387       
18              176.877000      90.651214       95.018054       0.052655        0.954042       
19              177.746000      100.009185      99.344570       0.052648        1.006690       
20              177.746000      109.370001      103.242165      0.052664        1.059354       
21              177.746000      118.728150      106.769631      0.052649        1.112003       
22              177.746000      128.093942      109.980675      0.052692        1.164695       
23              177.746000      137.769190      113.006337      0.054433        1.219128       
24              178.025000      147.148615      115.699792      0.052686        1.271814       
25              178.025000      156.522878      118.177656      0.052657        1.324471       
26              178.025000      165.886637      120.463562      0.052598        1.377069       
27              178.025000      175.249684      122.581114      0.052594        1.429663       
28              177.746000      184.604456      124.539788      0.052630        1.482293       
29              177.746000      194.104446      126.391476      0.053447        1.535740       
30              178.025000      203.467671      128.101232      0.052595        1.588335       
31              178.025000      213.040609      129.736052      0.053773        1.642108       
32              178.166000      222.415526      131.239737      0.052619        1.694727       
33              178.166000      231.798104      132.653979      0.052662        1.747389       
34              177.841000      241.295525      133.994037      0.053404        1.800793       
35              177.841000      250.958871      135.278321      0.054337        1.855130       
36              178.166000      260.456544      136.476293      0.053308        1.908438       
37              178.166000      269.823443      137.593979      0.052574        1.961012       
38              178.350000      279.254770      138.664154      0.052881        2.013893       
39              178.350000      289.010693      139.713590      0.054701        2.068594       
40              178.622000      298.422286      140.680025      0.052690        2.121284       
41              178.350000      307.804388      141.591585      0.052605        2.173889       
42              178.350000      317.413529      142.480578      0.053878        2.227767       
43              178.025000      326.783875      143.300995      0.052635        2.280402       
44              178.025000      336.153865      144.084364      0.052633        2.333035       
45              178.622000      345.581356      144.848406      0.052779        2.385814       
46              178.622000      354.974908      145.576801      0.052589        2.438403       
47              178.350000      364.445828      146.275316      0.053103        2.491506       
48              178.350000      373.836669      146.939135      0.052654        2.544160       
49              178.350000      383.226618      147.575974      0.052649        2.596809       
50              178.350000      392.710023      148.193468      0.053173        2.649982       
51              178.622000      402.111792      148.786081      0.052635        2.702617       
52              178.622000      411.513203      149.356031      0.052633        2.755250       
53              178.622000      420.924975      149.905206      0.052691        2.807941       
54              178.622000      430.455531      150.440702      0.053356        2.861297       
55              178.350000      439.886322      150.947119      0.052878        2.914175       
56              178.350000      449.279660      151.433581      0.052668        2.966843       
57              178.622000      458.681786      151.907542      0.052637        3.019480       
58              178.622000      468.095165      152.365801      0.052700        3.072180       
59              178.622000      477.498363      152.808131      0.052643        3.124823       
60              178.622000      486.905848      153.235997      0.052667        3.177490       
61              178.350000      496.301683      153.645590      0.052682        3.230172       
62              178.350000      506.066880      154.057362      0.054753        3.284925       
63              178.350000      515.520679      154.443134      0.053007        3.337932       
64              178.350000      525.314591      154.830072      0.054914        3.392846       
65              178.350000      534.777128      155.192205      0.053056        3.445902       
66              178.350000      544.206314      155.542136      0.052869        3.498771       
67              178.350000      553.727708      155.884919      0.053386        3.552157       
68              178.350000      563.321332      156.220038      0.053791        3.605948       
69              178.350000      572.943493      156.546258      0.053951        3.659899       
70              178.437000      582.342662      156.856850      0.052675        3.712574       
71              178.437000      591.738084      157.158633      0.052654        3.765228       
72              178.350000      601.240929      157.454329      0.053282        3.818510       
73              178.350000      610.656739      157.739289      0.052794        3.871304       
74              178.622000      620.052792      158.019237      0.052603        3.923907       
75              178.622000      629.455632      158.291974      0.052641        3.976548       
76              178.622000      638.847756      158.557285      0.052581        4.029129       
77              178.622000      648.399746      158.820103      0.053476        4.082605       
78              178.350000      657.779529      159.068487      0.052592        4.135197       
79              178.622000      667.176297      159.314117      0.052607        4.187804       
