#timestep       power           acc-energy      avg-power       dt              acc-time       
1               142.093000      14.218820       142.093000      0.100067        0.100067       
2               160.283000      32.793216       151.854188      0.115885        0.215952       
3               162.634000      49.513942       155.331036      0.102812        0.318764       
4               238.410000      74.303814       175.765509      0.103980        0.422744       
5               239.033000      98.882383       188.143484      0.102825        0.525569       
6               241.110000      124.049685      196.919891      0.104381        0.629950       
7               242.855000      149.049665      203.371936      0.102942        0.732892       
8               242.855000      174.232271      208.265822      0.103694        0.836586       
9               243.180000      199.277136      212.092846      0.102989        0.939575       
10              243.459000      224.393827      215.196130      0.103166        1.042741       
11              243.459000      249.419708      217.732261      0.102793        1.145534       
12              243.459000      274.448754      219.850966      0.102806        1.248340       
13              243.731000      299.515757      221.668619      0.102847        1.351187       
14              243.731000      324.552536      223.227391      0.102723        1.453910       
15              243.731000      349.602233      224.581087      0.102776        1.556686       
16              244.056000      374.685089      225.787222      0.102775        1.659461       
17              244.328000      400.178517      226.884036      0.104341        1.763802       
18              244.056000      425.237210      227.828675      0.102676        1.866478       
19              244.328000      450.318457      228.688812      0.102654        1.969132       
20              244.328000      475.402391      229.463790      0.102665        2.071797       
21              244.653000      500.621956      230.183714      0.103083        2.174880       
22              244.328000      526.022539      230.828978      0.103961        2.278841       
23              244.653000      551.142286      231.424977      0.102675        2.381516       
24              244.328000      576.249676      231.958705      0.102761        2.484277       
25              244.906000      601.912396      232.482715      0.104786        2.589063       
26              244.328000      627.377482      232.941105      0.104225        2.693288       
27              244.653000      652.508972      233.371389      0.102723        2.796011       
28              244.932000      677.660549      233.780930      0.102688        2.898699       
29              244.653000      702.778583      234.152832      0.102668        3.001367       
30              244.653000      727.911052      234.500325      0.102727        3.104094       
31              244.932000      753.089572      234.834716      0.102798        3.206892       
32              244.653000      778.209563      235.139318      0.102676        3.309568       
33              244.932000      803.502711      235.435627      0.103266        3.412834       
34              244.932000      828.665065      235.713130      0.102732        3.515566       
35              244.932000      853.833053      235.974932      0.102755        3.618321       
36              240.506000      879.085461      236.102708      0.104997        3.723318       
37              244.328000      904.172816      236.323451      0.102679        3.825997       
38              242.312000      929.051958      236.479959      0.102674        3.928671       
39              244.328000      954.153729      236.679962      0.102738        4.031409       
40              245.529000      979.379869      236.899878      0.102742        4.134151       
41              237.893000      1005.622322     236.925689      0.110312        4.244463       
42              234.940000      1029.787310     236.878709      0.102856        4.347319       
43              236.141000      1054.064258     236.861666      0.102807        4.450126       
44              235.182000      1078.225446     236.823765      0.102734        4.552860       
45              234.940000      1102.367880     236.782186      0.102760        4.655620       
46              236.141000      1126.885928     236.768198      0.103828        4.759448       
47              236.141000      1151.134066     236.754952      0.102685        4.862133       
48              236.141000      1175.906202     236.741986      0.104904        4.967037       
49              236.141000      1200.381508     236.729701      0.103647        5.070684       
50              236.141000      1224.719144     236.717974      0.103064        5.173748       
51              236.141000      1248.978854     236.706740      0.102734        5.276482       
52              236.141000      1273.229354     236.695939      0.102695        5.379177       
53              236.413000      1297.515115     236.690637      0.102726        5.481903       
54              234.940000      1321.656375     236.658427      0.102755        5.584658       
55              235.816000      1345.889299     236.643205      0.102762        5.687420       
56              236.413000      1370.168678     236.639122      0.102699        5.790119       
57              236.413000      1394.624184     236.635153      0.103444        5.893563       
58              236.413000      1418.914438     236.631347      0.102745        5.996308       
59              236.692000      1443.581294     236.632383      0.104215        6.100523       
60              236.692000      1467.934771     236.633372      0.102891        6.203414       
61              236.413000      1492.240392     236.629779      0.102810        6.306224       
62              236.413000      1516.520479     236.626305      0.102702        6.408926       
63              236.413000      1541.578130     236.622835      0.105991        6.514917       
64              236.413000      1566.104796     236.619546      0.103745        6.618662       
65              236.413000      1590.395287     236.616388      0.102746        6.721408       
66              236.413000      1614.685777     236.613326      0.102746        6.824154       
67              236.692000      1639.428848     236.614513      0.104537        6.928691       
68              236.692000      1663.740430     236.615645      0.102714        7.031405       
69              236.692000      1688.081362     236.616746      0.102838        7.134243       
70              236.692000      1712.854494     236.617834      0.104664        7.238907       
71              236.692000      1737.682774     236.618893      0.104897        7.343804       
72              236.692000      1761.987966     236.619901      0.102687        7.446491       
73              236.936000      1786.698495     236.624267      0.104292        7.550783       
74              236.692000      1811.018361     236.625177      0.102749        7.653532       
75              236.692000      1835.321423     236.626061      0.102678        7.756210       
76              236.936000      1859.910404     236.630154      0.103779        7.859989       
77              236.692000      1884.209915     236.630951      0.102663        7.962652       
78              237.017000      1909.213549     236.635999      0.105493        8.068145       
79              237.017000      1933.733669     236.640822      0.103453        8.171598       
80              237.017000      1958.071285     236.645490      0.102683        8.274281       
81              236.692000      1983.149513     236.646078      0.105953        8.380234       
82              237.017000      2007.732679     236.650613      0.103719        8.483953       
83              236.692000      2032.047811     236.651108      0.102729        8.586682       
84              236.692000      2056.367441     236.651592      0.102748        8.689430       
85              237.017000      2080.940179     236.655900      0.103675        8.793105       
86              237.289000      2105.405624     236.663238      0.103104        8.896209       
87              237.017000      2129.752484     236.667276      0.102722        8.998931       
88              237.017000      2154.097448     236.671222      0.102714        9.101645       
89              237.017000      2178.466825     236.675085      0.102817        9.204462       
90              237.289000      2202.842100     236.681861      0.102724        9.307186       
91              237.289000      2227.422156     236.688544      0.103587        9.410773       
92              237.289000      2251.813567     236.695031      0.102792        9.513565       
93              237.289000      2276.205927     236.701381      0.102796        9.616361       
94              237.289000      2300.723813     236.707627      0.103325        9.719686       
95              237.289000      2325.273021     236.713750      0.103457        9.823143       
96              237.289000      2349.637381     236.719701      0.102678        9.925821       
97              237.614000      2374.430976     236.729005      0.104344        10.030165      
98              237.289000      2398.953608     236.734716      0.103345        10.133510      
99              237.289000      2423.942038     236.740416      0.105308        10.238818      
100             237.614000      2448.375172     236.749103      0.102827        10.341645      
101             237.614000      2473.128611     236.757728      0.104175        10.445820      
102             237.289000      2497.513615     236.762904      0.102765        10.548585      
103             237.614000      2521.927978     236.771114      0.102748        10.651333      
104             237.614000      2546.598014     236.779251      0.103824        10.755157      
105             237.614000      2571.002160     236.787146      0.102705        10.857862      
106             237.614000      2595.416761     236.794898      0.102749        10.960611      
107             237.614000      2619.968940     236.802547      0.103328        11.063939      
108             237.614000      2644.481200     236.810044      0.103160        11.167099      
109             237.614000      2669.117970     236.817439      0.103684        11.270783      
110             237.614000      2693.547541     236.824640      0.102812        11.373595      
111             237.614000      2718.215438     236.831780      0.103815        11.477410      
112             237.614000      2742.885950     236.838792      0.103826        11.581236      
113             237.614000      2767.300788     236.845610      0.102750        11.683986      
114             237.614000      2791.771228     236.852323      0.102984        11.786970      
115             237.614000      2816.165394     236.858900      0.102663        11.889633      
116             237.893000      2840.771143     236.867818      0.103432        11.993065      
117             237.893000      2865.365949     236.876580      0.103386        12.096451      
118             237.893000      2889.800890     236.885138      0.102714        12.199165      
119             237.893000      2914.234405     236.893553      0.102708        12.301873      
120             237.893000      2938.661258     236.901826      0.102680        12.404553      
121             237.614000      2963.377866     236.907748      0.104020        12.508573      
