#timestep       power           acc-energy      avg-power       dt              acc-time       
1               204.707000      10.253978       204.707000      0.050091        0.050091       
2               204.707000      21.434256       204.707000      0.054616        0.104707       
3               76.048000       25.483888       161.333316      0.053251        0.157958       
4               76.048000       29.510325       139.923023      0.052946        0.210904       
5               75.443000       33.463765       127.090297      0.052403        0.263307       
6               75.171000       37.421819       118.438094      0.052654        0.315961       
7               75.171000       41.353563       112.292948      0.052304        0.368265       
8               75.171000       45.295755       107.665543      0.052443        0.420708       
9               75.171000       49.323643       103.994474      0.053583        0.474291       
10              122.032000      55.723611       105.790398      0.052445        0.526736       
11              122.032000      62.126996       107.261794      0.052473        0.579209       
12              141.676000      69.770842       110.194297      0.053953        0.633162       
13              141.676000      77.203873       112.603315      0.052465        0.685627       
14              141.676000      84.639171       114.670443      0.052481        0.738108       
15              141.676000      92.068944       116.461886      0.052442        0.790550       
16              142.272000      99.533814       118.068292      0.052469        0.843019       
17              142.272000      106.988440      119.484619      0.052397        0.895416       
18              142.272000      114.542514      120.760216      0.053096        0.948512       
19              142.272000      121.998278      121.886508      0.052405        1.000917       
20              142.272000      129.889394      122.956842      0.055465        1.056382       
21              142.272000      137.345443      123.869774      0.052407        1.108789       
22              142.552000      144.825004      124.713891      0.052469        1.161258       
23              142.552000      152.293873      125.483972      0.052394        1.213652       
24              142.552000      159.766449      126.190650      0.052420        1.266072       
25              142.552000      167.240593      126.841269      0.052431        1.318503       
26              142.552000      174.721009      127.442606      0.052475        1.370978       
27              142.823000      182.209362      128.009140      0.052431        1.423409       
28              142.823000      190.025065      128.557575      0.054723        1.478132       
29              142.823000      197.707086      129.058446      0.053787        1.531919       
30              142.823000      205.188726      129.513563      0.052384        1.584303       
31              142.552000      212.945550      129.946507      0.054414        1.638717       
32              142.552000      220.422973      130.337484      0.052454        1.691171       
33              142.552000      227.902534      130.705039      0.052469        1.743640       
34              142.552000      235.375110      131.050805      0.052420        1.796060       
35              142.552000      242.852960      131.377185      0.052457        1.848517       
36              142.552000      250.324823      131.685312      0.052415        1.900932       
37              142.823000      257.818317      131.984463      0.052467        1.953399       
38              142.823000      265.377082      132.270368      0.052924        2.006323       
39              142.823000      273.160792      132.549435      0.054499        2.060822       
40              142.823000      280.638291      132.803968      0.052355        2.113177       
41              142.823000      288.127215      133.046554      0.052435        2.165612       
42              142.823000      295.637419      133.278312      0.052584        2.218196       
43              141.350000      303.056881      133.464900      0.052490        2.270686       
44              141.350000      310.670557      133.647612      0.053864        2.324550       
45              141.350000      318.210025      133.820386      0.053339        2.377889       
46              141.676000      325.854578      133.994687      0.053958        2.431847       
47              141.676000      333.319345      134.157583      0.052689        2.484536       
48              141.676000      340.751101      134.313037      0.052456        2.536992       
49              141.676000      348.221819      134.462959      0.052731        2.589723       
50              141.676000      355.654850      134.606186      0.052465        2.642188       
51              141.676000      363.092840      134.743926      0.052500        2.694688       
52              141.350000      370.511171      134.870128      0.052482        2.747170       
53              141.350000      377.925968      134.991543      0.052457        2.799627       
54              141.350000      385.340341      135.108484      0.052454        2.852081       
55              141.350000      392.953169      135.224163      0.053858        2.905939       
56              141.350000      400.529246      135.335103      0.053598        2.959537       
57              141.350000      407.931746      135.439688      0.052370        3.011907       
58              141.676000      415.352451      135.546286      0.052378        3.064285       
59              141.676000      422.772590      135.649293      0.052374        3.116659       
60              141.676000      430.218939      135.749241      0.052559        3.169218       
61              141.676000      437.641061      135.845619      0.052388        3.221606       
62              141.947000      445.076671      135.943240      0.052383        3.273989       
63              141.947000      452.780276      136.041138      0.054271        3.328260       
64              141.947000      460.221280      136.132714      0.052421        3.380681       
65              141.676000      467.646803      136.217342      0.052412        3.433093       
66              141.676000      475.063683      136.299330      0.052351        3.485444       
67              141.947000      482.588861      136.383945      0.053014        3.538458       
68              141.947000      490.024755      136.465102      0.052385        3.590843       
69              141.676000      497.581469      136.541371      0.053338        3.644181       
70              141.676000      505.218231      136.616213      0.053903        3.698084       
71              141.947000      512.820770      136.692316      0.053559        3.751643       
72              141.947000      520.278807      136.764890      0.052541        3.804184       
73              141.350000      527.756222      136.827775      0.052900        3.857084       
74              141.350000      535.416262      136.890432      0.054192        3.911276       
75              142.272000      542.883834      136.961695      0.052488        3.963764       
76              142.272000      550.334904      137.030943      0.052372        4.016136       
77              142.272000      557.790810      137.098452      0.052406        4.068542       
78              142.272000      565.409760      137.165664      0.053552        4.122094       
79              142.272000      572.958143      137.230553      0.053056        4.175150       
80              142.272000      580.432403      137.293200      0.052535        4.227685       
81              142.552000      587.906974      137.357624      0.052434        4.280119       
82              142.552000      595.609202      137.422378      0.054031        4.334150       
83              142.552000      603.099169      137.483819      0.052542        4.386692       
84              142.552000      611.049294      137.547444      0.055770        4.442462       
85              142.552000      618.635769      137.606687      0.053219        4.495681       
86              142.552000      626.116755      137.663749      0.052479        4.548160       
87              142.552000      633.583771      137.719405      0.052381        4.600541       
88              142.272000      641.047645      137.770735      0.052462        4.653003       
89              142.272000      648.510381      137.820913      0.052454        4.705457       
90              142.552000      655.994931      137.873121      0.052504        4.757961       
91              142.552000      663.551042      137.924671      0.053006        4.810967       
92              142.552000      671.028750      137.974581      0.052456        4.863423       
93              142.552000      678.682224      138.024561      0.053689        4.917112       
94              142.552000      686.164066      138.072376      0.052485        4.969597       
95              142.552000      693.763513      138.119920      0.053310        5.022907       
96              142.552000      701.233238      138.165679      0.052400        5.075307       
97              142.552000      708.779370      138.210957      0.052936        5.128243       
98              142.552000      716.296422      138.255140      0.052732        5.180975       
99              142.552000      723.762726      138.298143      0.052376        5.233351       
100             142.552000      731.235872      138.340333      0.052424        5.285775       
101             142.552000      738.926838      138.382887      0.053952        5.339727       
102             142.552000      746.399984      138.423420      0.052424        5.392151       
103             142.552000      753.873130      138.463173      0.052424        5.444575       
104             142.552000      761.338435      138.502127      0.052369        5.496944       
105             141.350000      768.784471      138.529159      0.052678        5.549622       
106             141.350000      776.190787      138.555543      0.052397        5.602019       
107             141.676000      783.859567      138.585406      0.054129        5.656148       
108             141.676000      791.554982      138.614803      0.054317        5.710465       
109             141.676000      799.030516      138.642830      0.052765        5.763230       
110             141.676000      806.458164      138.670173      0.052427        5.815657       
111             141.676000      813.890487      138.697045      0.052460        5.868117       
112             141.676000      821.632939      138.724532      0.054649        5.922766       
113             141.676000      829.068945      138.750457      0.052486        5.975252       
114             141.676000      836.487667      138.775872      0.052364        6.027616       
115             141.676000      844.015621      138.801214      0.053135        6.080751       
116             141.676000      851.433635      138.825756      0.052359        6.133110       
117             141.676000      858.862416      138.849918      0.052435        6.185545       
118             141.676000      866.291197      138.873673      0.052435        6.237980       
119             141.676000      873.719837      138.897032      0.052434        6.290414       
120             141.676000      881.490907      138.921055      0.054851        6.345265       
121             141.676000      888.914729      138.943619      0.052400        6.397665       
122             141.676000      896.343085      138.965830      0.052432        6.450097       
123             141.676000      903.755857      138.987638      0.052322        6.502419       
124             141.676000      911.188322      139.009154      0.052461        6.554880       
125             141.676000      918.616394      139.030316      0.052430        6.607310       
126             141.947000      926.057682      139.053275      0.052423        6.659733       
127             141.947000      933.575195      139.076105      0.052960        6.712693       
128             141.676000      941.417245      139.097368      0.055352        6.768045       
129             141.676000      948.845459      139.117191      0.052431        6.820476       
130             141.676000      956.276507      139.136718      0.052451        6.872927       
131             141.676000      964.106515      139.156974      0.055267        6.928194       
132             141.676000      971.698932      139.176310      0.053590        6.981784       
133             141.676000      979.119495      139.194923      0.052377        7.034161       
134             141.947000      986.554537      139.215264      0.052379        7.086540       
135             141.947000      993.984043      139.235292      0.052340        7.138880       
136             141.676000      1001.570935     139.253464      0.053551        7.192431       
137             141.676000      1009.009775     139.271021      0.052506        7.244937       
138             142.552000      1016.485344     139.294599      0.052441        7.297378       
139             142.552000      1024.128840     139.318359      0.053619        7.350997       
140             142.552000      1031.843041     139.341990      0.054115        7.405112       
141             142.552000      1039.316473     139.364556      0.052426        7.457538       
142             142.552000      1047.168807     139.387927      0.055084        7.512622       
143             142.552000      1054.734897     139.410124      0.053076        7.565698       
144             142.552000      1062.481173     139.432529      0.054340        7.620038       
145             142.552000      1070.128517     139.454337      0.053646        7.673684       
146             142.552000      1077.765170     139.475813      0.053571        7.727255       
147             142.552000      1085.240455     139.496548      0.052439        7.779694       
148             142.552000      1092.952518     139.517649      0.054100        7.833794       
149             142.552000      1100.438921     139.537855      0.052517        7.886311       
150             142.552000      1107.910642     139.557755      0.052414        7.938725       
151             142.552000      1115.386069     139.577404      0.052440        7.991165       
152             142.552000      1123.012886     139.597187      0.053502        8.044667       
153             142.823000      1130.493383     139.618054      0.052376        8.097043       
154             142.823000      1137.985307     139.638683      0.052456        8.149499       
155             142.552000      1145.458167     139.657303      0.052422        8.201921       
156             142.552000      1153.225968     139.676408      0.054491        8.256412       
157             142.552000      1160.825130     139.694855      0.053308        8.309720       
158             142.552000      1168.287870     139.712742      0.052351        8.362071       
159             142.552000      1176.115115     139.731264      0.054908        8.416979       
160             142.552000      1183.622759     139.748804      0.052666        8.469645       
161             142.552000      1191.160909     139.766197      0.052880        8.522525       
162             142.552000      1198.627498     139.783214      0.052378        8.574903       
163             142.552000      1206.099503     139.800036      0.052416        8.627319       
164             142.552000      1213.571366     139.816654      0.052415        8.679734       
165             142.552000      1221.097257     139.833191      0.052794        8.732528       
166             142.823000      1228.584609     139.851033      0.052424        8.784952       
167             142.823000      1236.376318     139.869375      0.054555        8.839507       
168             141.350000      1243.804826     139.878126      0.052554        8.892061       
169             141.350000      1251.222733     139.886761      0.052479        8.944540       
170             141.676000      1259.124570     139.897849      0.055774        9.000314       
171             141.676000      1266.933468     139.908672      0.055118        9.055432       
172             141.676000      1274.357574     139.918841      0.052402        9.107834       
173             141.947000      1281.977572     139.930725      0.053682        9.161516       
174             141.947000      1289.534689     139.942374      0.053239        9.214755       
175             141.676000      1296.956811     139.952174      0.052388        9.267143       
176             141.676000      1304.428095     139.961928      0.052735        9.319878       
177             141.676000      1311.858293     139.971520      0.052445        9.372323       
178             141.676000      1319.285515     139.981001      0.052424        9.424747       
179             141.947000      1326.725667     139.991874      0.052415        9.477162       
180             141.947000      1334.329910     140.002863      0.053571        9.530733       
181             141.947000      1341.965949     140.013775      0.053795        9.584528       
182             141.947000      1349.497941     140.024419      0.053062        9.637590       
183             141.676000      1356.925872     140.033355      0.052429        9.690019       
184             141.676000      1364.355503     140.042197      0.052441        9.742460       
185             141.676000      1371.782300     140.050941      0.052421        9.794881       
